,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6672,0.2556,0.1836,0.2044,0.1928,0.284,0.1636,0.2676,0.1492,0.1676,0.1492,0.1756,0.1996,0.1656,0.234,0.2672,0.1804,0.1836,0.2416,0.2
1,0.6804,0.7056,0.2088,0.1268,0.1668,0.2252,0.1916,0.3112,0.2348,0.1984,0.2168,0.1576,0.198,0.234,0.234,0.2452,0.1408,0.1584,0.2356,0.1996
2,0.5876,0.544,0.5568,0.1384,0.1564,0.2532,0.1988,0.2032,0.208,0.2192,0.2048,0.1712,0.1892,0.1876,0.1724,0.1604,0.234,0.1996,0.1776,0.2116
3,0.7272,0.6624,0.6644,0.8796,0.1584,0.2836,0.1776,0.254,0.2092,0.196,0.1908,0.1716,0.1852,0.1924,0.21,0.1564,0.1976,0.2456,0.1548,0.2076
4,0.736,0.6496,0.6516,0.788,0.9232,0.3232,0.1852,0.184,0.1832,0.24,0.1068,0.1452,0.1568,0.2172,0.3032,0.1776,0.274,0.1892,0.1956,0.2188
5,0.6772,0.6144,0.6384,0.7384,0.8488,0.844,0.18,0.216,0.2052,0.2096,0.1648,0.18,0.2064,0.1296,0.2576,0.1676,0.226,0.2332,0.1672,0.2168
6,0.7068,0.61,0.628,0.7356,0.8412,0.828,0.8704,0.1824,0.2304,0.2276,0.1048,0.1608,0.17,0.1604,0.2608,0.1816,0.2024,0.238,0.232,0.2208
7,0.7208,0.626,0.6088,0.7104,0.7848,0.78,0.8436,0.9592,0.1888,0.1348,0.112,0.1708,0.1812,0.1888,0.258,0.2228,0.18,0.1888,0.17,0.2124
8,0.71,0.6408,0.6472,0.7496,0.8124,0.7668,0.8124,0.878,0.9876,0.1956,0.1076,0.1596,0.1656,0.1844,0.232,0.2196,0.2256,0.2492,0.2188,0.21
9,0.7048,0.6228,0.6336,0.7064,0.7796,0.7388,0.7444,0.826,0.9284,0.9076,0.1416,0.186,0.1736,0.1316,0.2408,0.2168,0.252,0.2664,0.178,0.2028
10,0.704,0.6148,0.618,0.7432,0.7732,0.6884,0.7108,0.7752,0.8684,0.8432,0.9312,0.17,0.1724,0.142,0.2032,0.1736,0.2248,0.2168,0.2008,0.1996
11,0.692,0.6376,0.6156,0.7228,0.7868,0.7024,0.7056,0.7748,0.866,0.8368,0.8476,0.9112,0.1776,0.1212,0.2332,0.1804,0.2152,0.1948,0.14,0.1912
12,0.7172,0.6352,0.6108,0.7164,0.7792,0.6596,0.6848,0.7256,0.83,0.7696,0.8188,0.8524,0.96,0.112,0.1904,0.1804,0.2096,0.1708,0.1368,0.2196
13,0.7228,0.6132,0.6224,0.7456,0.78,0.6708,0.7164,0.7524,0.8652,0.7508,0.8204,0.824,0.8908,0.9288,0.2164,0.1792,0.252,0.2504,0.1212,0.2072
14,0.7176,0.6304,0.6092,0.7392,0.7672,0.6816,0.7056,0.7648,0.8564,0.7716,0.7912,0.7772,0.8408,0.9212,0.9704,0.1544,0.2324,0.2076,0.1528,0.198
15,0.7272,0.6336,0.6284,0.7188,0.7716,0.6844,0.7052,0.724,0.852,0.7604,0.7756,0.7208,0.8192,0.8704,0.9128,0.97,0.2008,0.1864,0.1304,0.2216
16,0.7424,0.6456,0.6152,0.7408,0.7756,0.6756,0.68,0.7268,0.8456,0.7352,0.7968,0.7284,0.7924,0.838,0.88,0.916,0.9444,0.2288,0.1624,0.2144
17,0.7412,0.6416,0.6268,0.7476,0.7932,0.6672,0.66,0.724,0.8576,0.74,0.7644,0.7304,0.7928,0.8328,0.8684,0.876,0.9004,0.9604,0.2108,0.208
18,0.714,0.642,0.6412,0.7472,0.7968,0.682,0.6788,0.7312,0.8732,0.7216,0.7924,0.7248,0.7964,0.8172,0.8596,0.8584,0.8848,0.9424,0.9252,0.2204
19,0.7176,0.6472,0.6244,0.7344,0.784,0.6768,0.7012,0.7276,0.8644,0.7696,0.762,0.7192,0.776,0.7912,0.8352,0.8452,0.8264,0.8776,0.9424,0.956
20,0.7176,0.6428,0.6232,0.7244,0.7644,0.6788,0.686,0.7056,0.8664,0.7944,0.72,0.6808,0.7372,0.7704,0.8016,0.796,0.7208,0.8396,0.9248,0.386
21,0.5464,0.5392,0.368,0.2812,0.428,0.498,0.4176,0.3128,0.5752,0.5656,0.43,0.3016,0.2636,0.3964,0.62,0.216,0.3812,0.3472,0.2,0.2032
22,0.6704,0.6172,0.6012,0.69,0.7344,0.618,0.626,0.6632,0.78,0.6804,0.652,0.6084,0.7192,0.748,0.7592,0.7036,0.7252,0.3128,0.2608,0.3324
23,0.6476,0.568,0.5892,0.7216,0.7332,0.6204,0.6172,0.6904,0.7976,0.6296,0.7036,0.6536,0.7236,0.77,0.7144,0.7564,0.3096,0.356,0.3124,0.324
24,0.6612,0.5484,0.5544,0.5988,0.6496,0.5572,0.6068,0.6008,0.7324,0.7072,0.5932,0.5996,0.7012,0.6676,0.772,0.2328,0.2084,0.248,0.2424,0.248
25,0.7068,0.5744,0.5748,0.6616,0.6568,0.6536,0.6088,0.6344,0.756,0.6808,0.6204,0.5772,0.6624,0.6448,0.4408,0.2316,0.212,0.232,0.218,0.2408
26,0.676,0.6032,0.5952,0.7328,0.6872,0.6208,0.628,0.6556,0.8072,0.668,0.6952,0.5876,0.7016,0.376,0.4992,0.2988,0.2588,0.3496,0.276,0.32
27,0.6088,0.5316,0.5688,0.6712,0.692,0.5676,0.6044,0.6224,0.6964,0.56,0.674,0.5124,0.3496,0.2936,0.4204,0.2896,0.2936,0.2964,0.206,0.2812
28,0.6712,0.5832,0.5752,0.7004,0.6956,0.6156,0.61,0.6648,0.724,0.6704,0.6812,0.3432,0.3896,0.3288,0.374,0.2828,0.2464,0.2384,0.2204,0.2832
29,0.6632,0.5924,0.6116,0.7048,0.7052,0.6388,0.6324,0.6768,0.78,0.6256,0.2848,0.3628,0.4064,0.3528,0.4124,0.2564,0.2408,0.2188,0.2204,0.2256
30,0.6788,0.5652,0.504,0.6096,0.6248,0.5984,0.5276,0.6052,0.676,0.2952,0.2876,0.2928,0.3464,0.2984,0.3776,0.2776,0.242,0.2064,0.1896,0.2348
31,0.6532,0.55,0.514,0.6376,0.6548,0.61,0.5768,0.6576,0.3116,0.304,0.2752,0.3128,0.3188,0.3084,0.334,0.2856,0.2312,0.2088,0.1936,0.2304
32,0.5828,0.5276,0.452,0.6384,0.6488,0.5408,0.4456,0.3216,0.4012,0.2456,0.4068,0.3884,0.4384,0.4052,0.3756,0.3656,0.2496,0.2028,0.2032,0.2508
33,0.6348,0.4832,0.484,0.5836,0.6348,0.5092,0.2792,0.288,0.2768,0.3212,0.252,0.252,0.3204,0.2576,0.2652,0.2464,0.2096,0.2012,0.2076,0.2276
34,0.6244,0.4908,0.5612,0.6388,0.6836,0.3644,0.2856,0.3104,0.3116,0.3204,0.2584,0.2408,0.3632,0.2776,0.2732,0.2748,0.2032,0.2016,0.2092,0.2224
35,0.5856,0.5488,0.5192,0.6288,0.3512,0.3588,0.2772,0.3152,0.3436,0.2872,0.2776,0.2548,0.3752,0.2928,0.2608,0.2972,0.2164,0.2024,0.2084,0.2348
36,0.5976,0.5252,0.4452,0.2432,0.3296,0.2936,0.2424,0.2256,0.2564,0.2676,0.2268,0.228,0.2776,0.2356,0.2324,0.2544,0.2024,0.2004,0.2,0.208
37,0.5032,0.4888,0.322,0.326,0.376,0.3368,0.2404,0.2616,0.3468,0.2224,0.2716,0.2752,0.2884,0.276,0.2976,0.3248,0.2352,0.2,0.1452,0.2624
38,0.5724,0.2672,0.3352,0.242,0.3196,0.3132,0.2252,0.2332,0.268,0.2452,0.2444,0.25,0.2608,0.25,0.2296,0.2836,0.2104,0.2,0.1888,0.2264
39,0.6244,0.2724,0.16,0.1996,0.2128,0.2852,0.2328,0.2064,0.1668,0.1748,0.172,0.1896,0.2,0.2456,0.1844,0.1972,0.1488,0.1244,0.254,0.208
40,0.6152,0.6592,0.2412,0.228,0.2036,0.2648,0.2076,0.1816,0.1704,0.1836,0.28,0.1936,0.1896,0.2788,0.2204,0.2408,0.162,0.1124,0.3164,0.2264
41,0.5852,0.6292,0.7224,0.226,0.2088,0.2012,0.2096,0.2272,0.2748,0.2216,0.2056,0.2156,0.1996,0.2084,0.2136,0.224,0.1724,0.1964,0.2428,0.212
42,0.57,0.6452,0.7488,0.7668,0.2112,0.264,0.1928,0.2668,0.2008,0.1748,0.1892,0.2364,0.2,0.31,0.2332,0.2208,0.1916,0.194,0.2296,0.214
43,0.486,0.6068,0.6732,0.7264,0.806,0.1808,0.1848,0.2496,0.1348,0.2488,0.2032,0.1644,0.1932,0.1948,0.2056,0.1896,0.2308,0.2604,0.218,0.1828
44,0.5972,0.6148,0.7004,0.7156,0.7828,0.8508,0.1828,0.212,0.21,0.226,0.23,0.2916,0.1884,0.1552,0.2224,0.2176,0.206,0.218,0.234,0.1832
45,0.63,0.6152,0.6888,0.7072,0.7476,0.8112,0.8552,0.1888,0.2228,0.1916,0.208,0.2344,0.1992,0.1752,0.214,0.2304,0.2256,0.204,0.332,0.1968
46,0.6184,0.6456,0.7276,0.7072,0.7364,0.798,0.8644,0.9544,0.2368,0.2564,0.2192,0.2832,0.1932,0.1936,0.2224,0.2312,0.1536,0.2396,0.2508,0.1872
47,0.5948,0.6352,0.7032,0.6756,0.6948,0.7456,0.8276,0.8648,0.9408,0.248,0.22,0.256,0.1964,0.244,0.2192,0.248,0.1976,0.2512,0.2568,0.1812
48,0.6016,0.604,0.72,0.6956,0.6932,0.7236,0.8,0.8616,0.834,0.9196,0.2052,0.166,0.1936,0.2784,0.2324,0.2368,0.1688,0.21,0.234,0.1956
49,0.6408,0.6448,0.7016,0.6868,0.7052,0.7052,0.78,0.8404,0.7924,0.86,0.9272,0.1732,0.1912,0.1904,0.2172,0.258,0.1676,0.2208,0.2092,0.2168
50,0.6296,0.622,0.7184,0.6524,0.6988,0.6844,0.7672,0.8272,0.8008,0.8332,0.8552,0.9532,0.1912,0.188,0.2008,0.2412,0.2116,0.2,0.2176,0.2092
51,0.6128,0.6328,0.6904,0.6836,0.6728,0.7192,0.748,0.7912,0.7068,0.7596,0.8212,0.8124,0.9136,0.2192,0.1984,0.2656,0.232,0.178,0.1924,0.1972
52,0.6308,0.6576,0.702,0.6432,0.6632,0.7064,0.714,0.8188,0.7552,0.7708,0.8336,0.788,0.8816,0.9572,0.1816,0.2476,0.2288,0.2016,0.1912,0.2064
53,0.6304,0.62,0.708,0.6424,0.6828,0.6904,0.7292,0.7796,0.7516,0.7336,0.764,0.8252,0.8056,0.8972,0.9168,0.2144,0.1728,0.2048,0.1896,0.1864
54,0.614,0.6336,0.7256,0.6472,0.6744,0.6664,0.7588,0.8172,0.72,0.7284,0.7832,0.8212,0.7912,0.876,0.8772,0.9604,0.2296,0.2144,0.1988,0.1828
55,0.6248,0.6592,0.7216,0.6504,0.658,0.72,0.7584,0.7872,0.7396,0.7124,0.7536,0.8076,0.7672,0.8464,0.8408,0.882,0.9532,0.21,0.198,0.1968
56,0.6268,0.624,0.6852,0.666,0.6916,0.6908,0.7172,0.7972,0.732,0.7108,0.728,0.7888,0.7576,0.8252,0.7844,0.8472,0.9112,0.9612,0.2012,0.2012
57,0.6464,0.6512,0.7124,0.6488,0.6804,0.7032,0.7368,0.7988,0.7212,0.7136,0.724,0.7964,0.7452,0.8268,0.8064,0.7796,0.85,0.9336,0.9636,0.196
