,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6044,0.1892,0.22,0.1908,0.232,0.2,0.1848,0.1452,0.1448,0.1748,0.2216,0.2164,0.2204,0.194,0.1624,0.1996,0.126,0.2148,0.2,0.2428
1,0.4592,0.8364,0.1808,0.1964,0.206,0.1972,0.192,0.1872,0.134,0.1968,0.1764,0.1916,0.204,0.1836,0.2192,0.2004,0.2592,0.2768,0.1996,0.25
2,0.4172,0.7156,0.786,0.1852,0.2676,0.202,0.1764,0.1976,0.1708,0.1996,0.2012,0.1824,0.2032,0.1704,0.1876,0.2004,0.2544,0.3216,0.1944,0.1976
3,0.4032,0.6164,0.6296,0.8796,0.2384,0.2,0.2052,0.2696,0.1556,0.2356,0.2984,0.2212,0.1536,0.1788,0.1844,0.2012,0.2204,0.258,0.1996,0.2808
4,0.3664,0.5888,0.5044,0.5948,0.8872,0.2,0.2056,0.1712,0.1276,0.2184,0.2416,0.214,0.1692,0.2096,0.2324,0.2084,0.2136,0.3564,0.1948,0.2708
5,0.342,0.4888,0.452,0.5336,0.716,0.9048,0.1736,0.2564,0.1416,0.2504,0.2544,0.2272,0.136,0.2544,0.3,0.2088,0.314,0.2792,0.1876,0.2568
6,0.3924,0.6284,0.4896,0.6492,0.6672,0.7372,0.924,0.2564,0.1796,0.2668,0.186,0.2148,0.2184,0.1912,0.1048,0.2152,0.2364,0.292,0.198,0.1768
7,0.3564,0.5684,0.5032,0.5992,0.634,0.7028,0.7544,0.9732,0.22,0.2204,0.202,0.1116,0.192,0.1872,0.1616,0.2368,0.1972,0.274,0.1984,0.1892
8,0.3808,0.588,0.522,0.6652,0.612,0.66,0.6696,0.872,0.986,0.2272,0.1744,0.202,0.158,0.222,0.1384,0.2076,0.2024,0.2952,0.1984,0.1932
9,0.3964,0.5884,0.5292,0.6432,0.61,0.6572,0.6468,0.7932,0.8956,0.9924,0.2164,0.1712,0.1776,0.2228,0.134,0.2176,0.2724,0.2688,0.1948,0.1984
10,0.3704,0.624,0.5244,0.6304,0.6056,0.6508,0.5736,0.7336,0.8024,0.8812,0.9504,0.134,0.1752,0.1812,0.2056,0.2096,0.1732,0.2688,0.204,0.1908
11,0.43,0.6348,0.5288,0.656,0.6444,0.6224,0.5928,0.7588,0.7916,0.8336,0.8592,0.9232,0.1672,0.23,0.2348,0.2208,0.2168,0.2924,0.1976,0.1872
12,0.4192,0.6608,0.5296,0.614,0.6412,0.6464,0.5688,0.6864,0.7428,0.7732,0.8276,0.8608,0.9648,0.2096,0.0936,0.212,0.234,0.3036,0.1952,0.1944
13,0.4296,0.652,0.5436,0.6536,0.6328,0.6848,0.6016,0.6956,0.7668,0.7576,0.806,0.7992,0.8536,0.9728,0.1284,0.22,0.2456,0.2736,0.1976,0.1668
14,0.3988,0.6328,0.5196,0.6736,0.5808,0.63,0.546,0.7376,0.7532,0.7644,0.7648,0.7708,0.7596,0.8756,0.9804,0.1992,0.2236,0.2764,0.192,0.1476
15,0.3904,0.6204,0.5228,0.6452,0.5524,0.6428,0.5564,0.7012,0.7196,0.7288,0.6936,0.7228,0.7388,0.8032,0.902,0.9224,0.2132,0.2992,0.1836,0.1664
