,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.562,0.212,0.276,0.2,0.238,0.272,0.134,0.22,0.156,0.202,0.178,0.308,0.176,0.09,0.19,0.176,0.258,0.194,0.188,0.214
1,0.51,0.566,0.228,0.236,0.196,0.17,0.088,0.212,0.25,0.236,0.19,0.212,0.176,0.174,0.136,0.238,0.246,0.184,0.198,0.17
2,0.402,0.454,0.832,0.264,0.136,0.186,0.142,0.2,0.194,0.272,0.206,0.186,0.222,0.048,0.18,0.176,0.22,0.298,0.204,0.12
3,0.448,0.508,0.698,0.78,0.2,0.196,0.164,0.184,0.216,0.254,0.168,0.158,0.206,0.144,0.138,0.164,0.206,0.276,0.17,0.13
4,0.402,0.476,0.624,0.652,0.66,0.196,0.134,0.202,0.226,0.292,0.218,0.142,0.178,0.198,0.198,0.146,0.194,0.32,0.15,0.168
5,0.462,0.432,0.658,0.634,0.63,0.74,0.11,0.242,0.244,0.194,0.126,0.224,0.184,0.236,0.154,0.15,0.212,0.176,0.144,0.154
6,0.476,0.416,0.714,0.62,0.584,0.676,0.77,0.164,0.232,0.206,0.152,0.136,0.192,0.086,0.19,0.194,0.286,0.238,0.126,0.158
7,0.472,0.444,0.688,0.584,0.63,0.656,0.69,0.65,0.21,0.196,0.174,0.152,0.256,0.146,0.158,0.218,0.222,0.186,0.15,0.198
8,0.498,0.448,0.678,0.638,0.6,0.676,0.614,0.574,0.77,0.194,0.186,0.19,0.204,0.128,0.14,0.192,0.212,0.23,0.16,0.158
9,0.484,0.436,0.714,0.618,0.604,0.682,0.636,0.562,0.74,0.762,0.2,0.172,0.208,0.136,0.178,0.178,0.2,0.192,0.186,0.132
10,0.452,0.438,0.696,0.63,0.612,0.638,0.602,0.506,0.688,0.732,0.648,0.172,0.232,0.13,0.214,0.166,0.224,0.236,0.178,0.178
11,0.482,0.42,0.74,0.592,0.654,0.622,0.598,0.52,0.644,0.726,0.678,0.912,0.2,0.146,0.19,0.212,0.226,0.18,0.202,0.152
12,0.448,0.402,0.678,0.58,0.582,0.588,0.564,0.476,0.6,0.674,0.598,0.874,0.7,0.178,0.206,0.112,0.204,0.232,0.158,0.162
13,0.466,0.44,0.724,0.598,0.62,0.644,0.59,0.52,0.65,0.712,0.6,0.874,0.682,0.878,0.188,0.144,0.222,0.284,0.138,0.18
14,0.472,0.446,0.666,0.592,0.608,0.578,0.582,0.534,0.536,0.658,0.598,0.802,0.636,0.798,0.726,0.192,0.216,0.282,0.112,0.186
15,0.476,0.474,0.676,0.632,0.604,0.63,0.598,0.502,0.644,0.674,0.572,0.796,0.628,0.792,0.626,0.754,0.21,0.234,0.144,0.186
16,0.494,0.444,0.668,0.59,0.596,0.638,0.5,0.508,0.616,0.672,0.54,0.752,0.612,0.736,0.64,0.682,0.738,0.212,0.098,0.228
17,0.5,0.5,0.702,0.624,0.596,0.632,0.618,0.486,0.664,0.666,0.49,0.814,0.618,0.74,0.646,0.698,0.67,0.776,0.12,0.21
18,0.486,0.472,0.712,0.606,0.604,0.678,0.58,0.502,0.616,0.662,0.522,0.806,0.578,0.688,0.62,0.666,0.698,0.7,0.65,0.196
19,0.506,0.492,0.656,0.62,0.626,0.656,0.52,0.524,0.62,0.66,0.508,0.72,0.61,0.734,0.524,0.614,0.676,0.692,0.616,0.622
20,0.508,0.484,0.674,0.642,0.636,0.64,0.55,0.54,0.642,0.666,0.502,0.75,0.604,0.724,0.542,0.612,0.684,0.658,0.638,0.378
21,0.514,0.494,0.676,0.64,0.632,0.64,0.536,0.572,0.616,0.628,0.54,0.736,0.606,0.73,0.554,0.608,0.688,0.632,0.236,0.396
22,0.498,0.498,0.688,0.622,0.61,0.66,0.554,0.528,0.624,0.64,0.502,0.77,0.598,0.734,0.538,0.632,0.692,0.338,0.266,0.392
23,0.504,0.502,0.668,0.652,0.628,0.64,0.518,0.56,0.614,0.648,0.516,0.736,0.602,0.736,0.55,0.608,0.224,0.32,0.246,0.35
24,0.536,0.472,0.682,0.632,0.642,0.648,0.516,0.54,0.624,0.652,0.512,0.748,0.602,0.738,0.544,0.322,0.218,0.32,0.246,0.334
25,0.504,0.502,0.654,0.644,0.632,0.626,0.52,0.548,0.626,0.636,0.53,0.742,0.618,0.728,0.32,0.32,0.23,0.334,0.242,0.366
26,0.492,0.482,0.656,0.608,0.636,0.648,0.502,0.54,0.594,0.638,0.516,0.762,0.598,0.344,0.332,0.286,0.216,0.292,0.232,0.352
27,0.498,0.476,0.678,0.626,0.638,0.64,0.526,0.554,0.628,0.658,0.506,0.772,0.45,0.346,0.318,0.32,0.218,0.296,0.23,0.384
28,0.49,0.478,0.672,0.624,0.626,0.646,0.526,0.54,0.622,0.654,0.514,0.406,0.434,0.344,0.318,0.302,0.224,0.31,0.236,0.374
29,0.504,0.486,0.648,0.634,0.63,0.652,0.524,0.564,0.602,0.638,0.242,0.398,0.42,0.342,0.334,0.31,0.222,0.3,0.24,0.328
30,0.528,0.484,0.652,0.654,0.624,0.626,0.53,0.57,0.614,0.356,0.226,0.366,0.414,0.36,0.306,0.32,0.21,0.266,0.228,0.382
31,0.506,0.486,0.692,0.626,0.596,0.666,0.532,0.53,0.3,0.378,0.236,0.382,0.434,0.388,0.352,0.32,0.22,0.306,0.238,0.378
32,0.504,0.496,0.68,0.626,0.618,0.658,0.526,0.338,0.33,0.374,0.236,0.406,0.456,0.416,0.328,0.32,0.22,0.334,0.24,0.372
33,0.45,0.432,0.698,0.6,0.594,0.65,0.326,0.268,0.29,0.35,0.236,0.38,0.52,0.368,0.326,0.28,0.224,0.314,0.23,0.406
34,0.508,0.492,0.696,0.634,0.638,0.39,0.34,0.328,0.308,0.374,0.234,0.384,0.428,0.388,0.332,0.314,0.216,0.296,0.234,0.386
35,0.478,0.46,0.684,0.606,0.298,0.348,0.302,0.298,0.28,0.342,0.222,0.338,0.44,0.34,0.306,0.3,0.208,0.264,0.232,0.406
36,0.496,0.486,0.672,0.272,0.372,0.38,0.358,0.374,0.316,0.324,0.226,0.37,0.434,0.374,0.348,0.292,0.214,0.31,0.246,0.32
37,0.434,0.47,0.298,0.254,0.388,0.318,0.31,0.29,0.258,0.322,0.23,0.356,0.392,0.344,0.332,0.292,0.222,0.268,0.242,0.366
38,0.432,0.308,0.28,0.324,0.428,0.344,0.36,0.294,0.272,0.34,0.264,0.394,0.462,0.374,0.304,0.262,0.216,0.288,0.214,0.358
39,0.628,0.146,0.236,0.22,0.22,0.218,0.282,0.122,0.222,0.2,0.2,0.19,0.184,0.132,0.114,0.306,0.198,0.26,0.232,0.304
40,0.536,0.608,0.19,0.218,0.268,0.214,0.244,0.146,0.174,0.194,0.17,0.142,0.216,0.204,0.17,0.176,0.24,0.2,0.204,0.224
41,0.516,0.552,0.772,0.232,0.272,0.206,0.34,0.164,0.138,0.24,0.184,0.15,0.192,0.216,0.154,0.284,0.28,0.2,0.214,0.18
42,0.466,0.5,0.664,0.728,0.256,0.222,0.256,0.198,0.158,0.186,0.158,0.214,0.224,0.24,0.112,0.322,0.256,0.176,0.25,0.186
43,0.476,0.464,0.668,0.648,0.87,0.218,0.27,0.15,0.184,0.204,0.098,0.208,0.224,0.252,0.148,0.32,0.322,0.19,0.232,0.276
44,0.472,0.448,0.646,0.61,0.774,0.746,0.282,0.22,0.172,0.268,0.082,0.252,0.242,0.318,0.16,0.356,0.276,0.164,0.22,0.222
45,0.542,0.47,0.664,0.62,0.752,0.712,0.846,0.128,0.2,0.25,0.144,0.196,0.244,0.262,0.138,0.336,0.308,0.196,0.212,0.222
46,0.482,0.426,0.616,0.552,0.684,0.604,0.74,0.678,0.176,0.21,0.104,0.15,0.196,0.282,0.146,0.258,0.288,0.194,0.24,0.208
47,0.46,0.402,0.598,0.59,0.688,0.658,0.706,0.59,0.54,0.246,0.11,0.202,0.196,0.158,0.148,0.232,0.27,0.176,0.25,0.2
48,0.466,0.416,0.64,0.554,0.722,0.634,0.714,0.566,0.506,0.752,0.08,0.196,0.178,0.172,0.148,0.23,0.242,0.176,0.284,0.224
49,0.518,0.428,0.59,0.554,0.662,0.63,0.642,0.548,0.516,0.714,0.756,0.206,0.188,0.236,0.126,0.21,0.264,0.162,0.298,0.212
50,0.448,0.428,0.57,0.564,0.7,0.682,0.712,0.58,0.518,0.7,0.728,0.726,0.194,0.224,0.09,0.264,0.352,0.166,0.252,0.176
51,0.506,0.506,0.606,0.59,0.776,0.658,0.656,0.57,0.504,0.706,0.672,0.64,0.778,0.254,0.108,0.266,0.32,0.182,0.27,0.194
52,0.478,0.46,0.672,0.626,0.732,0.676,0.656,0.52,0.522,0.702,0.68,0.624,0.736,0.782,0.162,0.324,0.306,0.174,0.278,0.18
53,0.496,0.46,0.646,0.566,0.67,0.678,0.686,0.568,0.488,0.684,0.662,0.59,0.708,0.67,0.77,0.33,0.296,0.174,0.274,0.196
54,0.472,0.51,0.65,0.59,0.69,0.622,0.71,0.53,0.524,0.664,0.674,0.602,0.664,0.682,0.75,0.882,0.314,0.148,0.28,0.164
55,0.48,0.532,0.702,0.626,0.76,0.64,0.706,0.58,0.502,0.688,0.642,0.628,0.706,0.626,0.722,0.854,0.856,0.156,0.288,0.19
56,0.494,0.532,0.648,0.58,0.73,0.638,0.734,0.544,0.512,0.694,0.626,0.564,0.702,0.616,0.688,0.804,0.766,0.696,0.276,0.16
57,0.484,0.446,0.66,0.542,0.71,0.628,0.676,0.542,0.472,0.656,0.64,0.604,0.648,0.59,0.706,0.804,0.712,0.658,0.854,0.158
58,0.544,0.496,0.664,0.622,0.716,0.648,0.724,0.55,0.498,0.654,0.676,0.618,0.708,0.578,0.682,0.804,0.714,0.65,0.82,0.856
59,0.536,0.496,0.66,0.618,0.72,0.642,0.734,0.562,0.516,0.66,0.67,0.616,0.702,0.594,0.7,0.814,0.71,0.67,0.8,0.424
60,0.558,0.516,0.652,0.6,0.724,0.63,0.714,0.566,0.51,0.652,0.68,0.62,0.696,0.558,0.68,0.804,0.68,0.674,0.33,0.344
61,0.55,0.52,0.67,0.62,0.71,0.64,0.72,0.562,0.498,0.658,0.696,0.63,0.702,0.556,0.696,0.798,0.684,0.276,0.338,0.36
62,0.532,0.492,0.656,0.624,0.726,0.648,0.73,0.56,0.498,0.652,0.672,0.616,0.706,0.572,0.682,0.812,0.342,0.31,0.342,0.4
63,0.564,0.502,0.672,0.592,0.734,0.658,0.708,0.556,0.5,0.66,0.692,0.612,0.702,0.598,0.654,0.3,0.348,0.28,0.314,0.334
64,0.576,0.516,0.664,0.566,0.7,0.63,0.684,0.562,0.488,0.652,0.682,0.63,0.698,0.534,0.316,0.264,0.37,0.242,0.326,0.294
65,0.554,0.5,0.672,0.612,0.76,0.632,0.734,0.55,0.494,0.676,0.682,0.63,0.698,0.294,0.38,0.31,0.308,0.276,0.318,0.322
66,0.57,0.51,0.638,0.594,0.72,0.644,0.702,0.52,0.484,0.662,0.674,0.618,0.312,0.282,0.338,0.258,0.338,0.286,0.36,0.338
67,0.568,0.522,0.634,0.59,0.718,0.648,0.704,0.54,0.472,0.68,0.676,0.352,0.304,0.28,0.316,0.246,0.344,0.264,0.384,0.306
68,0.54,0.524,0.67,0.574,0.726,0.636,0.714,0.554,0.484,0.682,0.314,0.402,0.32,0.28,0.32,0.246,0.35,0.244,0.332,0.29
69,0.586,0.53,0.684,0.584,0.772,0.666,0.718,0.54,0.492,0.352,0.336,0.416,0.372,0.304,0.326,0.276,0.396,0.272,0.324,0.294
