,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.722,0.164,0.174,0.228,0.184,0.142,0.22,0.268,0.186,0.208,0.2,0.18,0.232,0.158,0.208,0.182,0.124,0.246,0.198,0.192
1,0.712,0.612,0.12,0.266,0.194,0.11,0.2,0.25,0.22,0.218,0.2,0.17,0.2,0.204,0.208,0.254,0.108,0.226,0.214,0.14
2,0.69,0.62,0.714,0.224,0.176,0.098,0.096,0.236,0.226,0.276,0.204,0.122,0.226,0.15,0.2,0.276,0.106,0.27,0.236,0.216
3,0.722,0.596,0.724,0.746,0.132,0.09,0.17,0.214,0.176,0.254,0.21,0.122,0.226,0.218,0.216,0.236,0.108,0.228,0.258,0.218
4,0.694,0.652,0.708,0.768,0.748,0.122,0.152,0.254,0.206,0.286,0.212,0.168,0.25,0.16,0.184,0.288,0.092,0.21,0.212,0.264
5,0.702,0.682,0.69,0.69,0.72,0.888,0.094,0.204,0.258,0.208,0.212,0.22,0.228,0.16,0.218,0.226,0.126,0.234,0.224,0.274
6,0.672,0.648,0.704,0.718,0.692,0.848,0.812,0.196,0.24,0.212,0.19,0.162,0.27,0.182,0.208,0.25,0.1,0.216,0.22,0.252
7,0.7,0.65,0.668,0.732,0.73,0.834,0.818,0.776,0.262,0.242,0.22,0.136,0.252,0.198,0.2,0.24,0.13,0.246,0.248,0.29
8,0.706,0.662,0.674,0.748,0.676,0.772,0.786,0.772,0.702,0.274,0.208,0.102,0.256,0.18,0.2,0.204,0.148,0.284,0.24,0.308
9,0.74,0.65,0.716,0.75,0.672,0.794,0.766,0.732,0.69,0.852,0.218,0.08,0.252,0.178,0.22,0.178,0.11,0.198,0.214,0.282
10,0.748,0.626,0.712,0.718,0.69,0.762,0.742,0.74,0.634,0.784,0.69,0.092,0.272,0.172,0.208,0.172,0.188,0.256,0.242,0.32
11,0.74,0.682,0.7,0.718,0.696,0.782,0.752,0.74,0.62,0.774,0.674,0.862,0.238,0.162,0.23,0.172,0.122,0.256,0.242,0.266
12,0.736,0.658,0.678,0.696,0.68,0.772,0.754,0.688,0.574,0.762,0.642,0.816,0.786,0.188,0.226,0.186,0.124,0.206,0.234,0.242
13,0.74,0.652,0.672,0.722,0.732,0.774,0.752,0.72,0.566,0.762,0.638,0.806,0.69,0.764,0.194,0.176,0.154,0.278,0.202,0.226
14,0.698,0.638,0.69,0.674,0.674,0.72,0.76,0.726,0.58,0.71,0.622,0.788,0.674,0.716,0.694,0.218,0.108,0.262,0.2,0.232
15,0.716,0.65,0.712,0.68,0.676,0.732,0.794,0.682,0.596,0.726,0.636,0.766,0.682,0.714,0.672,0.812,0.102,0.3,0.23,0.202
16,0.742,0.664,0.71,0.746,0.672,0.734,0.754,0.7,0.618,0.778,0.59,0.76,0.662,0.706,0.634,0.78,0.83,0.308,0.226,0.272
17,0.75,0.652,0.686,0.726,0.706,0.75,0.77,0.71,0.58,0.724,0.63,0.758,0.644,0.728,0.676,0.758,0.798,0.812,0.228,0.25
18,0.736,0.674,0.708,0.716,0.724,0.756,0.75,0.726,0.608,0.744,0.644,0.748,0.632,0.702,0.658,0.724,0.774,0.774,0.794,0.28
19,0.736,0.638,0.702,0.738,0.716,0.738,0.758,0.684,0.576,0.752,0.63,0.762,0.632,0.682,0.64,0.706,0.75,0.782,0.75,0.702
20,0.702,0.632,0.698,0.742,0.722,0.748,0.77,0.698,0.582,0.726,0.636,0.75,0.634,0.674,0.642,0.696,0.752,0.766,0.748,0.25
21,0.746,0.622,0.716,0.684,0.704,0.702,0.73,0.686,0.556,0.71,0.606,0.696,0.59,0.684,0.634,0.734,0.76,0.76,0.21,0.222
22,0.668,0.61,0.668,0.666,0.704,0.708,0.71,0.66,0.54,0.658,0.638,0.686,0.57,0.702,0.588,0.68,0.714,0.27,0.208,0.216
23,0.734,0.648,0.7,0.716,0.722,0.734,0.762,0.706,0.576,0.75,0.612,0.756,0.634,0.684,0.576,0.73,0.22,0.288,0.216,0.216
24,0.642,0.606,0.666,0.59,0.68,0.708,0.708,0.65,0.52,0.656,0.604,0.744,0.608,0.636,0.56,0.24,0.202,0.208,0.2,0.2
25,0.646,0.622,0.686,0.608,0.686,0.718,0.73,0.664,0.584,0.662,0.628,0.75,0.638,0.598,0.242,0.232,0.204,0.202,0.2,0.206
26,0.574,0.556,0.63,0.552,0.6,0.594,0.604,0.546,0.534,0.534,0.526,0.624,0.564,0.262,0.234,0.2,0.2,0.2,0.2,0.2
27,0.584,0.522,0.562,0.618,0.68,0.632,0.644,0.666,0.472,0.67,0.572,0.69,0.282,0.3,0.236,0.2,0.2,0.2,0.2,0.2
