,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7572,0.1724,0.1728,0.2136,0.1764,0.1264,0.2176,0.27,0.1876,0.204,0.2004,0.1908,0.2156,0.1432,0.22,0.1688,0.1304,0.2412,0.2048,0.1848
1,0.7524,0.6892,0.1384,0.2372,0.2012,0.1164,0.1956,0.2528,0.2008,0.2312,0.2008,0.1784,0.2028,0.182,0.2028,0.2472,0.0996,0.23,0.2168,0.1616
2,0.7392,0.6912,0.79,0.2216,0.1728,0.1304,0.0936,0.256,0.2156,0.284,0.2016,0.1476,0.2432,0.144,0.2124,0.278,0.1092,0.2716,0.23,0.202
3,0.7588,0.6796,0.7968,0.8704,0.1424,0.1008,0.1448,0.2032,0.1828,0.2392,0.2084,0.118,0.248,0.2368,0.2064,0.2348,0.11,0.2108,0.25,0.2396
4,0.7296,0.7184,0.7256,0.8344,0.8544,0.1384,0.1224,0.2532,0.2052,0.2676,0.2268,0.192,0.2448,0.1676,0.2004,0.314,0.106,0.2092,0.2092,0.2516
5,0.7604,0.72,0.7292,0.7584,0.82,0.9488,0.0744,0.1828,0.2504,0.2016,0.2136,0.2052,0.2324,0.1684,0.218,0.2208,0.1248,0.2528,0.2112,0.2752
6,0.7416,0.6852,0.766,0.768,0.7816,0.9016,0.9284,0.2148,0.2192,0.2204,0.2,0.1704,0.2612,0.1948,0.2052,0.2328,0.0952,0.2268,0.228,0.2484
7,0.746,0.6876,0.7432,0.7736,0.7812,0.8632,0.8952,0.9232,0.262,0.2512,0.218,0.142,0.244,0.1836,0.2104,0.2272,0.112,0.24,0.2336,0.2864
8,0.7404,0.7096,0.7268,0.772,0.7388,0.802,0.8536,0.8728,0.8716,0.274,0.2208,0.0964,0.2636,0.1608,0.206,0.2284,0.1344,0.28,0.2452,0.304
9,0.7708,0.7108,0.774,0.752,0.7272,0.8048,0.8328,0.8196,0.8608,0.968,0.2356,0.0996,0.2792,0.1596,0.1956,0.1684,0.0964,0.1936,0.208,0.288
10,0.7676,0.6964,0.7532,0.7544,0.7244,0.8116,0.8172,0.8232,0.7816,0.88,0.9036,0.1044,0.238,0.1736,0.204,0.176,0.18,0.2612,0.244,0.2904
11,0.7588,0.7096,0.7392,0.7524,0.7312,0.7984,0.814,0.8276,0.756,0.8568,0.87,0.9672,0.2428,0.17,0.206,0.15,0.1156,0.2752,0.24,0.2592
12,0.7456,0.6928,0.718,0.7236,0.7272,0.776,0.7968,0.7856,0.7284,0.852,0.81,0.9264,0.9668,0.1784,0.2088,0.1836,0.1168,0.2152,0.2384,0.2268
13,0.7636,0.6968,0.7148,0.7708,0.744,0.7648,0.8088,0.7924,0.6876,0.8368,0.7992,0.8848,0.8688,0.9572,0.2024,0.1532,0.1428,0.266,0.206,0.212
14,0.7404,0.6896,0.7068,0.7184,0.7056,0.7508,0.7912,0.7828,0.714,0.7932,0.7548,0.8528,0.814,0.8672,0.916,0.1776,0.1292,0.242,0.2168,0.2152
15,0.7448,0.7044,0.7292,0.7372,0.708,0.7644,0.7872,0.76,0.7008,0.7776,0.7424,0.8344,0.8116,0.8512,0.8872,0.9776,0.1044,0.31,0.22,0.2216
16,0.7432,0.6916,0.7368,0.7536,0.7164,0.7584,0.784,0.7752,0.698,0.8104,0.714,0.8492,0.7836,0.8284,0.8504,0.9312,0.9688,0.2928,0.2476,0.258
17,0.7492,0.682,0.7196,0.7272,0.7396,0.7652,0.792,0.76,0.6736,0.7616,0.7312,0.8148,0.7468,0.824,0.8424,0.8944,0.9032,0.9648,0.2184,0.2688
18,0.7236,0.712,0.6992,0.744,0.756,0.76,0.7772,0.7548,0.6888,0.7672,0.7288,0.8076,0.7452,0.7988,0.8084,0.832,0.8428,0.9112,0.9748,0.2724
19,0.7388,0.6916,0.6996,0.7556,0.7492,0.7592,0.7832,0.7376,0.6764,0.7696,0.7,0.8056,0.7212,0.8004,0.778,0.8124,0.8328,0.9012,0.9032,0.946
20,0.7088,0.6872,0.6876,0.7584,0.746,0.7528,0.7856,0.7584,0.6648,0.7432,0.6892,0.8068,0.7228,0.7964,0.7816,0.8088,0.8172,0.898,0.9044,0.2684
21,0.7264,0.6876,0.7236,0.6968,0.7164,0.734,0.7468,0.7244,0.6472,0.77,0.678,0.73,0.7,0.7924,0.7784,0.7952,0.8236,0.8736,0.232,0.2276
22,0.6728,0.6788,0.6584,0.6924,0.7164,0.7124,0.7184,0.7156,0.5816,0.6884,0.6672,0.722,0.6636,0.7784,0.7432,0.7512,0.7668,0.2728,0.2328,0.2192
23,0.7428,0.6992,0.7252,0.732,0.7356,0.746,0.776,0.7508,0.65,0.7872,0.6596,0.7852,0.718,0.7856,0.708,0.8304,0.2152,0.2984,0.2432,0.216
