,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6304,0.2072,0.184,0.1756,0.1796,0.1188,0.2592,0.2384,0.1896,0.1312,0.25,0.3024,0.2008,0.21,0.2128,0.1344,0.1892,0.1672,0.1792,0.2396
1,0.5712,0.776,0.2188,0.1588,0.164,0.214,0.2516,0.238,0.2784,0.2052,0.1152,0.228,0.2004,0.1736,0.2404,0.2192,0.2248,0.14,0.2136,0.238
2,0.5516,0.728,0.7716,0.1732,0.1504,0.126,0.196,0.1984,0.2144,0.2136,0.1708,0.2292,0.2036,0.192,0.2152,0.1588,0.1816,0.17,0.2096,0.2308
3,0.5428,0.6992,0.6996,0.642,0.1512,0.1164,0.2348,0.17,0.2124,0.2268,0.1312,0.2768,0.2316,0.2168,0.216,0.2004,0.1972,0.1216,0.2388,0.1784
4,0.5044,0.6716,0.5972,0.6236,0.7964,0.1672,0.1956,0.2064,0.24,0.2052,0.138,0.2308,0.204,0.204,0.2584,0.1888,0.1748,0.1788,0.1984,0.1696
5,0.5784,0.7016,0.6424,0.6544,0.8428,0.962,0.2072,0.188,0.2368,0.1476,0.1632,0.1712,0.2024,0.188,0.1848,0.2152,0.2156,0.17,0.2132,0.1644
6,0.582,0.7,0.628,0.6124,0.7956,0.9304,0.9056,0.1852,0.2664,0.1652,0.13,0.1792,0.206,0.1904,0.1704,0.218,0.2172,0.1892,0.2212,0.1608
7,0.5616,0.6688,0.6128,0.6184,0.768,0.904,0.8556,0.9172,0.1684,0.17,0.0868,0.1628,0.202,0.1752,0.1916,0.2268,0.2004,0.19,0.2228,0.1668
8,0.5784,0.6932,0.6436,0.608,0.732,0.892,0.7944,0.848,0.9536,0.136,0.146,0.1992,0.2028,0.1876,0.1936,0.1936,0.2088,0.1812,0.1688,0.1404
9,0.5652,0.6936,0.5964,0.6012,0.7168,0.874,0.748,0.7672,0.8872,0.9168,0.11,0.1956,0.2052,0.2076,0.1592,0.2592,0.1916,0.2008,0.2116,0.1528
10,0.5788,0.738,0.606,0.5724,0.7408,0.8836,0.73,0.7828,0.8652,0.8708,0.9664,0.2016,0.2012,0.2012,0.1816,0.2148,0.18,0.1636,0.1932,0.1348
11,0.602,0.7072,0.6264,0.6096,0.7352,0.8708,0.7484,0.7796,0.8648,0.856,0.9324,0.962,0.1948,0.1904,0.1948,0.2164,0.1904,0.1852,0.2088,0.1392
12,0.6004,0.73,0.6468,0.5728,0.7208,0.8648,0.728,0.7264,0.8548,0.8148,0.8952,0.8736,0.9452,0.1888,0.2028,0.1956,0.2216,0.1968,0.2072,0.1612
13,0.6176,0.7312,0.6532,0.5656,0.7236,0.8808,0.7296,0.76,0.8244,0.7732,0.8628,0.8308,0.9028,0.9552,0.1932,0.2436,0.2096,0.174,0.2024,0.154
