,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.456,0.226,0.192,0.18,0.196,0.228,0.216,0.186,0.248,0.158,0.202,0.132,0.2,0.138,0.294,0.2,0.17,0.196,0.114,0.146
1,0.458,0.57,0.184,0.136,0.262,0.254,0.162,0.2,0.268,0.206,0.21,0.206,0.2,0.228,0.096,0.2,0.112,0.206,0.116,0.088
2,0.504,0.61,0.63,0.102,0.212,0.186,0.172,0.18,0.276,0.17,0.184,0.176,0.2,0.252,0.24,0.202,0.266,0.214,0.112,0.15
3,0.566,0.612,0.61,0.758,0.198,0.208,0.152,0.17,0.296,0.198,0.184,0.172,0.2,0.236,0.19,0.2,0.27,0.254,0.128,0.104
4,0.506,0.628,0.586,0.71,0.768,0.186,0.152,0.172,0.292,0.244,0.19,0.2,0.2,0.198,0.222,0.2,0.224,0.24,0.122,0.118
5,0.58,0.594,0.614,0.724,0.724,0.714,0.176,0.154,0.314,0.168,0.222,0.16,0.206,0.146,0.188,0.23,0.214,0.256,0.172,0.122
6,0.58,0.634,0.674,0.658,0.714,0.774,0.906,0.148,0.248,0.204,0.2,0.154,0.202,0.178,0.22,0.21,0.26,0.26,0.188,0.148
7,0.524,0.628,0.61,0.68,0.68,0.686,0.804,0.698,0.27,0.232,0.188,0.148,0.196,0.146,0.168,0.198,0.26,0.298,0.164,0.114
8,0.544,0.612,0.622,0.662,0.684,0.686,0.758,0.688,0.704,0.196,0.2,0.168,0.202,0.194,0.246,0.22,0.242,0.21,0.184,0.138
9,0.548,0.596,0.624,0.7,0.696,0.666,0.778,0.622,0.71,0.68,0.176,0.13,0.2,0.144,0.26,0.22,0.212,0.238,0.16,0.168
10,0.554,0.63,0.594,0.714,0.708,0.67,0.77,0.614,0.72,0.71,0.684,0.11,0.202,0.166,0.228,0.222,0.246,0.2,0.152,0.172
11,0.588,0.644,0.64,0.672,0.688,0.704,0.768,0.618,0.7,0.684,0.662,0.848,0.204,0.156,0.242,0.23,0.302,0.188,0.134,0.162
12,0.56,0.612,0.584,0.672,0.708,0.7,0.75,0.584,0.734,0.698,0.65,0.742,0.688,0.166,0.27,0.22,0.236,0.22,0.176,0.156
13,0.594,0.64,0.612,0.666,0.69,0.682,0.768,0.656,0.652,0.72,0.656,0.734,0.65,0.83,0.268,0.26,0.264,0.232,0.128,0.162
14,0.546,0.644,0.62,0.696,0.724,0.712,0.788,0.64,0.66,0.694,0.642,0.732,0.616,0.78,0.774,0.266,0.234,0.216,0.166,0.172
