,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.4892,0.2364,0.1848,0.2068,0.2,0.2392,0.2096,0.188,0.25,0.1652,0.2092,0.1376,0.2,0.1448,0.2852,0.2012,0.1644,0.2028,0.1156,0.1576
1,0.494,0.5808,0.1892,0.118,0.2556,0.2336,0.1948,0.19,0.294,0.2068,0.204,0.2064,0.2,0.2284,0.1012,0.2004,0.1112,0.2064,0.128,0.118
2,0.5444,0.6752,0.7288,0.106,0.1772,0.1776,0.1728,0.1612,0.2836,0.1816,0.206,0.178,0.2,0.2528,0.2356,0.2068,0.2768,0.2132,0.1184,0.1576
3,0.5956,0.6724,0.718,0.8844,0.1736,0.2232,0.15,0.1344,0.2432,0.1876,0.1848,0.1616,0.2,0.2228,0.2,0.208,0.25,0.2736,0.1308,0.1312
4,0.5712,0.674,0.66,0.8152,0.8932,0.1792,0.1412,0.136,0.2844,0.2428,0.204,0.1984,0.2008,0.2188,0.22,0.2028,0.2208,0.26,0.1244,0.118
5,0.6052,0.6436,0.6772,0.8056,0.8244,0.8904,0.1872,0.1384,0.3088,0.1532,0.2092,0.1452,0.2008,0.1576,0.1848,0.2064,0.2124,0.2828,0.162,0.1276
6,0.5852,0.702,0.7352,0.7436,0.7796,0.8952,0.9716,0.1428,0.258,0.2268,0.198,0.1768,0.2,0.1752,0.2304,0.2012,0.2504,0.2736,0.1788,0.1512
7,0.5812,0.6876,0.68,0.7212,0.7464,0.8224,0.8772,0.9152,0.2772,0.1744,0.194,0.144,0.2012,0.1484,0.1868,0.2,0.2308,0.274,0.138,0.1124
8,0.5624,0.6528,0.694,0.7232,0.7096,0.7896,0.8104,0.8356,0.856,0.186,0.2056,0.1536,0.2012,0.1792,0.2324,0.2168,0.2176,0.2376,0.178,0.1192
9,0.5892,0.6408,0.7016,0.7496,0.7304,0.7668,0.8324,0.7556,0.8136,0.8692,0.1776,0.1404,0.198,0.1312,0.2352,0.2088,0.22,0.2728,0.1568,0.1364
10,0.6068,0.6692,0.702,0.7308,0.7256,0.7668,0.8276,0.7604,0.7824,0.874,0.9108,0.1288,0.1992,0.1752,0.2288,0.2288,0.2456,0.224,0.1776,0.152
11,0.6276,0.6704,0.7024,0.7224,0.7352,0.7812,0.806,0.7552,0.7804,0.8236,0.834,0.9644,0.2008,0.1568,0.2284,0.232,0.3068,0.212,0.1348,0.166
12,0.602,0.6488,0.6752,0.7144,0.7312,0.768,0.8016,0.7368,0.7796,0.8096,0.8004,0.8752,0.9316,0.1424,0.2544,0.216,0.2424,0.2372,0.1764,0.1804
13,0.6224,0.6788,0.674,0.7472,0.7224,0.7416,0.8032,0.7268,0.7348,0.8048,0.796,0.8688,0.8684,0.9744,0.2492,0.2536,0.2692,0.2284,0.1448,0.1624
14,0.6104,0.686,0.708,0.7364,0.7352,0.764,0.8304,0.7276,0.708,0.7836,0.7488,0.8132,0.7744,0.9172,0.9376,0.26,0.2508,0.2164,0.1628,0.1608
15,0.5992,0.678,0.6748,0.74,0.7352,0.7344,0.808,0.7356,0.7172,0.7848,0.742,0.8248,0.7404,0.8284,0.8324,0.926,0.2444,0.1924,0.1452,0.1452
16,0.634,0.7172,0.71,0.7536,0.7436,0.7772,0.8268,0.7428,0.7224,0.7944,0.7532,0.8232,0.7492,0.8964,0.8656,0.8888,0.988,0.2096,0.1384,0.148
17,0.626,0.6972,0.6856,0.7548,0.7316,0.768,0.8276,0.7216,0.712,0.7796,0.7368,0.7648,0.754,0.8696,0.8604,0.8592,0.9548,0.9768,0.134,0.1384
18,0.6148,0.7096,0.6832,0.7328,0.7276,0.7608,0.838,0.7348,0.6896,0.7548,0.7124,0.7868,0.7084,0.8288,0.8268,0.8044,0.9316,0.9412,0.9604,0.1256
19,0.6096,0.6724,0.6928,0.7456,0.7116,0.7488,0.8032,0.7284,0.7048,0.7484,0.7008,0.7932,0.712,0.8088,0.8192,0.774,0.8776,0.8864,0.8892,0.93
20,0.5784,0.668,0.6928,0.7404,0.6956,0.7404,0.8104,0.7052,0.666,0.7384,0.7136,0.7236,0.6896,0.832,0.8384,0.7552,0.8644,0.878,0.8784,0.2016
21,0.5896,0.654,0.6816,0.75,0.6912,0.7312,0.812,0.7096,0.656,0.7496,0.7172,0.7528,0.6804,0.7928,0.7772,0.774,0.8696,0.8908,0.2044,0.2004
22,0.5856,0.6752,0.6976,0.7456,0.6952,0.7392,0.8044,0.714,0.6628,0.7472,0.6892,0.7776,0.698,0.8176,0.8004,0.7592,0.89,0.206,0.2012,0.2004
23,0.5864,0.684,0.696,0.7328,0.706,0.7536,0.8428,0.6896,0.648,0.7296,0.7028,0.7232,0.6628,0.8124,0.8368,0.7552,0.2684,0.224,0.2024,0.2
24,0.6004,0.6608,0.676,0.7364,0.6912,0.7308,0.8044,0.7152,0.6912,0.756,0.6904,0.7576,0.7052,0.7844,0.7852,0.2652,0.2824,0.21,0.2032,0.2
25,0.5384,0.6952,0.706,0.7128,0.6716,0.7524,0.8344,0.6792,0.65,0.7156,0.6704,0.6724,0.66,0.8056,0.204,0.2244,0.2372,0.2128,0.2012,0.2
26,0.5628,0.6376,0.666,0.7324,0.6668,0.698,0.7932,0.67,0.6336,0.72,0.706,0.714,0.6772,0.3844,0.2012,0.2204,0.2792,0.2296,0.2096,0.2
27,0.5948,0.6612,0.6764,0.7496,0.6896,0.744,0.822,0.7,0.6716,0.7652,0.7,0.728,0.2072,0.2916,0.202,0.2324,0.2672,0.212,0.2024,0.2
28,0.6128,0.6768,0.6792,0.7552,0.7188,0.7392,0.8052,0.7204,0.6724,0.746,0.6904,0.2028,0.2056,0.2956,0.2028,0.24,0.2644,0.2056,0.2024,0.2
29,0.5784,0.6748,0.6868,0.7516,0.6852,0.7372,0.8188,0.6912,0.6336,0.7508,0.2488,0.2016,0.2052,0.2732,0.2024,0.2288,0.2412,0.2052,0.2016,0.2
30,0.6096,0.654,0.6708,0.7604,0.7076,0.73,0.7816,0.7164,0.67,0.2164,0.2584,0.2016,0.2124,0.3268,0.202,0.2436,0.2696,0.204,0.2016,0.2
31,0.6056,0.6808,0.6788,0.7276,0.7036,0.7312,0.7944,0.7084,0.3016,0.2188,0.2344,0.2008,0.2076,0.298,0.2016,0.244,0.254,0.2048,0.2024,0.2
32,0.5716,0.7132,0.6912,0.718,0.7028,0.7496,0.8568,0.3056,0.242,0.2252,0.2536,0.2032,0.2012,0.2564,0.2028,0.216,0.228,0.2064,0.2,0.2
33,0.5536,0.7008,0.7072,0.712,0.676,0.7488,0.282,0.2948,0.264,0.2268,0.2432,0.2016,0.2028,0.2676,0.2016,0.2256,0.2192,0.2028,0.2,0.2
34,0.6056,0.7024,0.6908,0.732,0.69,0.2372,0.3224,0.3844,0.2824,0.218,0.248,0.2032,0.2172,0.3204,0.2028,0.2396,0.2296,0.2092,0.2024,0.2
35,0.6048,0.6156,0.6348,0.7412,0.234,0.2428,0.37,0.3756,0.2888,0.2152,0.2692,0.2016,0.2068,0.41,0.2,0.2172,0.2836,0.202,0.2016,0.2
36,0.5428,0.6604,0.66,0.2276,0.206,0.2104,0.2988,0.2448,0.2388,0.2072,0.2124,0.2,0.2048,0.2424,0.2,0.22,0.2196,0.2,0.2,0.2
37,0.5136,0.7036,0.2604,0.2268,0.2028,0.22,0.2732,0.2428,0.2324,0.2108,0.2384,0.2008,0.2012,0.2372,0.2044,0.2108,0.206,0.2012,0.2,0.2
38,0.5056,0.3264,0.2404,0.2364,0.2016,0.2132,0.244,0.2296,0.2212,0.2048,0.226,0.2016,0.2016,0.2408,0.2008,0.2068,0.2108,0.2064,0.2008,0.2
39,0.722,0.1756,0.272,0.1848,0.2836,0.1888,0.1488,0.2112,0.1896,0.3244,0.192,0.172,0.1964,0.2056,0.244,0.2,0.2848,0.2808,0.2488,0.178
