,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.44,0.158,0.174,0.214,0.23,0.168,0.188,0.16,0.2,0.198,0.212,0.2,0.174,0.204,0.218,0.114,0.178,0.154,0.22,0.35
1,0.47,0.614,0.222,0.26,0.256,0.116,0.208,0.154,0.2,0.202,0.182,0.204,0.292,0.168,0.188,0.236,0.14,0.044,0.206,0.316
2,0.482,0.508,0.752,0.292,0.242,0.216,0.152,0.182,0.192,0.158,0.188,0.194,0.22,0.168,0.214,0.176,0.186,0.144,0.198,0.212
3,0.536,0.536,0.696,0.756,0.236,0.27,0.234,0.184,0.18,0.204,0.178,0.208,0.18,0.192,0.216,0.242,0.18,0.136,0.188,0.266
4,0.52,0.612,0.656,0.738,0.654,0.266,0.264,0.222,0.176,0.204,0.158,0.198,0.192,0.192,0.132,0.176,0.158,0.082,0.202,0.282
5,0.49,0.63,0.704,0.708,0.596,0.812,0.258,0.194,0.18,0.218,0.174,0.156,0.204,0.192,0.174,0.19,0.166,0.134,0.198,0.31
6,0.498,0.594,0.642,0.708,0.614,0.782,0.792,0.202,0.19,0.144,0.184,0.174,0.186,0.162,0.172,0.192,0.154,0.086,0.206,0.24
7,0.55,0.62,0.644,0.666,0.62,0.766,0.746,0.698,0.218,0.192,0.174,0.134,0.208,0.192,0.164,0.2,0.158,0.11,0.206,0.266
8,0.56,0.64,0.63,0.748,0.598,0.764,0.758,0.67,0.782,0.178,0.18,0.154,0.178,0.192,0.124,0.186,0.14,0.076,0.202,0.27
9,0.538,0.638,0.634,0.704,0.562,0.746,0.738,0.608,0.762,0.664,0.164,0.146,0.192,0.182,0.146,0.184,0.158,0.074,0.186,0.228
10,0.538,0.606,0.624,0.702,0.604,0.754,0.72,0.612,0.78,0.652,0.644,0.202,0.23,0.152,0.158,0.198,0.172,0.136,0.174,0.254
11,0.546,0.642,0.65,0.7,0.602,0.768,0.748,0.604,0.77,0.642,0.646,0.802,0.27,0.19,0.224,0.19,0.178,0.07,0.204,0.278
12,0.514,0.662,0.63,0.678,0.626,0.776,0.748,0.61,0.752,0.664,0.622,0.792,0.748,0.19,0.19,0.194,0.224,0.126,0.22,0.268
13,0.588,0.65,0.654,0.67,0.642,0.74,0.742,0.606,0.716,0.654,0.578,0.77,0.708,0.798,0.194,0.19,0.158,0.116,0.196,0.266
14,0.578,0.666,0.662,0.686,0.642,0.742,0.706,0.582,0.754,0.618,0.606,0.742,0.704,0.794,0.83,0.22,0.166,0.144,0.216,0.25
15,0.538,0.65,0.672,0.692,0.618,0.732,0.696,0.592,0.762,0.614,0.604,0.746,0.682,0.704,0.8,0.706,0.2,0.168,0.226,0.252
16,0.57,0.66,0.692,0.692,0.646,0.732,0.756,0.59,0.76,0.624,0.65,0.722,0.678,0.754,0.768,0.744,0.806,0.11,0.224,0.262
17,0.58,0.664,0.698,0.726,0.63,0.732,0.754,0.586,0.768,0.65,0.616,0.73,0.698,0.74,0.754,0.696,0.782,0.862,0.23,0.238
18,0.578,0.636,0.656,0.708,0.612,0.73,0.756,0.594,0.814,0.642,0.628,0.704,0.672,0.734,0.778,0.686,0.802,0.836,0.77,0.25
19,0.566,0.646,0.712,0.694,0.584,0.776,0.68,0.61,0.726,0.65,0.624,0.722,0.7,0.734,0.76,0.68,0.746,0.77,0.688,0.744
20,0.57,0.652,0.708,0.694,0.586,0.756,0.696,0.598,0.704,0.656,0.586,0.73,0.682,0.76,0.78,0.672,0.73,0.786,0.68,0.28
21,0.562,0.668,0.634,0.672,0.576,0.778,0.744,0.598,0.764,0.656,0.646,0.712,0.67,0.712,0.778,0.67,0.784,0.788,0.226,0.294
22,0.558,0.652,0.672,0.672,0.566,0.738,0.732,0.594,0.73,0.686,0.628,0.69,0.686,0.712,0.78,0.65,0.756,0.296,0.218,0.282
23,0.566,0.648,0.67,0.682,0.608,0.712,0.718,0.602,0.732,0.624,0.594,0.702,0.65,0.736,0.78,0.676,0.21,0.218,0.21,0.258
24,0.568,0.67,0.67,0.678,0.61,0.752,0.74,0.602,0.744,0.664,0.618,0.7,0.684,0.724,0.784,0.226,0.224,0.214,0.206,0.266
25,0.584,0.634,0.672,0.664,0.54,0.778,0.75,0.568,0.762,0.644,0.662,0.708,0.642,0.698,0.238,0.224,0.252,0.22,0.224,0.226
26,0.58,0.66,0.682,0.656,0.572,0.728,0.74,0.582,0.716,0.666,0.622,0.7,0.652,0.352,0.232,0.222,0.232,0.236,0.22,0.236
27,0.556,0.642,0.662,0.698,0.572,0.742,0.736,0.598,0.732,0.664,0.618,0.696,0.286,0.326,0.238,0.22,0.242,0.26,0.208,0.248
28,0.586,0.624,0.666,0.708,0.546,0.74,0.714,0.594,0.726,0.614,0.62,0.272,0.252,0.38,0.218,0.258,0.252,0.222,0.206,0.214
29,0.59,0.628,0.628,0.688,0.602,0.722,0.718,0.6,0.706,0.622,0.274,0.274,0.23,0.34,0.222,0.238,0.222,0.234,0.216,0.232
30,0.572,0.628,0.654,0.69,0.56,0.714,0.748,0.588,0.696,0.252,0.254,0.256,0.268,0.316,0.22,0.218,0.23,0.24,0.21,0.23
31,0.564,0.608,0.618,0.68,0.55,0.742,0.69,0.55,0.28,0.214,0.278,0.278,0.218,0.356,0.224,0.212,0.254,0.214,0.228,0.208
32,0.566,0.61,0.652,0.682,0.59,0.688,0.668,0.244,0.244,0.218,0.228,0.25,0.224,0.304,0.208,0.228,0.214,0.208,0.206,0.214
33,0.558,0.608,0.642,0.688,0.584,0.722,0.324,0.232,0.26,0.222,0.248,0.266,0.23,0.33,0.218,0.218,0.228,0.214,0.208,0.214
