,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.702,0.166,0.2968,0.1956,0.224,0.1876,0.194,0.2192,0.2428,0.1004,0.2616,0.1648,0.1992,0.2404,0.2244,0.1424,0.3044,0.2,0.3212,0.1664
1,0.658,0.7428,0.1908,0.1808,0.2608,0.2248,0.2296,0.2472,0.1624,0.136,0.2224,0.13,0.1848,0.2032,0.256,0.1684,0.328,0.2008,0.3048,0.1972
2,0.6184,0.6856,0.8084,0.21,0.2516,0.1704,0.214,0.2216,0.1268,0.12,0.286,0.136,0.204,0.1648,0.2228,0.1648,0.1652,0.21,0.25,0.2004
3,0.614,0.6376,0.7492,0.8012,0.2492,0.1728,0.2132,0.2084,0.1804,0.1196,0.2532,0.1712,0.1912,0.2036,0.1796,0.1672,0.2476,0.1952,0.3084,0.1748
4,0.654,0.6144,0.704,0.7068,0.9172,0.2512,0.2216,0.2052,0.2172,0.118,0.2016,0.194,0.186,0.1956,0.1736,0.1436,0.1704,0.2104,0.1604,0.194
5,0.6376,0.6332,0.6724,0.6824,0.8356,0.9188,0.2352,0.2144,0.2448,0.0896,0.2352,0.1816,0.2108,0.1896,0.216,0.128,0.2432,0.2,0.2408,0.1868
6,0.6132,0.5828,0.5988,0.5616,0.7452,0.7924,0.7988,0.222,0.242,0.1332,0.2264,0.1796,0.2032,0.1636,0.2488,0.1812,0.2044,0.1712,0.1488,0.2012
7,0.6576,0.6096,0.6904,0.6196,0.7532,0.7904,0.7764,0.8992,0.2372,0.102,0.2592,0.1808,0.2268,0.1268,0.216,0.1584,0.2356,0.1764,0.1796,0.1936
8,0.6652,0.652,0.6864,0.6532,0.754,0.7896,0.7504,0.8548,0.9708,0.1068,0.242,0.1868,0.2408,0.1868,0.2276,0.1556,0.22,0.1964,0.1364,0.1936
9,0.6716,0.6272,0.6884,0.6352,0.7632,0.7796,0.7236,0.7832,0.8992,0.9284,0.254,0.1956,0.1832,0.1884,0.2216,0.1448,0.2116,0.194,0.156,0.2228
10,0.6392,0.6,0.6576,0.6,0.7076,0.7788,0.6808,0.7352,0.8168,0.8656,0.8504,0.1868,0.2048,0.222,0.2384,0.174,0.2688,0.1908,0.1544,0.2004
11,0.6632,0.612,0.654,0.638,0.7692,0.7756,0.6892,0.7128,0.8252,0.8392,0.8232,0.9664,0.1952,0.1864,0.2336,0.15,0.2592,0.1984,0.1316,0.182
12,0.6568,0.5816,0.6312,0.6144,0.7448,0.7848,0.6976,0.6472,0.7688,0.7892,0.7632,0.8992,0.9684,0.2112,0.2204,0.132,0.2052,0.1844,0.1416,0.19
13,0.6444,0.6284,0.6552,0.6056,0.716,0.8024,0.68,0.666,0.7704,0.772,0.7208,0.8532,0.9296,0.9484,0.1968,0.1244,0.2944,0.1552,0.2028,0.2
14,0.662,0.6244,0.66,0.5996,0.7212,0.752,0.67,0.6616,0.762,0.8092,0.7152,0.8236,0.8916,0.8892,0.9424,0.1332,0.2188,0.1848,0.1204,0.184
15,0.6408,0.5932,0.6616,0.6436,0.704,0.7636,0.6672,0.6348,0.746,0.774,0.7096,0.816,0.8704,0.8776,0.8524,0.9576,0.2024,0.1748,0.1228,0.184
16,0.6508,0.588,0.6416,0.6332,0.712,0.7848,0.6472,0.6344,0.724,0.7336,0.6888,0.8044,0.8724,0.864,0.8544,0.934,0.952,0.1796,0.186,0.186
17,0.6636,0.6052,0.6732,0.6104,0.7216,0.7676,0.6564,0.6612,0.738,0.7636,0.6968,0.774,0.8204,0.8428,0.7996,0.9056,0.878,0.9652,0.134,0.1884
18,0.6708,0.5984,0.6668,0.6092,0.7364,0.7768,0.6488,0.624,0.7148,0.7304,0.632,0.784,0.8272,0.8428,0.7944,0.902,0.826,0.8748,0.9568,0.1888
19,0.6668,0.6412,0.6696,0.6256,0.7484,0.7776,0.6516,0.6504,0.7728,0.752,0.648,0.7664,0.8136,0.8432,0.7764,0.8756,0.8388,0.858,0.924,0.9288
20,0.6568,0.5768,0.6376,0.584,0.7108,0.7912,0.6348,0.6088,0.7408,0.7232,0.6492,0.7536,0.82,0.818,0.74,0.858,0.8124,0.8336,0.9172,0.526
21,0.6252,0.5928,0.6468,0.606,0.718,0.7636,0.6176,0.6188,0.7436,0.7312,0.6552,0.7444,0.7936,0.8144,0.72,0.8648,0.7824,0.8476,0.4648,0.4988
22,0.6176,0.6088,0.6232,0.5904,0.7124,0.7536,0.6196,0.5896,0.7152,0.7188,0.6456,0.7332,0.7848,0.8308,0.7476,0.8416,0.7792,0.3972,0.5388,0.5396
23,0.6064,0.5848,0.6396,0.5588,0.718,0.7232,0.6208,0.5988,0.738,0.718,0.6372,0.7244,0.7852,0.8316,0.712,0.84,0.3332,0.438,0.4504,0.4588
24,0.5772,0.6104,0.612,0.5752,0.7328,0.7496,0.606,0.6036,0.7024,0.6712,0.6312,0.702,0.7292,0.758,0.708,0.3332,0.362,0.3772,0.4504,0.4576
25,0.5904,0.5808,0.614,0.5548,0.7196,0.7452,0.626,0.5944,0.7256,0.696,0.6268,0.696,0.7556,0.7816,0.2856,0.2956,0.3548,0.3992,0.4176,0.4568
26,0.5908,0.584,0.6036,0.562,0.6724,0.6888,0.6032,0.5944,0.6816,0.6612,0.5996,0.7244,0.6908,0.2932,0.3348,0.354,0.3564,0.3688,0.382,0.4184
27,0.5788,0.5476,0.5752,0.5628,0.6788,0.704,0.5932,0.592,0.6784,0.6708,0.6276,0.7024,0.2496,0.338,0.2968,0.3316,0.3104,0.294,0.2912,0.4076
28,0.5896,0.588,0.5688,0.5728,0.66,0.7116,0.5948,0.6028,0.7112,0.6796,0.5864,0.3156,0.294,0.3068,0.2508,0.2664,0.2848,0.3048,0.26,0.4028
29,0.61,0.5916,0.6,0.5868,0.6516,0.704,0.5728,0.5844,0.6696,0.7052,0.2588,0.3768,0.2772,0.2864,0.2884,0.308,0.2988,0.3296,0.2884,0.3952
