,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.744,0.2,0.2,0.194,0.144,0.2,0.212,0.206,0.162,0.196,0.148,0.15,0.296,0.174,0.236,0.178,0.264,0.2,0.276,0.202
1,0.654,0.694,0.164,0.18,0.158,0.2,0.23,0.18,0.19,0.246,0.128,0.18,0.274,0.18,0.202,0.186,0.186,0.2,0.31,0.192
2,0.604,0.64,0.65,0.182,0.166,0.204,0.232,0.26,0.236,0.232,0.254,0.232,0.254,0.196,0.196,0.218,0.21,0.206,0.202,0.194
3,0.632,0.724,0.684,0.756,0.236,0.212,0.218,0.264,0.212,0.126,0.126,0.174,0.242,0.202,0.294,0.154,0.156,0.23,0.25,0.164
4,0.68,0.688,0.588,0.702,0.756,0.21,0.208,0.178,0.172,0.18,0.206,0.222,0.258,0.164,0.256,0.222,0.178,0.248,0.378,0.146
5,0.608,0.636,0.614,0.678,0.664,0.648,0.226,0.152,0.202,0.172,0.134,0.25,0.282,0.186,0.248,0.268,0.208,0.204,0.31,0.152
6,0.584,0.684,0.614,0.626,0.692,0.602,0.654,0.242,0.202,0.24,0.1,0.23,0.214,0.194,0.21,0.184,0.108,0.218,0.366,0.17
7,0.59,0.646,0.588,0.626,0.708,0.616,0.628,0.768,0.186,0.236,0.092,0.256,0.23,0.186,0.23,0.19,0.13,0.218,0.362,0.158
8,0.576,0.642,0.62,0.65,0.668,0.588,0.576,0.7,0.672,0.162,0.098,0.182,0.244,0.196,0.21,0.192,0.088,0.22,0.292,0.166
9,0.586,0.666,0.6,0.658,0.668,0.566,0.61,0.67,0.652,0.756,0.082,0.214,0.228,0.206,0.222,0.176,0.108,0.222,0.252,0.166
10,0.558,0.662,0.612,0.626,0.644,0.54,0.62,0.65,0.588,0.706,0.822,0.218,0.22,0.206,0.224,0.23,0.142,0.222,0.296,0.148
11,0.594,0.694,0.618,0.632,0.696,0.524,0.592,0.66,0.588,0.702,0.804,0.686,0.27,0.196,0.236,0.21,0.136,0.226,0.302,0.17
12,0.586,0.724,0.622,0.7,0.668,0.506,0.578,0.632,0.612,0.68,0.78,0.68,0.772,0.194,0.2,0.21,0.186,0.214,0.244,0.14
13,0.6,0.67,0.622,0.678,0.664,0.538,0.58,0.662,0.578,0.68,0.778,0.638,0.71,0.682,0.212,0.192,0.116,0.222,0.29,0.164
14,0.62,0.698,0.6,0.654,0.646,0.524,0.558,0.686,0.612,0.658,0.746,0.59,0.63,0.65,0.752,0.176,0.12,0.202,0.296,0.146
15,0.606,0.704,0.644,0.644,0.698,0.516,0.562,0.662,0.544,0.59,0.732,0.63,0.634,0.634,0.692,0.694,0.13,0.206,0.256,0.108
16,0.614,0.66,0.63,0.658,0.666,0.546,0.586,0.672,0.564,0.626,0.774,0.6,0.64,0.582,0.618,0.662,0.726,0.228,0.29,0.152
17,0.614,0.686,0.622,0.672,0.672,0.53,0.55,0.622,0.548,0.656,0.726,0.622,0.666,0.616,0.618,0.63,0.632,0.786,0.302,0.164
18,0.618,0.716,0.614,0.684,0.698,0.51,0.582,0.632,0.588,0.664,0.754,0.6,0.694,0.63,0.624,0.646,0.666,0.794,0.87,0.158
19,0.632,0.704,0.614,0.658,0.698,0.53,0.612,0.64,0.588,0.668,0.754,0.64,0.67,0.598,0.632,0.63,0.612,0.758,0.806,0.798
20,0.652,0.736,0.626,0.718,0.7,0.54,0.636,0.688,0.606,0.686,0.76,0.62,0.676,0.632,0.686,0.652,0.668,0.738,0.804,0.596
21,0.678,0.724,0.648,0.678,0.696,0.512,0.622,0.698,0.586,0.692,0.732,0.62,0.682,0.628,0.664,0.624,0.632,0.736,0.714,0.55
22,0.668,0.764,0.648,0.706,0.698,0.512,0.588,0.68,0.598,0.676,0.724,0.622,0.652,0.636,0.646,0.632,0.598,0.57,0.708,0.536
23,0.688,0.744,0.626,0.74,0.7,0.542,0.636,0.702,0.614,0.646,0.722,0.62,0.67,0.642,0.646,0.602,0.622,0.644,0.684,0.578
24,0.678,0.744,0.63,0.75,0.66,0.522,0.586,0.682,0.622,0.66,0.744,0.6,0.63,0.64,0.606,0.516,0.542,0.624,0.638,0.516
25,0.666,0.732,0.618,0.73,0.662,0.55,0.594,0.678,0.592,0.644,0.708,0.612,0.64,0.634,0.53,0.522,0.582,0.668,0.55,0.472
26,0.668,0.722,0.608,0.728,0.678,0.534,0.568,0.662,0.64,0.65,0.73,0.604,0.662,0.57,0.488,0.52,0.602,0.588,0.596,0.462
27,0.674,0.712,0.596,0.716,0.66,0.55,0.548,0.654,0.582,0.652,0.702,0.602,0.5,0.506,0.462,0.494,0.572,0.468,0.478,0.444
28,0.68,0.7,0.59,0.694,0.682,0.6,0.6,0.648,0.596,0.648,0.7,0.502,0.542,0.534,0.488,0.52,0.6,0.496,0.55,0.458
29,0.658,0.7,0.604,0.702,0.69,0.552,0.602,0.688,0.564,0.644,0.522,0.544,0.496,0.52,0.406,0.526,0.568,0.558,0.554,0.474
30,0.68,0.698,0.584,0.724,0.67,0.566,0.556,0.646,0.58,0.446,0.596,0.57,0.55,0.534,0.428,0.504,0.588,0.572,0.446,0.448
31,0.686,0.666,0.594,0.666,0.616,0.584,0.586,0.66,0.464,0.508,0.56,0.482,0.468,0.49,0.478,0.524,0.55,0.622,0.526,0.464
32,0.638,0.744,0.624,0.648,0.652,0.578,0.586,0.626,0.504,0.472,0.516,0.532,0.534,0.508,0.394,0.52,0.548,0.584,0.466,0.498
33,0.6,0.726,0.602,0.7,0.644,0.562,0.458,0.552,0.508,0.508,0.508,0.524,0.484,0.5,0.414,0.53,0.518,0.47,0.502,0.486
34,0.694,0.738,0.644,0.714,0.704,0.43,0.406,0.51,0.442,0.472,0.442,0.438,0.548,0.496,0.404,0.506,0.406,0.462,0.478,0.464
35,0.69,0.704,0.634,0.708,0.538,0.362,0.416,0.47,0.442,0.408,0.408,0.49,0.558,0.468,0.356,0.514,0.436,0.482,0.45,0.376
36,0.706,0.728,0.622,0.532,0.52,0.356,0.404,0.48,0.428,0.384,0.41,0.356,0.452,0.426,0.362,0.462,0.352,0.414,0.4,0.382
37,0.65,0.702,0.464,0.52,0.434,0.316,0.416,0.338,0.37,0.294,0.39,0.338,0.398,0.358,0.342,0.46,0.334,0.442,0.33,0.322
38,0.704,0.568,0.416,0.546,0.404,0.29,0.348,0.3,0.314,0.256,0.342,0.284,0.318,0.354,0.296,0.37,0.252,0.364,0.34,0.28
39,0.482,0.2,0.262,0.146,0.19,0.156,0.252,0.252,0.282,0.204,0.204,0.238,0.272,0.196,0.244,0.186,0.276,0.202,0.202,0.238
40,0.56,0.77,0.14,0.188,0.274,0.192,0.158,0.254,0.206,0.27,0.148,0.252,0.342,0.198,0.29,0.166,0.168,0.198,0.214,0.242
41,0.51,0.642,0.694,0.226,0.24,0.212,0.154,0.252,0.176,0.238,0.218,0.224,0.27,0.18,0.27,0.236,0.212,0.174,0.142,0.268
42,0.556,0.638,0.63,0.664,0.252,0.2,0.194,0.236,0.184,0.258,0.194,0.206,0.252,0.134,0.21,0.246,0.226,0.2,0.166,0.222
43,0.504,0.658,0.59,0.614,0.502,0.22,0.166,0.26,0.188,0.26,0.166,0.214,0.306,0.168,0.222,0.186,0.21,0.21,0.208,0.254
44,0.546,0.728,0.674,0.61,0.498,0.734,0.172,0.204,0.138,0.26,0.218,0.264,0.284,0.158,0.238,0.2,0.214,0.22,0.27,0.232
45,0.598,0.646,0.676,0.624,0.46,0.702,0.75,0.244,0.228,0.22,0.192,0.288,0.288,0.162,0.214,0.156,0.238,0.22,0.244,0.252
46,0.568,0.674,0.658,0.582,0.472,0.656,0.602,0.686,0.188,0.25,0.192,0.308,0.272,0.174,0.146,0.094,0.262,0.236,0.306,0.264
47,0.556,0.684,0.664,0.622,0.49,0.69,0.666,0.666,0.7,0.274,0.232,0.298,0.252,0.184,0.176,0.174,0.266,0.228,0.254,0.254
