,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7512,0.0836,0.2128,0.1516,0.2332,0.1856,0.2388,0.198,0.1704,0.2024,0.1336,0.2,0.3436,0.2188,0.228,0.2192,0.1964,0.1912,0.3236,0.2108
1,0.7068,0.7792,0.1252,0.1808,0.2368,0.1512,0.2236,0.232,0.2156,0.1616,0.1628,0.2284,0.2512,0.2408,0.304,0.2368,0.2,0.206,0.2432,0.17
2,0.672,0.7144,0.8288,0.2052,0.2668,0.1032,0.2224,0.1908,0.184,0.1688,0.1684,0.1828,0.3304,0.266,0.26,0.2248,0.204,0.2204,0.2388,0.18
3,0.6648,0.6924,0.7704,0.7332,0.1912,0.1576,0.2248,0.2316,0.1888,0.156,0.1912,0.204,0.2684,0.2756,0.266,0.2136,0.192,0.222,0.2428,0.1488
4,0.7232,0.7172,0.756,0.802,0.7824,0.1048,0.2116,0.1884,0.18,0.1744,0.0992,0.172,0.2596,0.2192,0.2644,0.174,0.1928,0.2648,0.2136,0.1804
5,0.734,0.704,0.7896,0.7832,0.7592,0.8912,0.1932,0.1616,0.1904,0.1952,0.1092,0.1556,0.2788,0.2604,0.2676,0.152,0.176,0.2468,0.2884,0.182
6,0.7156,0.6988,0.7428,0.7412,0.686,0.848,0.8464,0.1668,0.1808,0.1548,0.1656,0.1888,0.24,0.2468,0.2808,0.1224,0.1852,0.2124,0.2324,0.1916
7,0.7388,0.6628,0.7216,0.7104,0.646,0.8032,0.8096,0.796,0.206,0.1776,0.1168,0.1996,0.2268,0.2732,0.2656,0.1628,0.1588,0.1912,0.2528,0.2008
8,0.7252,0.6896,0.7364,0.7256,0.6316,0.7772,0.7624,0.7424,0.9072,0.1604,0.1496,0.1692,0.2752,0.2536,0.2824,0.1904,0.178,0.21,0.2508,0.1992
9,0.7536,0.7016,0.746,0.7372,0.6236,0.8136,0.7616,0.716,0.844,0.948,0.148,0.1936,0.2496,0.2548,0.298,0.2008,0.164,0.2052,0.2184,0.1968
10,0.7352,0.7016,0.7416,0.7204,0.6128,0.8268,0.7268,0.6772,0.7952,0.902,0.9664,0.1756,0.1996,0.2932,0.302,0.1672,0.1452,0.1884,0.246,0.2008
11,0.7148,0.7096,0.7704,0.766,0.6544,0.8188,0.7256,0.6524,0.7624,0.8584,0.906,0.9592,0.2668,0.2732,0.2496,0.16,0.17,0.1944,0.2432,0.208
12,0.6908,0.674,0.748,0.7292,0.6068,0.7956,0.6968,0.5988,0.7344,0.8128,0.8836,0.9064,0.9244,0.2708,0.23,0.156,0.1592,0.2176,0.278,0.2064
13,0.7344,0.6736,0.7244,0.7232,0.6188,0.8,0.7236,0.6432,0.7316,0.7872,0.84,0.8752,0.9096,0.9648,0.232,0.1616,0.142,0.1856,0.2716,0.1972
