,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7252,0.17,0.1504,0.1896,0.2632,0.2712,0.0752,0.1868,0.2136,0.2412,0.2864,0.236,0.2016,0.1992,0.1296,0.242,0.1956,0.2644,0.1992,0.202
1,0.6488,0.6604,0.162,0.1744,0.212,0.28,0.1168,0.1676,0.104,0.2132,0.2036,0.1428,0.1896,0.2052,0.1476,0.2264,0.224,0.1888,0.2,0.1964
2,0.7012,0.3716,0.2028,0.1648,0.196,0.2852,0.1288,0.1156,0.0964,0.2364,0.2016,0.1512,0.1892,0.224,0.1768,0.3316,0.1952,0.1756,0.2,0.196
3,0.7212,0.8704,0.178,0.1436,0.1616,0.2772,0.1316,0.1692,0.1896,0.222,0.2132,0.1488,0.1996,0.1924,0.1464,0.1976,0.2232,0.2192,0.1984,0.2092
4,0.6968,0.8052,0.8052,0.1656,0.1944,0.2816,0.106,0.156,0.1728,0.2124,0.2144,0.1408,0.1692,0.1852,0.1628,0.1772,0.1812,0.2148,0.1988,0.1916
5,0.7148,0.6816,0.4268,0.1768,0.1636,0.2724,0.0868,0.196,0.1912,0.2368,0.2044,0.088,0.174,0.2544,0.1572,0.2736,0.2648,0.2136,0.2,0.2
6,0.6884,0.7392,0.9072,0.168,0.1852,0.2728,0.1364,0.1652,0.2004,0.2068,0.224,0.1728,0.1832,0.186,0.1904,0.2388,0.194,0.2056,0.1984,0.1712
7,0.694,0.6988,0.7896,0.8652,0.1852,0.3188,0.1464,0.1592,0.1964,0.2404,0.2596,0.1956,0.1788,0.1888,0.2056,0.1732,0.1332,0.2008,0.1964,0.1804
8,0.686,0.722,0.7712,0.3976,0.1288,0.298,0.12,0.1744,0.07,0.2188,0.1832,0.2108,0.1876,0.192,0.2148,0.2048,0.1352,0.2176,0.1976,0.1832
9,0.6828,0.694,0.7888,0.9596,0.1932,0.2996,0.1432,0.1508,0.192,0.2304,0.2436,0.18,0.1672,0.1868,0.202,0.1572,0.1428,0.1912,0.1984,0.1804
10,0.6768,0.6516,0.768,0.822,0.948,0.2968,0.1356,0.214,0.1656,0.262,0.2284,0.2244,0.1984,0.1812,0.1704,0.166,0.1588,0.2228,0.1984,0.1648
11,0.706,0.704,0.7416,0.6588,0.3452,0.2904,0.1336,0.1848,0.1512,0.2412,0.2236,0.1676,0.1536,0.1632,0.1684,0.3056,0.2012,0.2028,0.1972,0.1484
12,0.71,0.6652,0.8064,0.8216,0.978,0.2912,0.1152,0.2204,0.1852,0.2548,0.206,0.2228,0.18,0.178,0.176,0.1528,0.1716,0.2016,0.1976,0.1744
13,0.6408,0.6644,0.6828,0.7136,0.864,0.9152,0.102,0.2252,0.166,0.2708,0.1556,0.2316,0.1588,0.1796,0.2056,0.1648,0.1788,0.19,0.1964,0.2048
14,0.6708,0.6648,0.7,0.6576,0.7728,0.428,0.2168,0.2932,0.1296,0.2192,0.1892,0.3152,0.176,0.1976,0.1636,0.2892,0.1636,0.228,0.1964,0.2184
15,0.6748,0.7116,0.6868,0.7372,0.828,0.9672,0.114,0.2064,0.1684,0.2812,0.1584,0.2076,0.1736,0.1864,0.212,0.184,0.1896,0.2056,0.194,0.2048
16,0.684,0.6276,0.6256,0.6656,0.7512,0.908,0.9392,0.2016,0.1712,0.2732,0.18,0.1628,0.1748,0.1828,0.1976,0.2472,0.1956,0.2116,0.1892,0.2068
17,0.624,0.6824,0.6784,0.6324,0.7284,0.8404,0.4196,0.2564,0.2104,0.1992,0.1892,0.1808,0.1564,0.2108,0.2168,0.2632,0.2524,0.204,0.1988,0.1904
18,0.6968,0.6644,0.6696,0.694,0.7892,0.9108,0.9644,0.2056,0.1692,0.278,0.1928,0.1624,0.1704,0.1748,0.2024,0.2048,0.1764,0.2224,0.1912,0.1964
19,0.6592,0.6464,0.6336,0.65,0.714,0.844,0.8612,0.9672,0.1952,0.274,0.18,0.1772,0.1952,0.1636,0.2112,0.1912,0.204,0.2428,0.1952,0.19
20,0.7028,0.6116,0.6528,0.6536,0.68,0.7948,0.7556,0.4016,0.2212,0.276,0.1516,0.1752,0.1872,0.2076,0.1896,0.1676,0.1852,0.2036,0.1904,0.2172
