,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.674,0.202,0.118,0.172,0.188,0.196,0.212,0.184,0.142,0.186,0.21,0.176,0.198,0.166,0.216,0.22,0.118,0.216,0.198,0.182
1,0.524,0.584,0.282,0.172,0.254,0.162,0.106,0.284,0.162,0.136,0.194,0.158,0.2,0.162,0.194,0.222,0.088,0.246,0.192,0.24
2,0.658,0.33,0.266,0.122,0.212,0.15,0.184,0.282,0.166,0.184,0.216,0.204,0.168,0.132,0.21,0.198,0.074,0.212,0.208,0.182
3,0.64,0.682,0.252,0.148,0.248,0.168,0.142,0.252,0.134,0.134,0.228,0.188,0.242,0.16,0.222,0.196,0.136,0.168,0.204,0.186
4,0.592,0.642,0.77,0.18,0.282,0.138,0.216,0.162,0.168,0.102,0.244,0.232,0.234,0.142,0.224,0.242,0.16,0.214,0.186,0.226
5,0.628,0.652,0.344,0.15,0.256,0.134,0.122,0.226,0.13,0.192,0.2,0.204,0.108,0.128,0.224,0.228,0.172,0.22,0.192,0.168
6,0.606,0.634,0.784,0.266,0.276,0.152,0.24,0.13,0.198,0.124,0.224,0.22,0.234,0.142,0.248,0.23,0.16,0.224,0.194,0.206
7,0.62,0.586,0.718,0.78,0.21,0.174,0.232,0.188,0.262,0.186,0.23,0.202,0.204,0.186,0.218,0.244,0.174,0.196,0.196,0.22
8,0.622,0.604,0.682,0.352,0.228,0.18,0.208,0.176,0.174,0.108,0.246,0.208,0.244,0.154,0.3,0.238,0.196,0.152,0.194,0.22
9,0.612,0.598,0.722,0.78,0.192,0.172,0.24,0.216,0.244,0.17,0.24,0.208,0.224,0.154,0.238,0.226,0.166,0.19,0.19,0.236
10,0.57,0.618,0.682,0.72,0.758,0.176,0.174,0.206,0.232,0.164,0.246,0.19,0.188,0.18,0.23,0.238,0.158,0.184,0.21,0.204
11,0.604,0.63,0.65,0.672,0.324,0.186,0.194,0.188,0.2,0.134,0.282,0.198,0.194,0.166,0.208,0.224,0.202,0.184,0.19,0.24
12,0.568,0.602,0.662,0.726,0.756,0.17,0.228,0.206,0.234,0.154,0.254,0.21,0.156,0.148,0.23,0.24,0.156,0.154,0.206,0.212
13,0.526,0.56,0.632,0.614,0.686,0.642,0.26,0.15,0.174,0.19,0.232,0.206,0.196,0.152,0.242,0.18,0.172,0.19,0.204,0.262
14,0.634,0.602,0.64,0.622,0.69,0.322,0.206,0.204,0.198,0.144,0.234,0.172,0.142,0.148,0.234,0.178,0.144,0.168,0.198,0.196
15,0.576,0.576,0.704,0.624,0.706,0.672,0.27,0.162,0.196,0.186,0.244,0.208,0.216,0.132,0.242,0.156,0.132,0.184,0.2,0.218
