,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7132,0.2064,0.1028,0.18,0.1656,0.1872,0.1952,0.2088,0.1416,0.1792,0.2184,0.1608,0.1952,0.1864,0.2156,0.2128,0.11,0.2264,0.1996,0.1796
1,0.5608,0.63,0.2632,0.1692,0.2324,0.1712,0.1052,0.2732,0.1636,0.1368,0.2008,0.1384,0.166,0.1772,0.1944,0.2136,0.1032,0.2484,0.2028,0.268
2,0.6876,0.3452,0.266,0.1472,0.2024,0.1692,0.2008,0.2804,0.1696,0.2012,0.2096,0.1764,0.1592,0.1612,0.2092,0.2052,0.0712,0.194,0.2012,0.2228
3,0.7024,0.8276,0.2544,0.1816,0.2256,0.1512,0.1692,0.2536,0.1244,0.1432,0.232,0.1632,0.254,0.1644,0.2048,0.1852,0.1444,0.1836,0.1984,0.2204
4,0.6452,0.78,0.8084,0.1984,0.248,0.156,0.2484,0.1628,0.1556,0.1252,0.234,0.206,0.2396,0.1692,0.2072,0.2248,0.1588,0.2168,0.1948,0.2304
5,0.6876,0.7776,0.3792,0.1844,0.2256,0.1332,0.1468,0.2208,0.1088,0.2004,0.204,0.1884,0.1172,0.1456,0.224,0.2088,0.1788,0.2264,0.198,0.1836
6,0.6492,0.7748,0.9136,0.27,0.2408,0.1624,0.2624,0.1316,0.1852,0.1692,0.2304,0.2028,0.2352,0.1556,0.2172,0.212,0.1652,0.2044,0.2008,0.2228
7,0.6684,0.7036,0.808,0.8888,0.2064,0.1736,0.2464,0.1964,0.2472,0.1692,0.224,0.186,0.2108,0.1816,0.2284,0.1984,0.1804,0.188,0.194,0.2384
8,0.6832,0.742,0.7612,0.4324,0.1988,0.1916,0.2244,0.1752,0.1956,0.1352,0.2352,0.1976,0.2324,0.176,0.2916,0.2196,0.2172,0.1476,0.2012,0.25
9,0.6784,0.7224,0.8288,0.9412,0.208,0.1692,0.2492,0.2344,0.2416,0.1708,0.2208,0.1912,0.2216,0.1812,0.234,0.1948,0.176,0.1732,0.1936,0.226
10,0.644,0.694,0.7872,0.8296,0.906,0.1936,0.1948,0.2176,0.2192,0.1736,0.2316,0.1892,0.212,0.1916,0.2388,0.218,0.1476,0.1636,0.2008,0.23
11,0.6796,0.6968,0.7272,0.77,0.3532,0.1908,0.2088,0.1896,0.1904,0.1608,0.2532,0.1872,0.198,0.1824,0.1756,0.2164,0.1932,0.1892,0.1828,0.2408
12,0.648,0.6768,0.7744,0.8476,0.9456,0.1856,0.2284,0.2284,0.2104,0.1488,0.2324,0.1896,0.1812,0.1788,0.242,0.2196,0.1392,0.1652,0.2004,0.2436
13,0.58,0.6624,0.724,0.7084,0.846,0.8628,0.2508,0.146,0.1736,0.202,0.2232,0.2056,0.2252,0.1736,0.2284,0.1612,0.1656,0.184,0.2016,0.2248
14,0.6792,0.696,0.702,0.7156,0.7976,0.4024,0.1956,0.1884,0.1724,0.138,0.2264,0.186,0.1628,0.1712,0.2288,0.1652,0.1532,0.1628,0.1964,0.196
15,0.6468,0.678,0.7676,0.7392,0.8508,0.9344,0.2564,0.1712,0.1824,0.1868,0.2276,0.2012,0.2316,0.166,0.2352,0.1576,0.1512,0.2136,0.2036,0.2192
16,0.6116,0.6688,0.7004,0.7376,0.782,0.8196,0.942,0.1704,0.1416,0.1812,0.2268,0.2052,0.2888,0.154,0.2184,0.1808,0.1872,0.2016,0.1992,0.2108
17,0.69,0.7084,0.6844,0.754,0.8384,0.7576,0.3876,0.1592,0.1664,0.2628,0.2208,0.2024,0.1176,0.1708,0.2256,0.1596,0.1364,0.2036,0.2048,0.2272
18,0.6248,0.6804,0.7316,0.7576,0.808,0.8216,0.9712,0.1684,0.1552,0.1744,0.2116,0.206,0.3008,0.1524,0.2272,0.2044,0.18,0.2016,0.196,0.1976
19,0.6204,0.636,0.7044,0.708,0.7932,0.7968,0.8992,0.9432,0.196,0.182,0.2292,0.2012,0.1448,0.1652,0.2148,0.1928,0.1364,0.202,0.1944,0.2532
20,0.6856,0.7024,0.7416,0.696,0.7916,0.7472,0.8392,0.4984,0.1424,0.1308,0.2088,0.236,0.2108,0.1608,0.2088,0.1976,0.166,0.1708,0.1956,0.1896
21,0.6348,0.664,0.7412,0.7164,0.8224,0.804,0.9248,0.964,0.1852,0.152,0.2316,0.1956,0.1348,0.154,0.2124,0.1912,0.1432,0.2044,0.1968,0.2456
22,0.6172,0.6084,0.6624,0.7088,0.7608,0.7248,0.82,0.8764,0.8648,0.1736,0.2372,0.144,0.086,0.164,0.2404,0.2052,0.2096,0.1528,0.1936,0.2308
23,0.6856,0.6648,0.6904,0.7156,0.7972,0.6628,0.7848,0.8272,0.4352,0.142,0.2408,0.168,0.1944,0.1584,0.2144,0.2092,0.1796,0.2124,0.2072,0.2076
24,0.6536,0.6272,0.6816,0.7308,0.7824,0.7204,0.834,0.882,0.9328,0.164,0.232,0.146,0.0888,0.16,0.2328,0.2036,0.1964,0.164,0.198,0.25
25,0.62,0.5968,0.656,0.6444,0.7612,0.668,0.8332,0.8204,0.7308,0.9332,0.2068,0.1592,0.1264,0.202,0.218,0.236,0.1372,0.1268,0.1988,0.2268
26,0.6552,0.6596,0.704,0.6836,0.7724,0.6668,0.726,0.8244,0.7228,0.4516,0.2228,0.1548,0.152,0.18,0.2524,0.206,0.1888,0.1556,0.19,0.2068
27,0.6156,0.6196,0.692,0.696,0.7752,0.7108,0.8552,0.8608,0.776,0.9628,0.2144,0.1612,0.148,0.1804,0.2288,0.2124,0.1184,0.1264,0.1968,0.2168
28,0.594,0.5832,0.6624,0.6148,0.7912,0.6688,0.808,0.8424,0.6412,0.9108,0.9012,0.1868,0.1452,0.1912,0.2448,0.218,0.1212,0.122,0.2,0.1948
29,0.6536,0.6628,0.6936,0.6492,0.778,0.6676,0.7492,0.8512,0.6384,0.8532,0.4552,0.1568,0.1404,0.2212,0.236,0.2212,0.1352,0.1452,0.1996,0.2056
30,0.62,0.6208,0.69,0.646,0.8036,0.6864,0.832,0.8536,0.6648,0.9212,0.9436,0.1864,0.132,0.1696,0.2264,0.2096,0.1124,0.146,0.198,0.1832
31,0.6,0.5988,0.6684,0.6044,0.7328,0.6416,0.7948,0.8172,0.6076,0.8536,0.8468,0.9332,0.1488,0.1964,0.2248,0.1964,0.1036,0.1428,0.1916,0.1968
32,0.6656,0.6656,0.67,0.6896,0.7412,0.6732,0.8128,0.83,0.6244,0.8312,0.8176,0.496,0.144,0.1624,0.214,0.2112,0.1908,0.144,0.1952,0.2344
33,0.6208,0.6148,0.6976,0.6316,0.7608,0.666,0.7948,0.8352,0.6244,0.864,0.8552,0.9816,0.1324,0.1908,0.234,0.1968,0.1104,0.1392,0.194,0.184
34,0.5988,0.6132,0.6812,0.6772,0.7764,0.6304,0.7916,0.7832,0.6764,0.8016,0.7716,0.8664,0.9376,0.1912,0.2312,0.234,0.164,0.1732,0.2004,0.2144
35,0.672,0.6292,0.7,0.6924,0.7592,0.644,0.7684,0.814,0.658,0.8036,0.8048,0.832,0.5604,0.1892,0.2188,0.2112,0.1836,0.1452,0.206,0.2016
36,0.6516,0.6404,0.7044,0.6996,0.7888,0.654,0.8156,0.8236,0.6792,0.8344,0.788,0.876,0.9684,0.2024,0.2488,0.2332,0.1472,0.156,0.1992,0.2416
37,0.6128,0.6316,0.6924,0.6672,0.7608,0.6164,0.7668,0.754,0.604,0.7716,0.7128,0.7988,0.886,0.9108,0.2388,0.1992,0.198,0.1808,0.192,0.2028
38,0.6648,0.6636,0.7196,0.7044,0.762,0.6528,0.7704,0.7704,0.6128,0.7704,0.7036,0.7312,0.8616,0.4616,0.2568,0.1948,0.1832,0.1688,0.1988,0.2136
39,0.6364,0.6644,0.7124,0.6876,0.7724,0.646,0.79,0.7764,0.6464,0.782,0.7344,0.8132,0.8956,0.9608,0.2456,0.1952,0.1944,0.1816,0.1852,0.192
40,0.6208,0.6544,0.6652,0.6744,0.7576,0.614,0.7824,0.7648,0.598,0.764,0.6896,0.7352,0.8452,0.8492,0.9216,0.202,0.1628,0.1988,0.1964,0.2024
41,0.6836,0.6384,0.716,0.672,0.7368,0.6296,0.784,0.796,0.6464,0.7936,0.7092,0.7528,0.8256,0.8212,0.5368,0.2144,0.1588,0.1816,0.188,0.204
42,0.638,0.6708,0.7016,0.6868,0.7756,0.6356,0.8076,0.7792,0.63,0.7868,0.7292,0.7728,0.8632,0.8552,0.96,0.19,0.1712,0.184,0.1964,0.1976
43,0.6348,0.664,0.6904,0.6536,0.758,0.6076,0.7736,0.7524,0.6212,0.7796,0.7164,0.7208,0.8336,0.7848,0.8788,0.9552,0.16,0.154,0.1972,0.198
44,0.6308,0.634,0.6772,0.6372,0.736,0.5744,0.7388,0.7612,0.6396,0.788,0.6804,0.7328,0.7988,0.6864,0.7796,0.3028,0.1412,0.1564,0.1936,0.2388
45,0.6596,0.6724,0.7044,0.6628,0.7636,0.6144,0.7912,0.7632,0.6292,0.786,0.7296,0.744,0.8468,0.7852,0.876,0.972,0.14,0.1568,0.2036,0.1896
46,0.6348,0.64,0.6796,0.672,0.7592,0.5896,0.7616,0.7616,0.6412,0.7664,0.7028,0.7096,0.8196,0.746,0.802,0.904,0.958,0.142,0.1964,0.1832
47,0.6764,0.6592,0.7196,0.6956,0.756,0.6008,0.7668,0.7488,0.678,0.6892,0.656,0.6748,0.762,0.7208,0.774,0.8472,0.4872,0.1548,0.1936,0.2312
48,0.6628,0.6644,0.6984,0.69,0.762,0.6004,0.7932,0.7728,0.662,0.7696,0.7076,0.6992,0.84,0.7544,0.8232,0.9108,0.9776,0.13,0.1912,0.1848
49,0.628,0.6544,0.6684,0.6616,0.7476,0.604,0.7688,0.7796,0.5976,0.7748,0.7068,0.7212,0.7976,0.7308,0.762,0.8236,0.9016,0.9608,0.1936,0.1904
50,0.6432,0.6768,0.6868,0.6732,0.774,0.6108,0.7804,0.7828,0.6512,0.7268,0.6692,0.6464,0.794,0.6648,0.7576,0.8136,0.862,0.438,0.1876,0.2024
51,0.6504,0.6672,0.7064,0.6864,0.7648,0.634,0.802,0.7956,0.6312,0.7916,0.7428,0.7384,0.81,0.748,0.7972,0.8364,0.914,0.9792,0.188,0.1896
52,0.6428,0.654,0.7168,0.6572,0.7544,0.5876,0.77,0.7524,0.6144,0.7436,0.6904,0.6824,0.7944,0.6964,0.7568,0.8048,0.8612,0.9016,0.9456,0.2152
53,0.6668,0.6552,0.7128,0.698,0.7668,0.6092,0.7576,0.766,0.6076,0.7764,0.7072,0.6588,0.7976,0.69,0.7468,0.7988,0.8664,0.882,0.538,0.2248
54,0.6668,0.6708,0.73,0.6884,0.7628,0.6,0.7856,0.768,0.6332,0.7816,0.694,0.7124,0.8156,0.724,0.7776,0.8248,0.874,0.9108,0.9708,0.2256
55,0.6596,0.6576,0.6912,0.6556,0.742,0.5784,0.7436,0.7488,0.6024,0.7736,0.6968,0.6824,0.7908,0.6736,0.7568,0.7712,0.8416,0.8744,0.8648,0.9604
