,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6528,0.138,0.2388,0.174,0.272,0.1516,0.2428,0.2104,0.1048,0.2568,0.1876,0.182,0.22,0.2876,0.2212,0.1964,0.1892,0.2604,0.2316,0.158
1,0.6768,0.7876,0.2104,0.2036,0.2512,0.166,0.2356,0.214,0.0976,0.2512,0.2132,0.2036,0.2492,0.2384,0.268,0.146,0.1528,0.2116,0.1864,0.1804
2,0.67,0.6308,0.2092,0.196,0.226,0.1368,0.2112,0.252,0.2024,0.1928,0.2028,0.19,0.2336,0.1976,0.2308,0.1304,0.1896,0.238,0.1984,0.1836
3,0.7052,0.9276,0.2112,0.1816,0.2524,0.1728,0.22,0.2064,0.0968,0.2364,0.1864,0.206,0.2652,0.2176,0.2076,0.1732,0.1944,0.2044,0.1668,0.174
4,0.6964,0.8312,0.936,0.1756,0.3132,0.1608,0.2356,0.2056,0.1068,0.2216,0.1952,0.2476,0.2668,0.2484,0.2268,0.1836,0.1808,0.2552,0.2444,0.1492
5,0.7316,0.862,0.7076,0.1768,0.2528,0.1608,0.2232,0.2088,0.1112,0.2024,0.2052,0.1924,0.2772,0.2392,0.1956,0.222,0.1676,0.2688,0.226,0.1584
6,0.7152,0.8332,0.9844,0.1788,0.3052,0.1744,0.2176,0.2264,0.1036,0.2284,0.1936,0.224,0.2088,0.2372,0.2168,0.2032,0.176,0.2956,0.252,0.1656
7,0.6456,0.7724,0.8696,0.8592,0.312,0.1568,0.2092,0.24,0.134,0.2388,0.1956,0.2368,0.186,0.2436,0.1704,0.1864,0.1724,0.2576,0.2228,0.1384
8,0.7108,0.832,0.8704,0.322,0.308,0.1856,0.2276,0.226,0.0948,0.2176,0.186,0.236,0.2616,0.2132,0.1812,0.2424,0.164,0.2652,0.2252,0.1708
9,0.648,0.7848,0.8788,0.9108,0.2984,0.1612,0.2292,0.2496,0.1544,0.25,0.19,0.22,0.1852,0.2344,0.146,0.194,0.164,0.2428,0.1756,0.1572
10,0.7124,0.7732,0.8524,0.8244,0.9556,0.1736,0.2392,0.2336,0.1156,0.25,0.1816,0.214,0.2216,0.2916,0.156,0.1268,0.1884,0.2788,0.2264,0.1476
11,0.7336,0.8408,0.8848,0.7712,0.7316,0.1848,0.2568,0.236,0.1068,0.2424,0.182,0.2256,0.21,0.2696,0.1908,0.204,0.1836,0.3056,0.1956,0.1448
12,0.7248,0.7688,0.8604,0.8348,0.9864,0.1692,0.2288,0.2208,0.1324,0.236,0.188,0.2424,0.2216,0.3172,0.1588,0.1188,0.1884,0.2616,0.2236,0.2044
13,0.6488,0.7132,0.7912,0.7304,0.8948,0.8364,0.2028,0.2584,0.1128,0.2292,0.1548,0.2264,0.2788,0.266,0.196,0.1672,0.2128,0.226,0.1668,0.204
14,0.7136,0.8108,0.87,0.7596,0.9084,0.6704,0.228,0.2328,0.1188,0.2116,0.1628,0.2336,0.2212,0.286,0.176,0.1692,0.1508,0.2544,0.1992,0.1656
15,0.6916,0.7608,0.8492,0.7584,0.9212,0.9436,0.192,0.2448,0.1012,0.2412,0.17,0.204,0.2652,0.274,0.1736,0.15,0.2116,0.216,0.1868,0.1768
16,0.6168,0.698,0.7464,0.7196,0.8312,0.8828,0.9372,0.2376,0.1028,0.2596,0.1948,0.216,0.236,0.2408,0.1468,0.166,0.1664,0.2536,0.232,0.1624
17,0.6904,0.7748,0.8508,0.736,0.8696,0.8772,0.2748,0.2416,0.1308,0.2636,0.1912,0.2128,0.258,0.2532,0.1752,0.1648,0.2268,0.2452,0.2,0.1696
18,0.6884,0.738,0.8176,0.7636,0.8752,0.9084,0.9864,0.2492,0.0872,0.2824,0.1908,0.2036,0.2596,0.2812,0.168,0.1588,0.148,0.274,0.2128,0.1572
19,0.6736,0.7276,0.7756,0.7188,0.8188,0.8404,0.8084,0.9236,0.1176,0.2616,0.206,0.182,0.272,0.2188,0.1744,0.1732,0.1296,0.2208,0.2024,0.1444
20,0.6828,0.778,0.7836,0.7332,0.8464,0.8156,0.8496,0.3888,0.096,0.2604,0.2004,0.2004,0.1832,0.2428,0.1804,0.18,0.1248,0.2388,0.232,0.1796
21,0.6892,0.7576,0.824,0.75,0.842,0.8588,0.8576,0.9912,0.1016,0.2592,0.2032,0.1852,0.2524,0.218,0.1844,0.1584,0.1392,0.2456,0.222,0.15
22,0.6392,0.72,0.7988,0.6996,0.832,0.8096,0.8516,0.8836,0.9612,0.266,0.2088,0.2196,0.1892,0.2116,0.1808,0.1508,0.1548,0.2232,0.2092,0.1576
23,0.6192,0.7056,0.7344,0.6792,0.7856,0.8224,0.8376,0.8064,0.2708,0.232,0.2148,0.2244,0.214,0.2284,0.1724,0.1464,0.1672,0.2212,0.1992,0.1588
24,0.6688,0.7376,0.8064,0.7228,0.8588,0.8272,0.8712,0.9092,0.9912,0.2648,0.216,0.192,0.172,0.2044,0.166,0.1412,0.1552,0.2136,0.22,0.146
25,0.6192,0.6976,0.7824,0.662,0.792,0.752,0.7304,0.7976,0.876,0.872,0.2044,0.2292,0.1804,0.2308,0.2092,0.1112,0.188,0.224,0.2092,0.1604
26,0.6552,0.756,0.804,0.7288,0.8108,0.808,0.7884,0.8128,0.8764,0.2224,0.2016,0.2064,0.2052,0.2384,0.1688,0.1992,0.1972,0.212,0.2248,0.1564
27,0.632,0.7136,0.774,0.6724,0.7868,0.7712,0.7684,0.8072,0.876,0.9676,0.2124,0.1952,0.1796,0.2276,0.1768,0.1848,0.1564,0.2328,0.1944,0.1664
28,0.6432,0.7008,0.798,0.6972,0.8232,0.7516,0.798,0.7744,0.8584,0.894,0.986,0.2256,0.212,0.1984,0.1748,0.112,0.1532,0.2584,0.184,0.2048
29,0.6804,0.7612,0.8108,0.7112,0.822,0.7856,0.7836,0.7892,0.8556,0.864,0.3688,0.2176,0.2344,0.2116,0.166,0.1624,0.1672,0.2344,0.1896,0.1508
30,0.6804,0.7328,0.8172,0.7252,0.8516,0.7952,0.82,0.8132,0.888,0.9116,0.996,0.2236,0.26,0.2068,0.1688,0.1424,0.1664,0.2572,0.1848,0.2072
31,0.6632,0.7152,0.7592,0.6812,0.8324,0.744,0.7564,0.7396,0.836,0.8132,0.9352,0.9508,0.23,0.236,0.1688,0.1272,0.1592,0.2184,0.21,0.208
32,0.6688,0.7628,0.802,0.7116,0.826,0.7848,0.7728,0.7504,0.83,0.802,0.9108,0.4116,0.212,0.2436,0.1628,0.164,0.1764,0.2508,0.198,0.19
33,0.6604,0.7332,0.788,0.7224,0.8432,0.7796,0.7812,0.7864,0.8672,0.8304,0.9476,0.9932,0.2016,0.2304,0.168,0.1216,0.1572,0.2404,0.1988,0.2004
34,0.642,0.7184,0.8032,0.6928,0.8468,0.772,0.7464,0.7504,0.8072,0.7564,0.8908,0.9432,0.986,0.2484,0.1776,0.1436,0.1552,0.1984,0.1764,0.1772
35,0.678,0.7668,0.7992,0.7016,0.8492,0.7984,0.7892,0.7564,0.8424,0.7696,0.9184,0.9228,0.3184,0.2452,0.1632,0.1532,0.1632,0.23,0.1788,0.1884
36,0.6752,0.7428,0.8024,0.6968,0.8552,0.7884,0.7848,0.7692,0.826,0.7864,0.9216,0.948,0.9964,0.2428,0.1664,0.1568,0.1572,0.2152,0.1852,0.176
37,0.6648,0.7316,0.8048,0.6944,0.844,0.7752,0.7436,0.7352,0.8136,0.7404,0.8924,0.872,0.9616,0.97,0.1628,0.152,0.1624,0.2292,0.1888,0.182
38,0.6952,0.7616,0.8112,0.7044,0.846,0.776,0.7512,0.76,0.7916,0.7328,0.8716,0.83,0.9444,0.2728,0.1752,0.1436,0.1484,0.2032,0.18,0.1712
39,0.6884,0.7512,0.8236,0.702,0.8576,0.7816,0.7528,0.7512,0.7992,0.764,0.9028,0.882,0.966,0.9932,0.1588,0.1444,0.1696,0.23,0.2032,0.1812
40,0.6972,0.734,0.8048,0.6808,0.8312,0.7712,0.7244,0.7356,0.7804,0.7152,0.8584,0.828,0.9316,0.9368,0.9752,0.1504,0.1876,0.2148,0.2052,0.1784
41,0.692,0.7532,0.8248,0.6848,0.8452,0.7856,0.7308,0.7588,0.7996,0.7156,0.8616,0.8188,0.9272,0.9396,0.3424,0.1588,0.1792,0.2104,0.1864,0.1684
42,0.7028,0.75,0.8176,0.6996,0.8424,0.7888,0.7536,0.7644,0.7956,0.742,0.872,0.8364,0.9376,0.9384,0.9908,0.1616,0.1816,0.2176,0.2116,0.1856
43,0.7,0.7504,0.8176,0.7012,0.8552,0.7732,0.754,0.742,0.7892,0.6964,0.8512,0.8364,0.9164,0.9108,0.942,0.9856,0.1848,0.2336,0.2108,0.2148
44,0.7048,0.762,0.8264,0.6944,0.822,0.7668,0.744,0.7412,0.766,0.7036,0.8552,0.8032,0.9192,0.9168,0.9528,0.262,0.1852,0.2256,0.1924,0.1764
45,0.696,0.76,0.8128,0.7032,0.8616,0.7808,0.7668,0.7504,0.8192,0.7176,0.8628,0.8452,0.9164,0.9012,0.94,0.9956,0.1948,0.2312,0.2252,0.2128
46,0.6688,0.7436,0.792,0.7004,0.856,0.7928,0.7656,0.7364,0.8068,0.6544,0.8452,0.7952,0.8832,0.858,0.8732,0.9532,0.9848,0.2492,0.216,0.2004
47,0.6932,0.7496,0.7896,0.6924,0.8268,0.762,0.7752,0.73,0.8268,0.6792,0.858,0.8092,0.8892,0.8596,0.856,0.9532,0.2392,0.2556,0.2084,0.2056
48,0.6896,0.7484,0.8136,0.698,0.8692,0.7988,0.7772,0.7552,0.8176,0.6896,0.8636,0.8052,0.9024,0.8776,0.878,0.9528,0.9944,0.24,0.2348,0.1988
49,0.7088,0.7468,0.814,0.682,0.8592,0.7604,0.7312,0.7364,0.7904,0.6732,0.8272,0.7388,0.8956,0.8404,0.8748,0.928,0.9428,0.9812,0.2364,0.1976
50,0.7384,0.7836,0.8372,0.7048,0.8584,0.782,0.7516,0.7404,0.78,0.6832,0.8532,0.7716,0.8928,0.856,0.8772,0.936,0.9496,0.302,0.2452,0.1848
51,0.7236,0.7536,0.8304,0.6936,0.8628,0.7812,0.7564,0.7536,0.7968,0.6848,0.8396,0.7732,0.9016,0.8592,0.8916,0.928,0.9536,0.9876,0.2384,0.176
52,0.6892,0.7284,0.7932,0.6884,0.8336,0.7304,0.7308,0.704,0.766,0.6388,0.8292,0.7272,0.8488,0.8172,0.81,0.8444,0.9048,0.938,0.92,0.1948
53,0.7356,0.7784,0.8444,0.7176,0.8468,0.7676,0.7384,0.7384,0.7968,0.6864,0.8304,0.7544,0.8804,0.8376,0.8564,0.8996,0.8932,0.9268,0.2912,0.1804
54,0.7236,0.7532,0.8068,0.6944,0.8576,0.7712,0.7628,0.7332,0.7892,0.6516,0.8504,0.77,0.88,0.8444,0.8452,0.9012,0.91,0.9528,0.988,0.1956
55,0.7128,0.7412,0.8048,0.6664,0.8348,0.7436,0.718,0.6948,0.7592,0.6304,0.8176,0.7296,0.8624,0.784,0.8108,0.8848,0.8924,0.9136,0.9176,0.9852
56,0.7316,0.7612,0.8284,0.6936,0.842,0.7552,0.7524,0.7224,0.7904,0.6348,0.8388,0.7376,0.8672,0.8276,0.8304,0.8972,0.9208,0.8764,0.9068,0.2836
57,0.7252,0.7396,0.82,0.6864,0.8568,0.7568,0.742,0.7092,0.7976,0.654,0.828,0.7564,0.876,0.81,0.83,0.9084,0.9052,0.92,0.9396,0.9968
58,0.606,0.168,0.2208,0.102,0.1928,0.2148,0.2144,0.1992,0.202,0.1708,0.2008,0.1984,0.1852,0.2916,0.2984,0.1592,0.2172,0.1412,0.2444,0.1904
59,0.5296,0.6872,0.2008,0.2572,0.1864,0.2544,0.158,0.2144,0.1456,0.1616,0.1856,0.2164,0.216,0.1928,0.2164,0.1764,0.226,0.1236,0.212,0.2352
60,0.5976,0.7016,0.2048,0.2108,0.1784,0.1868,0.2356,0.192,0.1696,0.2008,0.2012,0.1936,0.2156,0.2256,0.2868,0.1728,0.2276,0.1684,0.2484,0.206
61,0.5904,0.918,0.1892,0.2228,0.2004,0.2336,0.1808,0.2248,0.162,0.1444,0.2048,0.1752,0.2172,0.1884,0.2396,0.1832,0.174,0.206,0.2056,0.2436
62,0.5772,0.714,0.8608,0.1992,0.2012,0.2904,0.1244,0.1892,0.1612,0.2004,0.2024,0.1832,0.2656,0.2484,0.2564,0.1708,0.1832,0.1612,0.19,0.1976
63,0.6544,0.8036,0.6112,0.226,0.1772,0.2024,0.1844,0.2356,0.1576,0.1984,0.2072,0.1984,0.236,0.2304,0.262,0.1956,0.1316,0.2176,0.2268,0.2032
64,0.6004,0.7496,0.8812,0.204,0.2296,0.2708,0.1188,0.1972,0.1536,0.1728,0.222,0.1416,0.2908,0.252,0.3128,0.1656,0.1808,0.1512,0.1768,0.2152
65,0.588,0.7,0.7648,0.816,0.21,0.276,0.1712,0.2152,0.1776,0.1936,0.2324,0.1988,0.312,0.2628,0.21,0.1908,0.1404,0.2276,0.1868,0.1816
66,0.666,0.824,0.7936,0.2892,0.2256,0.2448,0.1636,0.218,0.1884,0.188,0.2352,0.1812,0.2804,0.2492,0.2984,0.1872,0.1364,0.1404,0.2012,0.1976
67,0.5948,0.7496,0.7584,0.9324,0.1944,0.3116,0.1572,0.2104,0.2,0.2152,0.234,0.194,0.2708,0.23,0.2552,0.1892,0.1384,0.2748,0.1692,0.2088
68,0.61,0.6928,0.7212,0.8224,0.9104,0.2908,0.1764,0.2012,0.196,0.214,0.1944,0.2096,0.2884,0.2336,0.25,0.2116,0.1368,0.2248,0.1984,0.1992
69,0.6656,0.776,0.7904,0.8444,0.6196,0.258,0.1368,0.2088,0.154,0.2136,0.2168,0.1748,0.258,0.2416,0.2568,0.1912,0.1192,0.1668,0.184,0.1992
70,0.6216,0.7456,0.7652,0.8488,0.978,0.2468,0.1384,0.2088,0.1552,0.2052,0.2092,0.1876,0.2844,0.248,0.2208,0.1784,0.1328,0.2308,0.1856,0.2144
71,0.586,0.6368,0.7136,0.7348,0.866,0.9448,0.1072,0.2108,0.2076,0.21,0.1964,0.2012,0.2112,0.2384,0.2108,0.1768,0.132,0.2384,0.1644,0.2316
72,0.628,0.696,0.6828,0.6932,0.762,0.3648,0.1196,0.1944,0.1892,0.184,0.2156,0.1908,0.272,0.2376,0.1652,0.194,0.092,0.2164,0.1888,0.2164
73,0.6292,0.7048,0.7216,0.7796,0.902,0.9896,0.108,0.2088,0.2088,0.18,0.1812,0.1976,0.2444,0.2576,0.2264,0.1848,0.1316,0.1844,0.1168,0.2164
74,0.5692,0.6516,0.6532,0.7136,0.738,0.8912,0.91,0.2044,0.174,0.174,0.194,0.1804,0.2352,0.2056,0.2484,0.2008,0.0996,0.2516,0.1624,0.1768
75,0.6616,0.7436,0.7376,0.774,0.7872,0.866,0.2488,0.1992,0.1708,0.1756,0.2108,0.2008,0.2616,0.2188,0.2552,0.2128,0.0892,0.202,0.168,0.1936
76,0.596,0.7108,0.7184,0.7632,0.8056,0.9208,0.9828,0.21,0.2068,0.17,0.2036,0.1828,0.2484,0.1952,0.2992,0.2064,0.1292,0.2,0.154,0.176
77,0.5788,0.704,0.7228,0.7096,0.7624,0.8244,0.9108,0.9688,0.194,0.1908,0.198,0.172,0.2716,0.1896,0.2808,0.2108,0.1376,0.2012,0.1472,0.198
78,0.6372,0.7488,0.7376,0.6976,0.7492,0.8504,0.8628,0.3156,0.158,0.1716,0.2,0.2144,0.2664,0.1996,0.2032,0.2268,0.122,0.212,0.1428,0.2004
79,0.6324,0.7064,0.742,0.7452,0.7904,0.8604,0.9088,0.9928,0.194,0.1976,0.2,0.1744,0.2736,0.1976,0.2864,0.2156,0.1312,0.2084,0.1548,0.2004
80,0.6172,0.6832,0.7332,0.718,0.7284,0.8308,0.8304,0.9292,0.9628,0.1604,0.2096,0.1716,0.3016,0.2264,0.2704,0.174,0.0868,0.1992,0.174,0.1824
81,0.66,0.7604,0.7324,0.7744,0.7356,0.8408,0.8484,0.9208,0.2964,0.1696,0.2052,0.1588,0.242,0.1968,0.2504,0.1928,0.1076,0.1964,0.1556,0.152
82,0.6404,0.712,0.7384,0.7464,0.7432,0.8472,0.866,0.9456,0.9904,0.1644,0.212,0.1544,0.2844,0.224,0.264,0.1784,0.0784,0.1944,0.1808,0.1868
83,0.614,0.658,0.7024,0.7044,0.7188,0.798,0.7884,0.8896,0.9288,0.9536,0.2204,0.1548,0.2712,0.19,0.3088,0.2012,0.0572,0.194,0.1964,0.1512
84,0.6544,0.7012,0.7244,0.7624,0.7332,0.8276,0.8048,0.894,0.9032,0.282,0.1964,0.1628,0.2572,0.2068,0.2632,0.2012,0.0924,0.1888,0.1468,0.1728
85,0.646,0.7,0.7412,0.7472,0.7468,0.8236,0.8348,0.9052,0.9372,0.9908,0.2116,0.1512,0.2848,0.2044,0.3048,0.2212,0.0712,0.192,0.1936,0.1784
86,0.5952,0.67,0.7144,0.7072,0.712,0.78,0.762,0.8604,0.8616,0.9232,0.964,0.1436,0.2792,0.2176,0.2976,0.2156,0.0656,0.1868,0.2096,0.1688
87,0.6552,0.726,0.7228,0.7564,0.7428,0.8328,0.802,0.8612,0.8932,0.9,0.3716,0.1592,0.2588,0.222,0.3076,0.2044,0.0596,0.2148,0.1916,0.18
88,0.6268,0.7084,0.7424,0.7408,0.742,0.8076,0.7928,0.8836,0.8776,0.9368,0.9972,0.162,0.2892,0.2328,0.3224,0.2124,0.0668,0.1896,0.2012,0.1692
89,0.6216,0.6836,0.696,0.7296,0.7272,0.776,0.7508,0.8532,0.8696,0.8752,0.9208,0.9888,0.2636,0.256,0.278,0.1636,0.0732,0.1748,0.2048,0.1504
90,0.6448,0.7328,0.7288,0.742,0.7272,0.8056,0.7772,0.8832,0.862,0.8888,0.9428,0.3784,0.2728,0.2196,0.2792,0.2168,0.0748,0.2328,0.18,0.1852
