,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.616,0.214,0.2,0.248,0.234,0.24,0.16,0.206,0.188,0.28,0.166,0.228,0.206,0.184,0.316,0.164,0.16,0.196,0.312,0.178
1,0.612,0.734,0.198,0.206,0.242,0.216,0.202,0.194,0.16,0.194,0.162,0.24,0.228,0.314,0.162,0.264,0.136,0.232,0.286,0.202
2,0.596,0.404,0.198,0.184,0.35,0.312,0.226,0.182,0.224,0.176,0.182,0.292,0.07,0.256,0.182,0.26,0.164,0.162,0.188,0.192
3,0.652,0.83,0.2,0.19,0.242,0.24,0.176,0.2,0.19,0.23,0.19,0.212,0.282,0.276,0.252,0.222,0.158,0.242,0.284,0.178
4,0.632,0.81,0.492,0.178,0.258,0.258,0.134,0.218,0.182,0.188,0.192,0.2,0.27,0.266,0.282,0.222,0.16,0.228,0.256,0.184
5,0.618,0.774,0.282,0.186,0.254,0.31,0.144,0.208,0.17,0.194,0.192,0.3,0.234,0.284,0.314,0.222,0.156,0.244,0.25,0.162
6,0.598,0.758,0.524,0.202,0.236,0.252,0.17,0.21,0.17,0.19,0.198,0.176,0.258,0.24,0.282,0.228,0.15,0.212,0.242,0.194
7,0.598,0.704,0.458,0.752,0.22,0.292,0.176,0.22,0.138,0.18,0.202,0.144,0.166,0.216,0.34,0.202,0.156,0.206,0.232,0.192
8,0.402,0.704,0.368,0.32,0.204,0.204,0.276,0.208,0.268,0.202,0.164,0.118,0.252,0.17,0.27,0.222,0.206,0.166,0.25,0.17
9,0.616,0.72,0.46,0.762,0.222,0.268,0.168,0.194,0.14,0.172,0.192,0.168,0.162,0.254,0.28,0.208,0.16,0.222,0.24,0.202
10,0.574,0.696,0.418,0.656,0.752,0.198,0.198,0.17,0.142,0.176,0.196,0.174,0.16,0.282,0.256,0.214,0.174,0.196,0.228,0.174
11,0.39,0.568,0.306,0.554,0.246,0.212,0.172,0.228,0.246,0.156,0.204,0.182,0.204,0.236,0.232,0.198,0.156,0.166,0.232,0.186
12,0.574,0.674,0.396,0.672,0.746,0.192,0.188,0.176,0.126,0.184,0.204,0.186,0.176,0.278,0.266,0.246,0.16,0.226,0.254,0.19
13,0.564,0.696,0.386,0.666,0.67,0.752,0.198,0.166,0.128,0.152,0.198,0.196,0.142,0.284,0.308,0.206,0.158,0.196,0.246,0.196
14,0.472,0.668,0.33,0.518,0.52,0.354,0.194,0.162,0.158,0.152,0.178,0.12,0.162,0.314,0.208,0.2,0.136,0.2,0.264,0.18
15,0.572,0.724,0.386,0.674,0.658,0.792,0.174,0.164,0.128,0.164,0.19,0.212,0.146,0.26,0.26,0.214,0.176,0.2,0.264,0.204
16,0.596,0.708,0.364,0.62,0.698,0.704,0.8,0.134,0.15,0.162,0.184,0.228,0.118,0.258,0.284,0.254,0.16,0.218,0.246,0.2
