,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6388,0.2136,0.1976,0.2228,0.2368,0.2272,0.1984,0.2244,0.1788,0.2652,0.17,0.2208,0.2152,0.1928,0.3012,0.1772,0.1652,0.1988,0.3284,0.1648
1,0.6172,0.7776,0.1976,0.2096,0.2428,0.2172,0.2088,0.1752,0.154,0.2036,0.1768,0.246,0.246,0.2928,0.166,0.2468,0.17,0.2204,0.292,0.19
2,0.5752,0.4292,0.2004,0.184,0.3276,0.294,0.2444,0.1764,0.2168,0.1728,0.1796,0.2604,0.0768,0.2692,0.1984,0.2516,0.1692,0.174,0.1556,0.1908
3,0.668,0.922,0.1976,0.196,0.2164,0.2408,0.172,0.196,0.1768,0.2324,0.1772,0.2032,0.2908,0.3008,0.2464,0.2172,0.156,0.2256,0.3048,0.1772
4,0.6468,0.89,0.62,0.21,0.2296,0.2452,0.1396,0.1952,0.1896,0.1932,0.1948,0.2072,0.258,0.2872,0.2828,0.2244,0.1628,0.2072,0.2716,0.1948
5,0.628,0.8472,0.3228,0.1896,0.23,0.2912,0.1416,0.19,0.1844,0.1968,0.1948,0.2808,0.2364,0.3156,0.2804,0.228,0.1612,0.2432,0.2728,0.1832
6,0.6248,0.8616,0.8272,0.208,0.2216,0.232,0.146,0.1956,0.184,0.1948,0.19,0.188,0.2484,0.2656,0.2568,0.2172,0.1704,0.2044,0.2708,0.1932
7,0.6136,0.7932,0.6876,0.9016,0.2388,0.262,0.1624,0.2024,0.1396,0.1912,0.2052,0.166,0.1544,0.238,0.3208,0.2004,0.1496,0.2156,0.23,0.1732
8,0.4116,0.758,0.5132,0.382,0.2124,0.2084,0.2148,0.1988,0.2884,0.2076,0.1568,0.1228,0.2604,0.176,0.2372,0.1988,0.2072,0.1608,0.2712,0.1588
9,0.6344,0.8084,0.6932,0.9764,0.2304,0.2504,0.1584,0.1772,0.1396,0.1852,0.2004,0.1856,0.1416,0.246,0.274,0.1884,0.1604,0.2192,0.2408,0.174
10,0.6096,0.7868,0.5968,0.8576,0.926,0.1964,0.1636,0.152,0.134,0.1756,0.1996,0.1592,0.162,0.2624,0.2724,0.2096,0.1924,0.2072,0.2516,0.1792
11,0.4084,0.6144,0.4088,0.6704,0.3292,0.216,0.1764,0.226,0.242,0.1676,0.1956,0.188,0.1852,0.2088,0.2136,0.2044,0.1508,0.1624,0.2628,0.158
12,0.634,0.7696,0.5716,0.8396,0.9572,0.1972,0.1504,0.1388,0.1408,0.182,0.2004,0.1656,0.1796,0.28,0.2708,0.2216,0.17,0.2292,0.2784,0.1828
13,0.6116,0.7768,0.5792,0.828,0.8604,0.9328,0.176,0.1512,0.1308,0.156,0.206,0.1956,0.1472,0.2736,0.2868,0.1956,0.144,0.2072,0.2892,0.1988
14,0.4832,0.6808,0.43,0.6016,0.566,0.3728,0.2108,0.1356,0.1568,0.1508,0.1864,0.1176,0.14,0.3144,0.2008,0.1676,0.1476,0.2108,0.2676,0.1968
15,0.6272,0.7852,0.5944,0.8372,0.8632,0.9724,0.154,0.1544,0.1276,0.1724,0.1968,0.208,0.1412,0.266,0.2676,0.1936,0.1596,0.2004,0.2892,0.204
16,0.6132,0.7612,0.536,0.774,0.8184,0.8552,0.982,0.1364,0.1476,0.1608,0.1584,0.2252,0.1128,0.2616,0.2992,0.212,0.1672,0.2156,0.2692,0.1976
17,0.4788,0.6408,0.4264,0.4324,0.5056,0.5276,0.3572,0.1392,0.22,0.1424,0.186,0.1464,0.1224,0.284,0.182,0.1776,0.1616,0.1944,0.224,0.1908
18,0.6304,0.7776,0.5536,0.7944,0.8244,0.8668,0.9928,0.1428,0.1208,0.1664,0.1704,0.2064,0.1308,0.2556,0.3048,0.216,0.1548,0.2328,0.276,0.1948
19,0.5852,0.7364,0.51,0.7168,0.7864,0.8248,0.9024,0.9068,0.114,0.1816,0.1844,0.1956,0.0964,0.2704,0.2532,0.2204,0.1808,0.2284,0.276,0.196
20,0.4804,0.608,0.3656,0.51,0.5328,0.5772,0.5964,0.3872,0.1116,0.1836,0.1924,0.1672,0.16,0.2536,0.2288,0.1916,0.21,0.2704,0.228,0.2428
21,0.6084,0.76,0.5172,0.742,0.7928,0.8244,0.9096,0.9704,0.1364,0.1604,0.1792,0.202,0.1092,0.2796,0.2772,0.2112,0.1756,0.2236,0.2912,0.1984
22,0.6028,0.726,0.488,0.7072,0.7616,0.7872,0.8416,0.8968,0.9688,0.1652,0.1924,0.1676,0.1104,0.2708,0.2984,0.196,0.1832,0.2084,0.268,0.1848
23,0.4752,0.6572,0.3952,0.552,0.5092,0.4776,0.5572,0.478,0.302,0.156,0.1968,0.206,0.2648,0.2548,0.316,0.2216,0.1684,0.2256,0.2532,0.206
24,0.6176,0.7528,0.5068,0.7388,0.7796,0.794,0.8624,0.8964,0.9852,0.1744,0.1908,0.1752,0.1052,0.2752,0.3116,0.1916,0.1748,0.2076,0.2884,0.1904
25,0.6336,0.7428,0.5,0.7144,0.7372,0.7392,0.7808,0.8092,0.92,0.9544,0.196,0.1836,0.1072,0.2688,0.2664,0.1848,0.1792,0.2268,0.2916,0.2048
26,0.5296,0.6784,0.4132,0.6132,0.51,0.5316,0.5432,0.6472,0.6832,0.38,0.226,0.1912,0.124,0.2832,0.2256,0.166,0.1956,0.1876,0.246,0.1928
27,0.6316,0.7624,0.5236,0.738,0.7436,0.7488,0.7892,0.8092,0.912,0.9844,0.1932,0.1756,0.126,0.2588,0.2544,0.1844,0.1616,0.2252,0.2736,0.2096
28,0.5892,0.702,0.4952,0.7164,0.7344,0.7452,0.7888,0.758,0.8564,0.8976,0.9492,0.146,0.1024,0.2396,0.244,0.1964,0.1692,0.2448,0.2488,0.2072
29,0.5304,0.5868,0.3344,0.5516,0.5336,0.4368,0.538,0.544,0.5336,0.5992,0.3452,0.0812,0.1384,0.3012,0.2448,0.2108,0.1956,0.1988,0.172,0.1784
30,0.6176,0.7196,0.4972,0.7408,0.744,0.7528,0.8056,0.7704,0.8528,0.894,0.9808,0.1424,0.1052,0.23,0.2312,0.196,0.16,0.2388,0.2676,0.2084
31,0.654,0.7396,0.4988,0.7556,0.7572,0.734,0.7928,0.7608,0.846,0.8384,0.9052,0.9712,0.1416,0.2468,0.2156,0.1724,0.1688,0.248,0.3024,0.2036
32,0.3612,0.3628,0.2776,0.4064,0.5324,0.4112,0.4568,0.3784,0.5452,0.5928,0.588,0.2976,0.2044,0.232,0.1336,0.172,0.1772,0.2072,0.2952,0.2108
33,0.6616,0.76,0.5112,0.7576,0.7688,0.738,0.7984,0.7776,0.8424,0.8236,0.8892,0.984,0.1468,0.2528,0.2248,0.1792,0.1636,0.2348,0.306,0.1992
34,0.6408,0.7424,0.4948,0.7168,0.7296,0.7108,0.7676,0.7156,0.8064,0.7912,0.8268,0.9384,0.984,0.2348,0.2724,0.1776,0.1624,0.236,0.2844,0.2264
35,0.5304,0.5536,0.4268,0.6536,0.482,0.6096,0.6252,0.4376,0.564,0.6664,0.702,0.5216,0.3708,0.2668,0.2056,0.1916,0.1604,0.2124,0.2744,0.2004
36,0.654,0.7604,0.5056,0.7424,0.7348,0.7308,0.7744,0.7428,0.8184,0.7868,0.82,0.9368,0.99,0.2376,0.2936,0.1908,0.1668,0.2244,0.288,0.2184
37,0.58,0.6952,0.4708,0.6684,0.7116,0.7256,0.74,0.6524,0.7656,0.7812,0.8216,0.778,0.8888,0.9232,0.2432,0.2056,0.1748,0.2384,0.2828,0.2052
38,0.432,0.5952,0.4284,0.5988,0.5596,0.64,0.448,0.5024,0.6444,0.5688,0.5076,0.3928,0.5656,0.3496,0.2996,0.2236,0.1688,0.2056,0.246,0.192
39,0.5992,0.7192,0.478,0.7092,0.7336,0.7444,0.768,0.6784,0.7952,0.7776,0.8292,0.8008,0.8788,0.9776,0.27,0.1944,0.184,0.2236,0.29,0.2044
40,0.614,0.7276,0.4912,0.6968,0.7196,0.6844,0.7368,0.6828,0.7748,0.782,0.7724,0.8472,0.9024,0.8052,0.958,0.166,0.1932,0.2644,0.2828,0.2136
41,0.4852,0.6924,0.4088,0.6288,0.6552,0.5744,0.5816,0.496,0.582,0.7216,0.6388,0.6376,0.712,0.6152,0.41,0.188,0.2084,0.2728,0.2004,0.2008
42,0.6204,0.7444,0.5036,0.7204,0.7328,0.7104,0.748,0.694,0.7852,0.7944,0.778,0.8492,0.9016,0.8192,0.9764,0.1732,0.1948,0.2552,0.2452,0.2172
43,0.6028,0.714,0.4876,0.7088,0.732,0.6892,0.7376,0.6632,0.7548,0.7324,0.758,0.8148,0.8396,0.7688,0.9256,0.9612,0.2056,0.2716,0.28,0.224
44,0.4232,0.6516,0.3688,0.4908,0.5652,0.5208,0.5652,0.4824,0.5444,0.5732,0.5352,0.612,0.6512,0.5512,0.7112,0.2776,0.2396,0.2564,0.2748,0.2152
