,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.664,0.278,0.184,0.202,0.112,0.222,0.288,0.206,0.342,0.228,0.142,0.192,0.202,0.204,0.2,0.25,0.208,0.2,0.262,0.132
1,0.642,0.716,0.174,0.202,0.124,0.212,0.32,0.218,0.382,0.154,0.136,0.214,0.204,0.116,0.2,0.162,0.312,0.192,0.26,0.204
2,0.586,0.7,0.206,0.19,0.314,0.234,0.268,0.212,0.42,0.29,0.126,0.262,0.182,0.108,0.202,0.176,0.212,0.2,0.282,0.166
3,0.638,0.786,0.172,0.204,0.14,0.218,0.298,0.276,0.242,0.246,0.134,0.25,0.198,0.088,0.2,0.166,0.292,0.2,0.238,0.172
4,0.614,0.76,0.732,0.214,0.196,0.21,0.276,0.23,0.198,0.176,0.13,0.196,0.162,0.09,0.2,0.158,0.32,0.204,0.266,0.174
5,0.642,0.666,0.398,0.202,0.304,0.192,0.184,0.234,0.348,0.196,0.122,0.262,0.22,0.118,0.202,0.182,0.278,0.2,0.258,0.144
6,0.636,0.756,0.756,0.226,0.186,0.178,0.266,0.288,0.292,0.178,0.156,0.18,0.166,0.084,0.2,0.178,0.304,0.204,0.27,0.168
7,0.628,0.734,0.726,0.716,0.13,0.202,0.242,0.23,0.2,0.128,0.146,0.2,0.164,0.116,0.198,0.2,0.306,0.206,0.23,0.16
8,0.562,0.736,0.682,0.526,0.324,0.202,0.23,0.246,0.294,0.136,0.168,0.212,0.156,0.138,0.2,0.182,0.252,0.202,0.248,0.126
9,0.652,0.774,0.71,0.774,0.16,0.234,0.214,0.216,0.224,0.16,0.138,0.2,0.22,0.15,0.2,0.184,0.342,0.21,0.22,0.186
10,0.63,0.682,0.644,0.692,0.654,0.202,0.258,0.224,0.19,0.17,0.176,0.2,0.27,0.12,0.198,0.184,0.23,0.196,0.262,0.162
11,0.48,0.558,0.51,0.628,0.278,0.188,0.168,0.208,0.196,0.154,0.186,0.168,0.238,0.15,0.2,0.24,0.276,0.2,0.248,0.212
12,0.614,0.694,0.602,0.626,0.684,0.214,0.25,0.222,0.18,0.17,0.178,0.202,0.262,0.094,0.196,0.192,0.21,0.184,0.256,0.182
13,0.64,0.698,0.68,0.692,0.658,0.794,0.264,0.2,0.148,0.158,0.176,0.196,0.196,0.066,0.2,0.18,0.224,0.196,0.312,0.166
14,0.568,0.61,0.636,0.664,0.518,0.284,0.21,0.236,0.248,0.192,0.168,0.23,0.192,0.138,0.2,0.238,0.21,0.2,0.18,0.152
15,0.638,0.712,0.708,0.686,0.65,0.814,0.254,0.196,0.176,0.18,0.184,0.18,0.194,0.09,0.196,0.192,0.224,0.216,0.286,0.184
16,0.654,0.696,0.642,0.668,0.626,0.746,0.84,0.21,0.222,0.16,0.216,0.2,0.164,0.066,0.19,0.154,0.174,0.19,0.346,0.162
17,0.398,0.392,0.492,0.54,0.466,0.632,0.294,0.248,0.182,0.134,0.206,0.148,0.204,0.086,0.198,0.188,0.168,0.194,0.288,0.17
18,0.682,0.686,0.652,0.676,0.674,0.736,0.884,0.204,0.224,0.168,0.176,0.184,0.158,0.088,0.196,0.156,0.178,0.19,0.33,0.16
19,0.644,0.678,0.682,0.694,0.622,0.706,0.798,0.78,0.14,0.14,0.184,0.186,0.148,0.136,0.194,0.15,0.228,0.198,0.29,0.138
20,0.594,0.654,0.546,0.594,0.498,0.596,0.708,0.254,0.172,0.172,0.188,0.208,0.184,0.15,0.2,0.192,0.258,0.188,0.246,0.152
21,0.64,0.68,0.694,0.702,0.65,0.72,0.82,0.812,0.232,0.14,0.178,0.184,0.146,0.1,0.198,0.128,0.248,0.194,0.322,0.156
22,0.684,0.706,0.65,0.682,0.58,0.722,0.774,0.726,0.804,0.192,0.18,0.188,0.202,0.102,0.206,0.156,0.214,0.178,0.334,0.172
23,0.494,0.666,0.652,0.552,0.528,0.584,0.636,0.576,0.256,0.216,0.182,0.18,0.212,0.084,0.2,0.174,0.208,0.19,0.274,0.19
24,0.686,0.712,0.66,0.682,0.596,0.714,0.796,0.728,0.814,0.188,0.17,0.192,0.178,0.09,0.212,0.162,0.192,0.176,0.328,0.174
25,0.668,0.67,0.622,0.634,0.572,0.66,0.712,0.616,0.744,0.748,0.148,0.186,0.208,0.114,0.202,0.184,0.22,0.194,0.29,0.178
26,0.634,0.56,0.582,0.612,0.51,0.612,0.652,0.634,0.692,0.262,0.166,0.19,0.18,0.118,0.2,0.204,0.22,0.194,0.256,0.15
27,0.684,0.688,0.648,0.66,0.586,0.678,0.736,0.684,0.736,0.784,0.152,0.184,0.18,0.108,0.204,0.182,0.244,0.196,0.278,0.18
28,0.698,0.728,0.666,0.7,0.592,0.74,0.718,0.668,0.72,0.728,0.758,0.178,0.158,0.096,0.198,0.162,0.21,0.204,0.252,0.172
29,0.584,0.688,0.58,0.622,0.488,0.66,0.662,0.592,0.67,0.622,0.264,0.176,0.188,0.166,0.202,0.19,0.248,0.198,0.244,0.17
30,0.694,0.706,0.672,0.69,0.638,0.742,0.724,0.68,0.734,0.724,0.782,0.2,0.166,0.1,0.198,0.17,0.23,0.204,0.242,0.158
31,0.67,0.71,0.646,0.684,0.582,0.728,0.714,0.652,0.696,0.678,0.73,0.798,0.162,0.106,0.19,0.124,0.242,0.21,0.22,0.162
32,0.674,0.632,0.562,0.676,0.616,0.658,0.73,0.642,0.66,0.574,0.656,0.256,0.244,0.088,0.202,0.134,0.228,0.2,0.212,0.138
33,0.68,0.73,0.666,0.672,0.602,0.75,0.742,0.656,0.704,0.684,0.734,0.796,0.182,0.094,0.194,0.136,0.232,0.202,0.234,0.166
