,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.476,0.2056,0.1092,0.1772,0.1948,0.2172,0.2568,0.1692,0.1952,0.2888,0.2004,0.0856,0.2152,0.1636,0.3004,0.1596,0.2456,0.1468,0.184,0.19
1,0.53,0.7552,0.1908,0.21,0.2068,0.2164,0.292,0.1704,0.2344,0.3124,0.2008,0.1804,0.1808,0.2248,0.2184,0.2012,0.2068,0.144,0.114,0.236
2,0.538,0.6924,0.76,0.2088,0.1936,0.132,0.3548,0.1912,0.1732,0.2752,0.212,0.1968,0.2092,0.2164,0.194,0.1816,0.292,0.1572,0.2432,0.256
3,0.568,0.6348,0.7248,0.7688,0.1912,0.1784,0.3188,0.162,0.2156,0.33,0.206,0.12,0.2012,0.258,0.2152,0.2752,0.268,0.1728,0.1392,0.2124
4,0.5184,0.7388,0.6864,0.7328,0.8864,0.1744,0.2488,0.228,0.2272,0.2576,0.2116,0.11,0.2368,0.2736,0.1988,0.2172,0.2828,0.14,0.1968,0.2612
5,0.5916,0.6732,0.6908,0.6952,0.8052,0.91,0.244,0.226,0.2768,0.2668,0.206,0.1392,0.2156,0.2556,0.1992,0.2284,0.3176,0.1548,0.1084,0.2388
6,0.5764,0.7236,0.6924,0.6992,0.7908,0.8576,0.9548,0.204,0.2744,0.262,0.202,0.098,0.2088,0.2552,0.2108,0.2412,0.3132,0.1588,0.1776,0.2272
7,0.5252,0.7068,0.6548,0.688,0.728,0.7416,0.8924,0.7912,0.2572,0.2668,0.2028,0.138,0.1968,0.268,0.1852,0.1984,0.306,0.1928,0.1092,0.222
8,0.5696,0.6936,0.632,0.6148,0.6292,0.8408,0.854,0.74,0.8684,0.2648,0.198,0.148,0.1752,0.2384,0.1356,0.2184,0.2912,0.1676,0.1192,0.2168
9,0.6104,0.6812,0.6656,0.662,0.702,0.816,0.828,0.7544,0.8228,0.906,0.1888,0.1372,0.1484,0.2832,0.178,0.2396,0.2644,0.1596,0.1328,0.2376
10,0.6036,0.7328,0.6776,0.6516,0.7132,0.7864,0.8432,0.74,0.7704,0.8684,0.9392,0.1796,0.1792,0.2732,0.132,0.2108,0.3108,0.162,0.1052,0.2692
11,0.6204,0.6884,0.6628,0.6564,0.69,0.8044,0.8296,0.6984,0.7148,0.8568,0.8524,0.936,0.1536,0.2452,0.166,0.2232,0.3032,0.1716,0.114,0.26
12,0.5968,0.7488,0.7056,0.6756,0.686,0.8156,0.858,0.68,0.7096,0.8256,0.822,0.894,0.9424,0.2628,0.1428,0.1988,0.2984,0.1916,0.1412,0.242
13,0.6016,0.7264,0.6548,0.6656,0.65,0.7912,0.8188,0.6892,0.7344,0.8028,0.7448,0.8472,0.898,0.9516,0.1648,0.2312,0.2936,0.1888,0.216,0.2368
14,0.62,0.7148,0.6696,0.6432,0.664,0.7836,0.8132,0.6988,0.6928,0.824,0.7272,0.8148,0.8508,0.8648,0.9756,0.2476,0.3032,0.204,0.1136,0.1976
15,0.5664,0.676,0.644,0.624,0.6216,0.7608,0.7584,0.6356,0.6524,0.7636,0.6928,0.7432,0.7968,0.7264,0.344,0.2304,0.2816,0.2012,0.1356,0.2928
16,0.576,0.686,0.6408,0.6476,0.6456,0.7908,0.8152,0.6504,0.6712,0.772,0.6888,0.7808,0.8088,0.2288,0.3968,0.2196,0.2916,0.174,0.1444,0.2928
17,0.5808,0.7004,0.6604,0.6532,0.6424,0.7652,0.8196,0.6496,0.6232,0.7492,0.6876,0.7532,0.278,0.2368,0.3464,0.216,0.2936,0.1764,0.1708,0.2452
18,0.566,0.618,0.5736,0.596,0.5936,0.7428,0.7372,0.5616,0.5852,0.7228,0.6472,0.36,0.302,0.2612,0.2836,0.2384,0.2608,0.1792,0.12,0.2156
19,0.5292,0.6192,0.5692,0.5596,0.5264,0.6648,0.7076,0.5944,0.5544,0.6492,0.332,0.3556,0.2836,0.282,0.2612,0.2052,0.2664,0.166,0.1332,0.236
20,0.5312,0.6732,0.63,0.6068,0.5804,0.7296,0.7624,0.6108,0.5824,0.7212,0.4056,0.4016,0.2872,0.264,0.2908,0.8964,0.2804,0.1572,0.1132,0.2472
21,0.5492,0.6672,0.648,0.6324,0.6244,0.786,0.7628,0.6188,0.6032,0.7568,0.464,0.3964,0.294,0.2604,0.2652,0.862,0.8256,0.1744,0.1228,0.2488
22,0.564,0.6752,0.6328,0.6328,0.6264,0.7668,0.7652,0.6076,0.592,0.746,0.4584,0.4236,0.2828,0.2436,0.3116,0.8564,0.8032,0.8364,0.116,0.2532
23,0.5588,0.6848,0.6488,0.6328,0.6508,0.7664,0.7964,0.6124,0.6132,0.7544,0.5108,0.436,0.292,0.2372,0.3276,0.8652,0.7512,0.796,0.9148,0.2692
24,0.5508,0.6552,0.6444,0.6168,0.6332,0.7732,0.8028,0.606,0.5916,0.7432,0.5188,0.4212,0.2988,0.2372,0.308,0.85,0.7508,0.7844,0.8768,0.8032
25,0.6952,0.188,0.2252,0.182,0.22,0.266,0.1636,0.2448,0.1872,0.1884,0.202,0.2032,0.1116,0.2192,0.1544,0.1664,0.184,0.2424,0.1384,0.2268
26,0.6532,0.5772,0.1512,0.1768,0.222,0.1904,0.2012,0.3712,0.1872,0.214,0.202,0.182,0.2248,0.1632,0.274,0.2096,0.2432,0.226,0.1436,0.272
27,0.648,0.5496,0.6884,0.1592,0.276,0.1516,0.234,0.1724,0.1936,0.2128,0.2048,0.2392,0.1688,0.1708,0.246,0.1572,0.1536,0.282,0.0892,0.2092
28,0.688,0.5676,0.7508,0.7212,0.2212,0.1944,0.2632,0.32,0.1896,0.2272,0.1848,0.1708,0.1604,0.1564,0.1816,0.1656,0.194,0.2428,0.0796,0.152
29,0.6304,0.5268,0.7,0.7024,0.794,0.1932,0.2288,0.2096,0.1764,0.1836,0.2096,0.1796,0.152,0.212,0.1616,0.1504,0.204,0.3244,0.0996,0.2768
30,0.668,0.5116,0.7508,0.6548,0.822,0.9372,0.25,0.2672,0.1816,0.196,0.2148,0.1836,0.1836,0.206,0.1644,0.1508,0.2064,0.2856,0.1212,0.2084
31,0.6548,0.5152,0.6972,0.596,0.772,0.8356,0.9008,0.2396,0.188,0.1976,0.1636,0.1496,0.19,0.2296,0.16,0.1832,0.132,0.2284,0.1468,0.2376
32,0.6676,0.518,0.7084,0.6064,0.7672,0.8216,0.85,0.9532,0.19,0.1832,0.1612,0.1824,0.2268,0.2944,0.1196,0.1716,0.1372,0.1772,0.0868,0.2764
33,0.6468,0.5032,0.674,0.5464,0.7156,0.7924,0.7744,0.8908,0.8764,0.1672,0.1504,0.1776,0.1988,0.1732,0.1796,0.154,0.1872,0.2196,0.136,0.2024
34,0.6384,0.5208,0.6996,0.5652,0.7204,0.7656,0.7604,0.8448,0.7776,0.8708,0.164,0.228,0.1728,0.2168,0.1652,0.1656,0.1776,0.1564,0.0992,0.1924
35,0.64,0.5396,0.722,0.5564,0.7108,0.7676,0.7352,0.8496,0.7372,0.8516,0.972,0.19,0.2568,0.2272,0.1616,0.1616,0.1728,0.154,0.0652,0.2212
36,0.6728,0.5392,0.7284,0.5932,0.7184,0.7924,0.7428,0.8164,0.7208,0.8076,0.9276,0.9512,0.216,0.2312,0.1472,0.1808,0.1832,0.2488,0.0508,0.2108
37,0.6612,0.5356,0.7316,0.5884,0.6988,0.7648,0.7408,0.8124,0.6996,0.7556,0.8792,0.896,0.932,0.2152,0.1584,0.1864,0.236,0.2124,0.058,0.2916
38,0.6648,0.5648,0.7216,0.5892,0.718,0.7628,0.7436,0.8384,0.6784,0.7664,0.8448,0.866,0.9376,0.9844,0.136,0.1712,0.2124,0.2228,0.048,0.3156
39,0.6488,0.5296,0.6824,0.4952,0.6744,0.722,0.6572,0.7756,0.5716,0.6552,0.8328,0.81,0.8536,0.9196,0.8476,0.192,0.2088,0.2776,0.0784,0.2452
40,0.6552,0.5316,0.7044,0.5504,0.6712,0.7564,0.716,0.8004,0.6816,0.6916,0.8392,0.8,0.8676,0.9484,0.3508,0.1912,0.2312,0.2556,0.0524,0.25
41,0.6344,0.5072,0.7076,0.5508,0.6632,0.764,0.7216,0.7776,0.6624,0.682,0.8252,0.8044,0.8588,0.3292,0.378,0.158,0.2248,0.2196,0.0588,0.2612
42,0.6648,0.5088,0.7024,0.5528,0.6936,0.75,0.7172,0.7712,0.6544,0.6492,0.8064,0.7812,0.2496,0.34,0.41,0.1484,0.2244,0.2292,0.0568,0.2536
43,0.66,0.5164,0.698,0.5152,0.6728,0.7232,0.7024,0.7456,0.6416,0.638,0.7944,0.2504,0.2828,0.3472,0.3624,0.1684,0.1964,0.2244,0.0948,0.2356
44,0.6516,0.4792,0.6772,0.5212,0.6584,0.74,0.6776,0.7528,0.6192,0.6368,0.244,0.2892,0.2704,0.3584,0.364,0.1696,0.19,0.2404,0.1368,0.242
45,0.6472,0.5108,0.6928,0.5316,0.6652,0.7616,0.7108,0.7708,0.6332,0.652,0.2696,0.3596,0.302,0.376,0.3536,0.788,0.1852,0.2252,0.1164,0.2492
46,0.6448,0.5052,0.6752,0.5228,0.6612,0.754,0.7148,0.782,0.6412,0.6488,0.2864,0.3516,0.2984,0.3832,0.362,0.7684,0.7792,0.2208,0.0992,0.2372
47,0.6668,0.5204,0.686,0.5436,0.6936,0.7516,0.7044,0.7812,0.6352,0.6488,0.2936,0.3548,0.308,0.4,0.3512,0.7688,0.7436,0.8376,0.08,0.2448
48,0.6668,0.5284,0.7044,0.5456,0.7004,0.7476,0.696,0.7844,0.6284,0.6548,0.2956,0.3576,0.3008,0.3844,0.3404,0.7696,0.7152,0.8308,0.9064,0.2384
49,0.6368,0.5456,0.692,0.5564,0.7,0.7536,0.6964,0.8048,0.6168,0.6628,0.2816,0.3648,0.2888,0.402,0.356,0.7588,0.7184,0.7856,0.8524,0.836
50,0.7124,0.2412,0.212,0.256,0.1772,0.3192,0.2428,0.1784,0.188,0.2256,0.1644,0.2252,0.244,0.176,0.1704,0.1428,0.204,0.198,0.2416,0.1532
51,0.7264,0.7632,0.2224,0.2232,0.162,0.2616,0.3332,0.166,0.2372,0.2452,0.1596,0.1428,0.2552,0.182,0.2012,0.1092,0.2256,0.26,0.2272,0.1032
52,0.6412,0.736,0.6888,0.2972,0.1768,0.278,0.2976,0.15,0.1664,0.2884,0.1644,0.1632,0.2284,0.1904,0.2308,0.1108,0.1944,0.1912,0.2712,0.1552
53,0.62,0.7232,0.7476,0.89,0.2036,0.2868,0.3048,0.11,0.1668,0.186,0.1568,0.1552,0.2,0.1884,0.2428,0.1436,0.1724,0.162,0.2964,0.1292
54,0.5392,0.6384,0.68,0.7672,0.7308,0.2548,0.2344,0.2132,0.1956,0.2632,0.1888,0.1776,0.196,0.1668,0.2864,0.2316,0.1412,0.1464,0.2564,0.1728
55,0.5932,0.6892,0.6688,0.8088,0.7172,0.8476,0.3064,0.1632,0.1852,0.2744,0.1772,0.1756,0.2472,0.192,0.246,0.2216,0.136,0.2064,0.2204,0.1416
56,0.6544,0.6984,0.6572,0.7796,0.676,0.8032,0.928,0.122,0.2,0.2472,0.1704,0.182,0.24,0.2176,0.2656,0.2148,0.1468,0.1816,0.176,0.1464
57,0.6484,0.6972,0.6604,0.78,0.6708,0.7944,0.8856,0.9556,0.2096,0.3328,0.1896,0.1756,0.2604,0.1924,0.236,0.2384,0.1456,0.1776,0.1924,0.1156
58,0.6356,0.696,0.6776,0.8052,0.636,0.7404,0.854,0.8336,0.942,0.2228,0.1952,0.2124,0.2112,0.2372,0.2396,0.2192,0.1532,0.1536,0.2032,0.1448
59,0.6072,0.662,0.6396,0.7484,0.6,0.7388,0.8088,0.812,0.8724,0.9316,0.21,0.1852,0.2492,0.22,0.2736,0.2064,0.1516,0.192,0.2332,0.142
60,0.672,0.6988,0.662,0.7576,0.6308,0.7088,0.794,0.7884,0.826,0.8828,0.9464,0.2168,0.234,0.2464,0.264,0.2468,0.1392,0.2028,0.2132,0.1452
61,0.6696,0.7252,0.6628,0.7692,0.6436,0.7068,0.8108,0.766,0.7768,0.8468,0.8516,0.9408,0.2352,0.2248,0.2492,0.2048,0.1412,0.2008,0.226,0.1172
62,0.6964,0.7244,0.6344,0.7772,0.6344,0.7308,0.7816,0.7584,0.7468,0.8292,0.8068,0.8564,0.9428,0.1828,0.2812,0.1728,0.1396,0.1836,0.2476,0.116
63,0.654,0.7524,0.6596,0.7752,0.6428,0.722,0.7652,0.7008,0.7144,0.8092,0.7716,0.816,0.892,0.9348,0.25,0.2208,0.1456,0.1932,0.2252,0.1696
