,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.5152,0.2016,0.2344,0.1812,0.1988,0.2036,0.2572,0.2828,0.2016,0.2464,0.1904,0.2892,0.1592,0.1848,0.1476,0.252,0.1304,0.1868,0.2636,0.2032
1,0.4752,0.7144,0.2172,0.1012,0.182,0.1928,0.1904,0.266,0.2008,0.2348,0.2324,0.2544,0.1692,0.2072,0.152,0.3952,0.1816,0.1428,0.3068,0.1828
2,0.5132,0.6972,0.8268,0.1932,0.1564,0.188,0.1724,0.286,0.198,0.2408,0.2736,0.242,0.1204,0.2092,0.1984,0.4112,0.0972,0.2232,0.2196,0.1996
3,0.4784,0.6456,0.7424,0.7876,0.176,0.2164,0.2804,0.3012,0.2072,0.2276,0.2976,0.2652,0.1368,0.176,0.2108,0.2956,0.1024,0.164,0.164,0.2012
4,0.5192,0.6524,0.6956,0.7748,0.806,0.1528,0.1868,0.2664,0.2112,0.2244,0.21,0.2724,0.1664,0.1816,0.214,0.332,0.174,0.1536,0.2024,0.2004
5,0.512,0.6728,0.722,0.7716,0.7596,0.8836,0.2292,0.222,0.2024,0.2292,0.2748,0.2092,0.1888,0.1976,0.2268,0.342,0.1808,0.2304,0.2444,0.1988
6,0.474,0.672,0.682,0.7376,0.7,0.8288,0.9104,0.2548,0.2072,0.2052,0.256,0.278,0.1464,0.2036,0.2188,0.3192,0.1848,0.1596,0.27,0.198
7,0.4872,0.6864,0.6732,0.7648,0.7248,0.7796,0.8408,0.9256,0.2112,0.2492,0.2164,0.2404,0.1696,0.2152,0.204,0.2904,0.1908,0.1524,0.218,0.1984
8,0.5068,0.6832,0.6656,0.7824,0.7116,0.7116,0.82,0.8652,0.912,0.1632,0.1508,0.2404,0.1584,0.2276,0.1884,0.2668,0.232,0.1472,0.2288,0.198
9,0.5444,0.69,0.7192,0.7448,0.7088,0.7636,0.8,0.8452,0.8448,0.9556,0.2356,0.246,0.1772,0.1896,0.2032,0.2968,0.1764,0.1544,0.2876,0.194
10,0.5232,0.6912,0.676,0.7836,0.7216,0.7712,0.8024,0.814,0.8648,0.922,0.9744,0.2512,0.1552,0.2264,0.1728,0.2828,0.1736,0.156,0.2232,0.1972
11,0.5268,0.7024,0.6904,0.7452,0.7116,0.73,0.782,0.7744,0.7936,0.8628,0.9196,0.9436,0.1496,0.2024,0.1796,0.3188,0.1812,0.1364,0.1976,0.1968
12,0.5268,0.6828,0.692,0.7392,0.7076,0.7272,0.7708,0.7684,0.796,0.8284,0.8872,0.8972,0.9632,0.2432,0.1888,0.29,0.1436,0.1356,0.2208,0.1948
13,0.5556,0.7092,0.7032,0.734,0.7016,0.724,0.734,0.746,0.7856,0.81,0.8512,0.8508,0.9144,0.8892,0.2332,0.3164,0.1408,0.1616,0.1944,0.19
14,0.5552,0.7044,0.7064,0.7436,0.7076,0.7172,0.7576,0.7528,0.7692,0.78,0.8184,0.8156,0.8616,0.8232,0.9596,0.3236,0.1324,0.148,0.2208,0.1928
15,0.5408,0.6856,0.7044,0.7504,0.666,0.7068,0.7072,0.7336,0.7628,0.7616,0.8128,0.7768,0.8408,0.7916,0.3808,0.3156,0.126,0.1368,0.2296,0.1916
16,0.5112,0.6932,0.6592,0.734,0.6244,0.6712,0.7076,0.7132,0.7404,0.7248,0.8076,0.7124,0.8116,0.3796,0.384,0.2964,0.1264,0.1608,0.2072,0.1944
17,0.5276,0.6856,0.664,0.7292,0.634,0.6672,0.6968,0.7212,0.7168,0.7256,0.7828,0.7232,0.4064,0.3664,0.3772,0.2816,0.1284,0.15,0.2624,0.196
18,0.4952,0.6808,0.6196,0.7164,0.5896,0.6664,0.6444,0.71,0.6672,0.7428,0.7892,0.3744,0.426,0.3608,0.3692,0.2268,0.1292,0.192,0.2568,0.1952
19,0.5076,0.6724,0.6032,0.688,0.638,0.6876,0.7172,0.7052,0.7476,0.7332,0.2632,0.3876,0.3312,0.38,0.382,0.2196,0.16,0.1608,0.2432,0.1908
20,0.566,0.734,0.7332,0.7488,0.6748,0.726,0.7504,0.746,0.786,0.7808,0.3644,0.4288,0.4008,0.37,0.3704,0.8716,0.116,0.1532,0.2352,0.1816
21,0.5704,0.738,0.74,0.7564,0.6832,0.7568,0.7628,0.7632,0.7824,0.7792,0.3992,0.4432,0.3972,0.372,0.366,0.8616,0.9048,0.1504,0.2148,0.1864
22,0.554,0.7364,0.734,0.7792,0.6972,0.754,0.756,0.762,0.7556,0.7876,0.3976,0.4332,0.3924,0.3724,0.3548,0.8188,0.8872,0.8004,0.2488,0.1908
23,0.53,0.7348,0.714,0.7816,0.6804,0.7596,0.7608,0.7632,0.7408,0.7816,0.4204,0.4276,0.3872,0.372,0.3508,0.8,0.8664,0.8048,0.8404,0.186
24,0.5636,0.736,0.7136,0.7796,0.6848,0.76,0.7588,0.7552,0.7816,0.7912,0.3328,0.4352,0.3884,0.3792,0.3436,0.7924,0.8756,0.7728,0.814,0.9124
25,0.5936,0.2108,0.21,0.1852,0.2956,0.1792,0.2004,0.1244,0.2,0.302,0.1944,0.1804,0.2052,0.2512,0.2336,0.2024,0.1928,0.2088,0.2112,0.2
26,0.6196,0.7804,0.184,0.25,0.3092,0.2096,0.1644,0.1044,0.1984,0.2332,0.2328,0.166,0.1712,0.2556,0.208,0.1792,0.2248,0.1664,0.1668,0.2
27,0.6592,0.7616,0.882,0.1924,0.2672,0.1924,0.2132,0.0908,0.1996,0.222,0.2336,0.1512,0.238,0.224,0.2504,0.2248,0.2816,0.1636,0.138,0.2
28,0.6124,0.6908,0.8512,0.8416,0.204,0.248,0.2036,0.0776,0.2016,0.254,0.2028,0.15,0.2668,0.1872,0.2244,0.2024,0.2412,0.2068,0.1164,0.2
29,0.6252,0.6644,0.7052,0.77,0.7608,0.1808,0.1852,0.1164,0.1944,0.184,0.2148,0.172,0.268,0.1672,0.222,0.2076,0.2372,0.1884,0.1072,0.2
30,0.6044,0.6628,0.7208,0.7556,0.7628,0.8016,0.2008,0.106,0.194,0.22,0.2024,0.1324,0.2804,0.142,0.2768,0.2036,0.2164,0.1972,0.108,0.2084
31,0.5632,0.7256,0.694,0.7144,0.748,0.7764,0.7812,0.1156,0.1972,0.1836,0.2008,0.1488,0.2096,0.1796,0.2128,0.23,0.2344,0.244,0.1556,0.2092
32,0.6236,0.6704,0.7712,0.7624,0.748,0.7796,0.8116,0.9124,0.1964,0.1648,0.23,0.1268,0.1448,0.1864,0.1892,0.2052,0.2032,0.1636,0.0932,0.2168
33,0.6596,0.7268,0.7612,0.7664,0.7376,0.748,0.7852,0.8772,0.9856,0.1652,0.2092,0.132,0.2092,0.1856,0.2048,0.2068,0.2104,0.196,0.1,0.228
34,0.6404,0.7256,0.7484,0.7684,0.748,0.7428,0.742,0.7984,0.9112,0.8888,0.2052,0.1364,0.1996,0.2132,0.2176,0.1948,0.2052,0.1872,0.1336,0.2296
35,0.6492,0.7168,0.7292,0.7576,0.734,0.7208,0.718,0.7928,0.8816,0.8144,0.9296,0.1112,0.2104,0.1928,0.222,0.2084,0.2408,0.202,0.1084,0.23
36,0.6412,0.7088,0.754,0.7088,0.7412,0.708,0.688,0.7664,0.8488,0.774,0.8744,0.9468,0.1828,0.2072,0.2076,0.2324,0.1828,0.192,0.1028,0.2312
37,0.6076,0.6524,0.7336,0.73,0.724,0.6744,0.7124,0.7656,0.8296,0.7396,0.8408,0.9324,0.9432,0.206,0.2132,0.2376,0.1936,0.1884,0.0844,0.2116
38,0.6432,0.7008,0.7416,0.7428,0.7396,0.682,0.7128,0.764,0.8368,0.7572,0.8196,0.8848,0.9456,0.9664,0.2216,0.208,0.1864,0.2376,0.0744,0.2168
39,0.6604,0.7116,0.7928,0.7704,0.7084,0.7172,0.6976,0.7724,0.844,0.7588,0.7976,0.852,0.9004,0.9424,0.9672,0.2108,0.1948,0.2332,0.078,0.2228
40,0.5888,0.6832,0.7448,0.6816,0.6756,0.6972,0.6568,0.744,0.7928,0.7048,0.7268,0.832,0.8296,0.8964,0.2712,0.2164,0.1736,0.228,0.058,0.206
41,0.5928,0.6968,0.7556,0.7216,0.6448,0.6508,0.5676,0.63,0.7704,0.7344,0.6952,0.7908,0.8244,0.3652,0.2596,0.2092,0.1772,0.1896,0.0732,0.2052
