,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.656,0.138,0.204,0.198,0.204,0.248,0.202,0.232,0.234,0.218,0.26,0.136,0.198,0.23,0.196,0.108,0.158,0.144,0.222,0.146
1,0.622,0.752,0.264,0.202,0.176,0.318,0.258,0.192,0.258,0.22,0.234,0.156,0.198,0.164,0.218,0.106,0.2,0.136,0.212,0.19
2,0.616,0.642,0.692,0.184,0.218,0.258,0.326,0.15,0.25,0.262,0.216,0.16,0.2,0.228,0.278,0.15,0.116,0.134,0.204,0.206
3,0.578,0.554,0.596,0.71,0.154,0.268,0.286,0.144,0.286,0.2,0.244,0.13,0.2,0.222,0.26,0.156,0.128,0.142,0.222,0.224
4,0.44,0.554,0.548,0.572,0.646,0.188,0.24,0.186,0.316,0.17,0.236,0.142,0.206,0.248,0.238,0.24,0.116,0.184,0.142,0.23
5,0.536,0.55,0.594,0.536,0.576,0.782,0.22,0.178,0.236,0.15,0.182,0.148,0.194,0.258,0.242,0.122,0.136,0.174,0.17,0.29
6,0.606,0.554,0.542,0.614,0.538,0.694,0.798,0.158,0.256,0.216,0.204,0.088,0.2,0.26,0.244,0.122,0.144,0.172,0.182,0.242
7,0.624,0.674,0.58,0.562,0.456,0.628,0.668,0.636,0.26,0.174,0.162,0.126,0.202,0.234,0.226,0.122,0.134,0.144,0.188,0.234
8,0.6,0.6,0.556,0.542,0.452,0.668,0.662,0.53,0.752,0.208,0.16,0.106,0.2,0.28,0.314,0.156,0.108,0.148,0.214,0.196
9,0.552,0.624,0.496,0.522,0.412,0.614,0.598,0.518,0.648,0.724,0.234,0.124,0.204,0.268,0.302,0.17,0.16,0.144,0.214,0.232
10,0.58,0.57,0.546,0.468,0.444,0.638,0.536,0.54,0.606,0.556,0.752,0.122,0.2,0.266,0.268,0.158,0.102,0.092,0.232,0.232
11,0.562,0.56,0.51,0.502,0.488,0.618,0.554,0.458,0.608,0.49,0.666,0.81,0.2,0.274,0.284,0.126,0.11,0.196,0.174,0.178
