,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7124,0.1416,0.2064,0.2,0.1984,0.2444,0.2068,0.2248,0.2364,0.2224,0.266,0.1248,0.2,0.2284,0.2024,0.098,0.1404,0.1396,0.2092,0.1504
1,0.6272,0.8228,0.2588,0.1996,0.1756,0.2964,0.2536,0.2016,0.2244,0.1984,0.2388,0.1256,0.2,0.1676,0.228,0.1092,0.2052,0.134,0.196,0.1928
2,0.6108,0.6772,0.8336,0.1856,0.2156,0.2684,0.2992,0.1484,0.2388,0.2508,0.222,0.158,0.2,0.2152,0.282,0.144,0.1056,0.1604,0.2084,0.2044
3,0.5956,0.5968,0.6624,0.8592,0.1612,0.2684,0.2544,0.1716,0.266,0.214,0.2464,0.11,0.202,0.2044,0.2544,0.1572,0.1452,0.1428,0.216,0.2676
4,0.4676,0.5808,0.5884,0.6684,0.7928,0.1964,0.2072,0.1792,0.2912,0.1772,0.2264,0.1316,0.1992,0.2232,0.2276,0.2536,0.1288,0.1688,0.14,0.2548
5,0.5612,0.5324,0.5932,0.6204,0.7008,0.914,0.2228,0.162,0.254,0.1756,0.1844,0.1416,0.198,0.2476,0.242,0.1188,0.1404,0.1516,0.178,0.2484
6,0.6036,0.5744,0.5476,0.6464,0.6,0.778,0.9316,0.16,0.2716,0.2304,0.1992,0.0812,0.1996,0.272,0.2424,0.1248,0.1476,0.1608,0.1868,0.2036
7,0.5928,0.6612,0.5748,0.5888,0.5292,0.6952,0.746,0.8228,0.2668,0.1776,0.1676,0.1196,0.2036,0.2492,0.244,0.1136,0.1332,0.116,0.2008,0.196
8,0.5976,0.5924,0.5512,0.558,0.5004,0.7032,0.6972,0.6708,0.9292,0.204,0.1724,0.1048,0.2,0.2528,0.3152,0.15,0.1044,0.1724,0.2304,0.1876
9,0.546,0.6176,0.4776,0.5336,0.4944,0.658,0.6224,0.5712,0.7668,0.8968,0.232,0.1416,0.2024,0.256,0.3116,0.2,0.118,0.1304,0.2208,0.2004
10,0.5664,0.5588,0.5516,0.4876,0.4444,0.6284,0.5812,0.6112,0.7248,0.6792,0.9332,0.1216,0.1996,0.2664,0.2528,0.158,0.0924,0.1156,0.2292,0.2048
11,0.5712,0.5804,0.552,0.4992,0.508,0.6404,0.5996,0.5496,0.7064,0.558,0.806,0.9232,0.1996,0.2628,0.272,0.1404,0.0916,0.1724,0.2052,0.1816
12,0.6152,0.5868,0.5552,0.5524,0.5068,0.638,0.606,0.5512,0.6852,0.5952,0.7336,0.856,0.9144,0.256,0.2788,0.1968,0.0884,0.2152,0.2096,0.1972
13,0.6384,0.6312,0.6228,0.5532,0.5364,0.6656,0.6768,0.5908,0.6584,0.5768,0.7276,0.8136,0.7432,0.9648,0.35,0.1284,0.1352,0.1796,0.2204,0.1756
14,0.5964,0.61,0.5912,0.5264,0.4724,0.6512,0.6264,0.564,0.6472,0.5248,0.6556,0.7588,0.6428,0.86,0.9204,0.1608,0.1064,0.1872,0.204,0.1652
15,0.566,0.602,0.6008,0.4972,0.4192,0.6268,0.624,0.5716,0.624,0.5388,0.66,0.7616,0.5912,0.8788,0.2904,0.1236,0.108,0.186,0.2032,0.1764
