,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.668,0.218,0.156,0.212,0.196,0.176,0.148,0.228,0.154,0.124,0.198,0.178,0.23,0.204,0.222,0.234,0.2,0.206,0.29,0.2
1,0.582,0.772,0.12,0.124,0.222,0.132,0.186,0.206,0.1,0.144,0.244,0.118,0.228,0.204,0.25,0.25,0.23,0.196,0.182,0.164
2,0.562,0.774,0.528,0.132,0.184,0.162,0.166,0.162,0.122,0.14,0.292,0.152,0.222,0.176,0.276,0.252,0.252,0.186,0.17,0.17
3,0.528,0.742,0.554,0.688,0.236,0.184,0.144,0.184,0.05,0.102,0.214,0.196,0.134,0.174,0.294,0.246,0.256,0.204,0.17,0.216
4,0.51,0.738,0.54,0.648,0.754,0.238,0.196,0.206,0.086,0.142,0.174,0.148,0.198,0.192,0.292,0.208,0.286,0.198,0.18,0.172
5,0.576,0.722,0.61,0.68,0.694,0.846,0.182,0.192,0.084,0.15,0.152,0.222,0.222,0.172,0.264,0.248,0.234,0.202,0.156,0.196
6,0.538,0.688,0.54,0.638,0.69,0.752,0.782,0.214,0.104,0.154,0.22,0.204,0.138,0.196,0.27,0.238,0.288,0.2,0.182,0.168
7,0.556,0.716,0.56,0.668,0.702,0.734,0.746,0.684,0.082,0.15,0.17,0.176,0.224,0.19,0.256,0.218,0.23,0.204,0.178,0.174
8,0.576,0.698,0.56,0.66,0.702,0.758,0.766,0.638,0.844,0.144,0.164,0.176,0.216,0.2,0.268,0.234,0.258,0.192,0.162,0.196
9,0.624,0.73,0.56,0.684,0.672,0.732,0.764,0.65,0.814,0.68,0.188,0.198,0.204,0.196,0.298,0.222,0.272,0.196,0.14,0.24
10,0.608,0.768,0.528,0.694,0.724,0.716,0.756,0.602,0.75,0.632,0.786,0.166,0.168,0.158,0.258,0.274,0.232,0.204,0.142,0.248
11,0.632,0.74,0.542,0.706,0.724,0.726,0.762,0.618,0.82,0.638,0.784,0.844,0.204,0.168,0.29,0.244,0.206,0.202,0.122,0.24
12,0.652,0.694,0.586,0.654,0.704,0.74,0.742,0.582,0.844,0.664,0.734,0.802,0.824,0.176,0.318,0.232,0.214,0.236,0.144,0.236
13,0.614,0.75,0.564,0.674,0.712,0.75,0.748,0.63,0.794,0.64,0.732,0.794,0.766,0.804,0.254,0.258,0.234,0.242,0.17,0.168
14,0.582,0.744,0.582,0.694,0.66,0.756,0.754,0.602,0.752,0.59,0.744,0.76,0.772,0.734,0.712,0.222,0.186,0.234,0.168,0.256
15,0.608,0.76,0.592,0.678,0.674,0.748,0.752,0.62,0.756,0.59,0.736,0.744,0.75,0.748,0.654,0.208,0.218,0.228,0.16,0.24
16,0.598,0.724,0.574,0.676,0.67,0.792,0.746,0.618,0.77,0.594,0.728,0.746,0.758,0.71,0.67,0.232,0.17,0.242,0.168,0.278
17,0.592,0.742,0.582,0.698,0.65,0.786,0.764,0.608,0.756,0.612,0.764,0.794,0.768,0.702,0.7,0.232,0.176,0.242,0.164,0.274
18,0.602,0.752,0.564,0.672,0.648,0.766,0.778,0.608,0.754,0.61,0.736,0.652,0.736,0.69,0.652,0.194,0.18,0.23,0.17,0.25
19,0.532,0.728,0.546,0.704,0.622,0.74,0.754,0.566,0.724,0.544,0.742,0.674,0.706,0.69,0.654,0.206,0.198,0.242,0.17,0.218
20,0.596,0.766,0.606,0.708,0.664,0.782,0.766,0.592,0.776,0.628,0.708,0.69,0.756,0.736,0.684,0.618,0.202,0.238,0.166,0.236
21,0.602,0.756,0.596,0.686,0.662,0.784,0.784,0.608,0.776,0.648,0.706,0.716,0.772,0.726,0.68,0.59,0.726,0.25,0.166,0.178
22,0.614,0.756,0.58,0.676,0.674,0.76,0.782,0.616,0.764,0.654,0.696,0.728,0.784,0.706,0.652,0.584,0.73,0.642,0.16,0.198
23,0.596,0.76,0.552,0.696,0.668,0.734,0.778,0.596,0.756,0.61,0.72,0.688,0.756,0.678,0.646,0.576,0.714,0.626,0.722,0.162
24,0.598,0.76,0.546,0.698,0.656,0.746,0.77,0.596,0.74,0.624,0.71,0.674,0.772,0.712,0.652,0.568,0.734,0.628,0.706,0.784
25,0.378,0.198,0.166,0.172,0.21,0.26,0.198,0.164,0.19,0.176,0.2,0.086,0.144,0.21,0.218,0.178,0.166,0.204,0.22,0.222
26,0.428,0.69,0.174,0.204,0.254,0.236,0.198,0.112,0.194,0.25,0.212,0.142,0.152,0.2,0.276,0.256,0.13,0.206,0.112,0.208
27,0.354,0.624,0.494,0.184,0.3,0.222,0.21,0.188,0.18,0.198,0.2,0.148,0.184,0.184,0.19,0.208,0.192,0.18,0.2,0.178
28,0.468,0.588,0.594,0.826,0.28,0.196,0.21,0.186,0.188,0.198,0.198,0.122,0.09,0.208,0.312,0.184,0.186,0.2,0.182,0.216
