,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7092,0.2284,0.182,0.184,0.1996,0.1856,0.1652,0.2268,0.1628,0.136,0.2,0.1908,0.2156,0.2004,0.2304,0.2296,0.2112,0.2076,0.2636,0.2004
1,0.5948,0.8192,0.1348,0.1332,0.2412,0.1364,0.1936,0.2004,0.094,0.1316,0.2404,0.1412,0.2312,0.2,0.2648,0.2396,0.2264,0.2064,0.1644,0.1436
2,0.5996,0.8072,0.6672,0.12,0.1868,0.1648,0.1596,0.152,0.1216,0.14,0.2928,0.1296,0.2048,0.1884,0.266,0.278,0.2752,0.2032,0.164,0.1576
3,0.6092,0.7804,0.6408,0.8144,0.2568,0.2148,0.146,0.1852,0.0916,0.1248,0.228,0.2004,0.1332,0.1824,0.2712,0.25,0.2704,0.204,0.1936,0.2192
4,0.5624,0.7516,0.6312,0.7392,0.8884,0.2476,0.1844,0.2024,0.0884,0.1628,0.208,0.134,0.1952,0.1896,0.268,0.2,0.2712,0.204,0.2224,0.1656
5,0.6264,0.7368,0.6364,0.744,0.8232,0.966,0.182,0.1944,0.0936,0.164,0.1748,0.2168,0.1984,0.186,0.2736,0.2344,0.266,0.204,0.1632,0.1964
6,0.6268,0.7424,0.596,0.7044,0.7824,0.8556,0.9264,0.2068,0.0936,0.1572,0.2196,0.2384,0.138,0.1988,0.2936,0.2652,0.256,0.2048,0.2072,0.1996
7,0.6516,0.7356,0.6244,0.7044,0.7608,0.8256,0.8656,0.9252,0.0856,0.152,0.1832,0.1932,0.1912,0.1892,0.2536,0.238,0.2552,0.2032,0.1924,0.1608
8,0.6564,0.7484,0.6088,0.6948,0.7588,0.8148,0.8612,0.824,0.958,0.1448,0.1808,0.2064,0.2212,0.1916,0.2888,0.234,0.2624,0.1996,0.168,0.212
9,0.6972,0.758,0.6208,0.704,0.7332,0.7852,0.8348,0.7844,0.8872,0.9052,0.192,0.1996,0.1904,0.1892,0.2716,0.2372,0.2568,0.2016,0.1708,0.2336
10,0.6796,0.8088,0.5764,0.7048,0.778,0.7832,0.834,0.7248,0.8284,0.8464,0.9432,0.162,0.1696,0.1548,0.2764,0.2336,0.2424,0.2036,0.1556,0.2588
11,0.67,0.768,0.612,0.7156,0.7796,0.7584,0.8328,0.704,0.874,0.8304,0.904,0.9648,0.1868,0.1692,0.2724,0.2412,0.228,0.2188,0.1372,0.2536
12,0.674,0.7416,0.6256,0.6928,0.7752,0.7768,0.8112,0.6884,0.8764,0.7676,0.7916,0.9236,0.9608,0.1688,0.312,0.2412,0.212,0.2268,0.1428,0.2604
13,0.6724,0.7744,0.6184,0.6992,0.7696,0.7732,0.8144,0.7192,0.842,0.7492,0.8432,0.8744,0.868,0.96,0.286,0.2652,0.234,0.2308,0.1816,0.2008
14,0.6564,0.7536,0.6124,0.712,0.7312,0.7576,0.8052,0.6664,0.834,0.6856,0.8364,0.8576,0.8332,0.91,0.954,0.2348,0.2052,0.2364,0.1768,0.2724
15,0.6492,0.7704,0.6168,0.7132,0.7136,0.7788,0.8048,0.6912,0.8088,0.6816,0.8036,0.8292,0.804,0.9056,0.8816,0.2404,0.2012,0.2228,0.1736,0.2696
16,0.6704,0.7316,0.6008,0.6924,0.6936,0.7876,0.786,0.6932,0.8312,0.6932,0.8,0.842,0.8092,0.8464,0.9156,0.2492,0.188,0.2404,0.172,0.2992
17,0.6644,0.7608,0.6156,0.7052,0.71,0.7816,0.8096,0.6736,0.8192,0.7144,0.8228,0.878,0.8208,0.824,0.9336,0.2272,0.196,0.2376,0.1636,0.2768
18,0.6548,0.768,0.6104,0.7068,0.7056,0.766,0.8316,0.6776,0.8088,0.6924,0.7944,0.748,0.8016,0.8092,0.8732,0.1944,0.2036,0.23,0.1632,0.2676
19,0.6052,0.7472,0.5556,0.7092,0.6692,0.7408,0.788,0.6372,0.756,0.63,0.8008,0.756,0.758,0.806,0.8836,0.2184,0.2204,0.2344,0.148,0.2408
20,0.6744,0.7768,0.636,0.7032,0.7384,0.7868,0.826,0.6816,0.838,0.726,0.7424,0.7872,0.8208,0.8608,0.928,0.6924,0.212,0.2332,0.1704,0.2436
21,0.6628,0.7696,0.6168,0.6912,0.732,0.792,0.838,0.6824,0.8368,0.7344,0.7556,0.7964,0.8232,0.8552,0.9288,0.7004,0.8068,0.2264,0.172,0.2032
22,0.6848,0.7472,0.6092,0.6844,0.7296,0.7724,0.8208,0.6892,0.834,0.7356,0.7592,0.7988,0.8116,0.8484,0.9188,0.6896,0.824,0.8064,0.1676,0.2288
23,0.6668,0.764,0.6044,0.7112,0.7176,0.7544,0.8148,0.656,0.8188,0.7048,0.78,0.7636,0.784,0.814,0.8964,0.6652,0.8036,0.8,0.782,0.19
24,0.68,0.762,0.6108,0.7,0.7116,0.7528,0.8036,0.6744,0.8128,0.7064,0.7536,0.7352,0.814,0.846,0.8784,0.6664,0.7976,0.7868,0.7832,0.8792
25,0.4052,0.1896,0.162,0.1796,0.224,0.2572,0.1904,0.1688,0.1896,0.1744,0.2,0.1056,0.1444,0.2152,0.2164,0.1744,0.1776,0.2008,0.2164,0.2032
26,0.5032,0.7288,0.172,0.1708,0.2516,0.2256,0.2048,0.1248,0.2104,0.2376,0.2064,0.128,0.1656,0.2056,0.2744,0.2396,0.1244,0.2076,0.1136,0.1912
27,0.3896,0.6424,0.5388,0.1872,0.2924,0.2388,0.1952,0.1988,0.1848,0.1864,0.1876,0.1468,0.1644,0.1908,0.22,0.2068,0.1948,0.1924,0.2016,0.194
28,0.5256,0.6728,0.7552,0.9232,0.2644,0.1876,0.22,0.196,0.1784,0.194,0.2004,0.124,0.0988,0.2076,0.3116,0.1968,0.1796,0.2,0.1988,0.2052
29,0.53,0.6148,0.6884,0.8324,0.9196,0.2204,0.1868,0.2096,0.174,0.2012,0.218,0.1104,0.1852,0.2244,0.276,0.2552,0.2468,0.2112,0.1068,0.2148
30,0.4924,0.6,0.6732,0.804,0.852,0.912,0.1932,0.182,0.1924,0.2016,0.2152,0.1136,0.1088,0.2044,0.2876,0.2952,0.2088,0.2252,0.18,0.2244
31,0.4724,0.6092,0.6112,0.788,0.796,0.8736,0.8632,0.186,0.1836,0.1556,0.27,0.1088,0.1564,0.2064,0.278,0.2964,0.2324,0.2332,0.114,0.1956
32,0.5184,0.6284,0.6696,0.804,0.7756,0.8212,0.7772,0.93,0.1708,0.2248,0.2256,0.156,0.1772,0.2068,0.2524,0.3256,0.2484,0.2172,0.196,0.204
33,0.5124,0.652,0.6248,0.7888,0.7672,0.8192,0.7188,0.84,0.9284,0.2596,0.2572,0.1344,0.1208,0.204,0.258,0.2884,0.2228,0.2136,0.1156,0.2108
34,0.51,0.6496,0.6424,0.794,0.7428,0.7952,0.7144,0.834,0.8776,0.984,0.2248,0.148,0.1784,0.1868,0.2608,0.3212,0.2508,0.2224,0.1892,0.2128
