,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.322,0.204,0.136,0.198,0.198,0.188,0.276,0.252,0.204,0.2,0.096,0.176,0.228,0.136,0.184,0.142,0.238,0.2,0.216,0.19
1,0.4,0.596,0.15,0.206,0.196,0.22,0.208,0.214,0.182,0.188,0.174,0.212,0.21,0.19,0.2,0.12,0.202,0.208,0.22,0.088
2,0.418,0.624,0.774,0.226,0.192,0.22,0.176,0.264,0.176,0.192,0.218,0.222,0.224,0.288,0.25,0.168,0.228,0.222,0.214,0.146
3,0.4,0.674,0.774,0.694,0.15,0.186,0.186,0.284,0.198,0.198,0.162,0.204,0.248,0.252,0.3,0.154,0.206,0.23,0.236,0.148
4,0.376,0.706,0.77,0.698,0.664,0.238,0.194,0.23,0.176,0.192,0.184,0.204,0.248,0.196,0.312,0.154,0.224,0.248,0.202,0.156
5,0.462,0.66,0.77,0.66,0.638,0.798,0.186,0.26,0.176,0.15,0.216,0.202,0.21,0.262,0.272,0.14,0.228,0.22,0.234,0.188
6,0.484,0.722,0.764,0.672,0.63,0.756,0.744,0.266,0.17,0.148,0.234,0.156,0.196,0.234,0.242,0.184,0.174,0.232,0.188,0.182
7,0.48,0.694,0.79,0.714,0.59,0.744,0.698,0.804,0.192,0.114,0.268,0.21,0.22,0.262,0.252,0.138,0.186,0.218,0.212,0.166
8,0.512,0.678,0.764,0.654,0.582,0.734,0.668,0.754,0.77,0.138,0.274,0.19,0.19,0.238,0.282,0.146,0.152,0.206,0.234,0.176
9,0.488,0.676,0.766,0.7,0.578,0.728,0.694,0.764,0.742,0.74,0.294,0.208,0.186,0.222,0.264,0.172,0.18,0.228,0.194,0.15
10,0.468,0.662,0.738,0.696,0.59,0.72,0.702,0.73,0.69,0.746,0.748,0.186,0.228,0.274,0.25,0.16,0.216,0.23,0.172,0.162
11,0.516,0.66,0.752,0.708,0.6,0.706,0.674,0.758,0.702,0.68,0.718,0.7,0.186,0.276,0.236,0.174,0.216,0.222,0.164,0.13
12,0.518,0.7,0.802,0.708,0.604,0.718,0.72,0.766,0.706,0.666,0.714,0.692,0.832,0.288,0.232,0.156,0.184,0.26,0.176,0.138
13,0.502,0.732,0.774,0.698,0.616,0.746,0.698,0.758,0.684,0.708,0.688,0.674,0.8,0.802,0.262,0.184,0.224,0.244,0.182,0.118
14,0.506,0.684,0.768,0.666,0.608,0.752,0.694,0.72,0.69,0.624,0.632,0.634,0.786,0.764,0.778,0.186,0.166,0.234,0.188,0.09
15,0.454,0.538,0.592,0.614,0.442,0.606,0.568,0.566,0.598,0.482,0.54,0.516,0.57,0.634,0.306,0.162,0.228,0.218,0.202,0.104
16,0.438,0.528,0.602,0.608,0.508,0.656,0.618,0.57,0.576,0.522,0.544,0.554,0.648,0.308,0.302,0.118,0.214,0.224,0.22,0.098
17,0.398,0.392,0.56,0.456,0.434,0.594,0.542,0.552,0.584,0.454,0.462,0.53,0.26,0.32,0.28,0.12,0.228,0.24,0.234,0.086
18,0.376,0.544,0.558,0.522,0.548,0.608,0.52,0.428,0.568,0.508,0.496,0.318,0.282,0.314,0.3,0.184,0.18,0.246,0.206,0.114
19,0.404,0.388,0.466,0.418,0.374,0.438,0.388,0.42,0.44,0.314,0.244,0.286,0.18,0.262,0.206,0.16,0.276,0.212,0.21,0.26
20,0.49,0.654,0.778,0.694,0.566,0.712,0.708,0.708,0.734,0.608,0.368,0.338,0.382,0.35,0.33,0.718,0.2,0.212,0.194,0.144
21,0.502,0.652,0.792,0.71,0.574,0.738,0.706,0.684,0.75,0.628,0.384,0.352,0.4,0.354,0.328,0.7,0.756,0.218,0.194,0.148
22,0.502,0.678,0.788,0.69,0.57,0.73,0.672,0.69,0.742,0.636,0.378,0.372,0.412,0.364,0.286,0.732,0.738,0.786,0.186,0.132
23,0.508,0.622,0.762,0.69,0.596,0.73,0.688,0.746,0.734,0.6,0.384,0.348,0.406,0.352,0.284,0.702,0.716,0.734,0.786,0.136
24,0.518,0.668,0.792,0.658,0.582,0.734,0.69,0.758,0.732,0.636,0.382,0.376,0.446,0.368,0.316,0.686,0.676,0.766,0.782,0.762
