,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.36,0.214,0.1356,0.1992,0.2008,0.1736,0.2732,0.2484,0.2264,0.2,0.0868,0.1996,0.2492,0.1408,0.1776,0.138,0.2552,0.2,0.212,0.2036
1,0.4408,0.6144,0.138,0.2012,0.2124,0.22,0.2208,0.2256,0.2156,0.1984,0.1752,0.214,0.2052,0.1672,0.2012,0.1188,0.2076,0.2064,0.2332,0.1028
2,0.4832,0.7088,0.8292,0.2264,0.1996,0.216,0.1724,0.2568,0.1952,0.1944,0.2168,0.2264,0.208,0.2976,0.2316,0.1588,0.2264,0.2256,0.2164,0.1348
3,0.4888,0.72,0.7764,0.7772,0.1552,0.2048,0.1684,0.2692,0.1944,0.1996,0.1504,0.2272,0.2332,0.268,0.3284,0.1356,0.2216,0.2292,0.2368,0.1456
4,0.4912,0.7256,0.7828,0.744,0.8504,0.2364,0.2012,0.2492,0.1816,0.2004,0.1996,0.2072,0.2224,0.1692,0.3064,0.1432,0.2224,0.2316,0.2124,0.156
5,0.5292,0.704,0.7884,0.7164,0.7564,0.9264,0.186,0.2744,0.1888,0.1436,0.2312,0.1788,0.196,0.278,0.2744,0.1424,0.2184,0.2232,0.202,0.1936
6,0.5148,0.742,0.7916,0.7372,0.6952,0.8632,0.9336,0.2456,0.18,0.158,0.248,0.1564,0.2096,0.242,0.2776,0.1392,0.1784,0.2312,0.1828,0.1596
7,0.5148,0.7228,0.7932,0.7472,0.6576,0.8308,0.868,0.948,0.2068,0.1096,0.2572,0.2128,0.2128,0.2604,0.2432,0.1084,0.1852,0.22,0.1988,0.1664
8,0.5264,0.6952,0.7712,0.71,0.6656,0.7916,0.8228,0.8824,0.9584,0.156,0.2748,0.1952,0.1912,0.2512,0.2808,0.1416,0.1708,0.2156,0.2276,0.1848
9,0.5304,0.7136,0.7864,0.7224,0.6604,0.7848,0.7856,0.8552,0.8884,0.9504,0.3116,0.2032,0.156,0.2368,0.2648,0.1584,0.1844,0.2248,0.2032,0.1512
10,0.5068,0.6936,0.7612,0.7224,0.6396,0.7732,0.7652,0.8416,0.8268,0.8312,0.9424,0.1888,0.2176,0.29,0.2328,0.1416,0.2096,0.2376,0.1672,0.1652
11,0.5512,0.6844,0.7476,0.7164,0.6568,0.7512,0.7512,0.8296,0.8036,0.8084,0.852,0.94,0.1904,0.292,0.2404,0.156,0.2268,0.2256,0.1916,0.132
12,0.5484,0.712,0.7924,0.7288,0.668,0.7576,0.7656,0.8388,0.812,0.7536,0.83,0.9008,0.9612,0.2944,0.2468,0.1468,0.1908,0.2464,0.206,0.14
13,0.5544,0.7352,0.7872,0.7288,0.6408,0.776,0.7696,0.822,0.8016,0.7776,0.8076,0.8444,0.9312,0.9676,0.2588,0.1632,0.224,0.2432,0.1992,0.1368
14,0.5588,0.7156,0.7672,0.7048,0.644,0.7616,0.7644,0.7884,0.778,0.726,0.7636,0.8052,0.8724,0.9216,0.9568,0.1484,0.1852,0.2344,0.198,0.116
15,0.4664,0.5536,0.608,0.6572,0.4812,0.6476,0.6364,0.6148,0.6444,0.53,0.6004,0.5928,0.6576,0.7496,0.318,0.182,0.2452,0.2392,0.1788,0.0988
16,0.4584,0.5428,0.5932,0.6108,0.5212,0.666,0.6576,0.6392,0.608,0.6052,0.592,0.6648,0.7548,0.3128,0.316,0.1364,0.2552,0.2444,0.1936,0.092
17,0.4148,0.4232,0.58,0.4872,0.4604,0.6376,0.5924,0.6028,0.626,0.4912,0.5216,0.6152,0.2804,0.3244,0.2896,0.1312,0.2768,0.2524,0.1872,0.0852
18,0.4176,0.5724,0.5684,0.5324,0.5492,0.5864,0.5708,0.4956,0.6332,0.5512,0.5428,0.31,0.2984,0.3204,0.3004,0.1492,0.19,0.258,0.196,0.128
19,0.3968,0.418,0.4612,0.392,0.3916,0.3916,0.3956,0.3868,0.44,0.3312,0.2452,0.28,0.2156,0.2808,0.2312,0.154,0.2664,0.2468,0.2088,0.2448
20,0.5464,0.7064,0.7716,0.7116,0.6396,0.7556,0.772,0.7632,0.7908,0.692,0.3764,0.3472,0.4324,0.3748,0.37,0.8388,0.2036,0.2172,0.1964,0.1484
21,0.5576,0.704,0.7756,0.736,0.632,0.7704,0.7724,0.7528,0.7976,0.7192,0.3852,0.3644,0.4672,0.3828,0.3528,0.8484,0.8408,0.22,0.198,0.1548
22,0.5516,0.7332,0.792,0.7128,0.622,0.7628,0.752,0.7628,0.786,0.7144,0.382,0.3868,0.484,0.3912,0.3248,0.8172,0.79,0.8588,0.2028,0.144
23,0.5444,0.6716,0.7732,0.7276,0.6396,0.7716,0.742,0.7756,0.7844,0.6832,0.3852,0.3596,0.4896,0.3856,0.3144,0.798,0.7724,0.8164,0.8604,0.1684
24,0.5528,0.7164,0.7856,0.7072,0.638,0.7732,0.7432,0.7904,0.7876,0.7176,0.3864,0.4036,0.5088,0.3892,0.3376,0.784,0.7564,0.8216,0.8584,0.892
