,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6844,0.1608,0.1384,0.22,0.2328,0.228,0.2396,0.156,0.2276,0.1936,0.2012,0.168,0.186,0.1996,0.2488,0.23,0.2136,0.2008,0.236,0.2288
1,0.5928,0.7504,0.1828,0.226,0.2116,0.2804,0.1712,0.198,0.192,0.1892,0.0892,0.1812,0.1928,0.1932,0.1508,0.1504,0.1268,0.1804,0.2304,0.1784
2,0.47,0.5164,0.8708,0.114,0.2788,0.2052,0.2368,0.1812,0.2872,0.2008,0.1304,0.1768,0.1728,0.2028,0.1808,0.2572,0.1624,0.1868,0.242,0.1876
3,0.5016,0.5744,0.672,0.8144,0.2724,0.2088,0.2328,0.1972,0.2592,0.1932,0.1464,0.1704,0.1796,0.1992,0.1108,0.1968,0.188,0.1804,0.2316,0.1712
4,0.492,0.5284,0.6232,0.6968,0.8852,0.222,0.1852,0.1976,0.214,0.1952,0.1532,0.1952,0.1792,0.2112,0.1328,0.1968,0.1776,0.1876,0.2328,0.1884
5,0.4888,0.4552,0.5896,0.5984,0.6864,0.884,0.2588,0.1932,0.1764,0.1948,0.1024,0.208,0.1824,0.1852,0.1272,0.1852,0.1976,0.1908,0.2716,0.1916
6,0.4952,0.4712,0.6228,0.5392,0.6596,0.7888,0.9132,0.186,0.3016,0.2192,0.1992,0.2036,0.1624,0.1944,0.1952,0.174,0.2732,0.1764,0.2928,0.1776
7,0.5404,0.47,0.6928,0.5436,0.6516,0.6664,0.734,0.9156,0.2256,0.1964,0.1912,0.208,0.2048,0.2168,0.1844,0.2276,0.1848,0.1084,0.262,0.216
8,0.4948,0.4812,0.6556,0.5344,0.62,0.6416,0.6564,0.7924,0.932,0.192,0.198,0.2168,0.1908,0.206,0.1688,0.2316,0.204,0.1612,0.2672,0.2036
9,0.4828,0.4628,0.638,0.5588,0.5632,0.612,0.6296,0.7128,0.8136,0.816,0.1744,0.2148,0.2148,0.2164,0.16,0.2216,0.1952,0.1352,0.2492,0.1748
10,0.5396,0.4796,0.65,0.5744,0.6132,0.5996,0.6352,0.7012,0.8248,0.7912,0.9892,0.2244,0.19,0.282,0.1496,0.2432,0.2168,0.1236,0.2944,0.1436
11,0.516,0.47,0.648,0.5316,0.5664,0.5936,0.5892,0.6508,0.7676,0.6332,0.9188,0.9176,0.176,0.2516,0.1472,0.3128,0.1844,0.166,0.2656,0.1584
12,0.51,0.4392,0.6312,0.4856,0.548,0.5892,0.4988,0.6444,0.7216,0.5636,0.8556,0.8132,0.9276,0.2312,0.1496,0.2528,0.2124,0.158,0.2092,0.2212
13,0.5436,0.5072,0.6536,0.4972,0.5456,0.5428,0.5308,0.6552,0.734,0.5528,0.886,0.7792,0.8068,0.9532,0.1664,0.2552,0.2116,0.1176,0.2884,0.1856
14,0.5516,0.4964,0.616,0.5152,0.5832,0.5348,0.542,0.6352,0.7256,0.5008,0.8668,0.6696,0.7252,0.7908,0.9536,0.2796,0.2076,0.1332,0.2244,0.1952
15,0.52,0.486,0.6088,0.5124,0.5564,0.5172,0.5428,0.6296,0.7244,0.5092,0.874,0.6768,0.6908,0.8164,0.2136,0.2752,0.2156,0.1336,0.2356,0.1916
16,0.4996,0.49,0.574,0.5076,0.5376,0.4788,0.5004,0.6028,0.7236,0.516,0.8616,0.6644,0.658,0.2624,0.208,0.258,0.2092,0.1376,0.2272,0.1836
17,0.5552,0.462,0.6208,0.5092,0.5756,0.5356,0.5588,0.638,0.7232,0.5028,0.8492,0.6624,0.2856,0.3948,0.2404,0.2816,0.2016,0.1276,0.2264,0.198
18,0.5216,0.4792,0.614,0.4916,0.5412,0.504,0.538,0.6164,0.7244,0.504,0.8672,0.2156,0.2676,0.3136,0.21,0.2632,0.2132,0.134,0.2368,0.1904
19,0.5136,0.5,0.6236,0.4764,0.554,0.5064,0.5508,0.6172,0.728,0.5096,0.6024,0.2136,0.2448,0.3268,0.2204,0.27,0.1976,0.13,0.2432,0.1852
20,0.5992,0.4852,0.656,0.5188,0.5872,0.538,0.5808,0.666,0.7436,0.5468,0.5468,0.2516,0.2832,0.3324,0.2124,0.7896,0.2,0.1208,0.2184,0.1988
21,0.6036,0.484,0.6408,0.4944,0.5612,0.5604,0.558,0.6612,0.7608,0.4924,0.5868,0.2404,0.2964,0.3876,0.2104,0.7336,0.8496,0.1168,0.22,0.1912
22,0.586,0.4564,0.608,0.5124,0.5616,0.536,0.5436,0.6484,0.7332,0.5088,0.5024,0.2416,0.3304,0.32,0.2252,0.7548,0.8236,0.7568,0.2128,0.196
23,0.5808,0.4784,0.6044,0.5216,0.566,0.5168,0.5444,0.6576,0.7344,0.522,0.458,0.2484,0.2852,0.33,0.2156,0.7364,0.832,0.6588,0.7416,0.1912
24,0.602,0.4752,0.6148,0.512,0.5664,0.5088,0.5432,0.6496,0.7376,0.4908,0.4584,0.2904,0.3152,0.328,0.2268,0.7468,0.8032,0.6632,0.7164,0.8604
25,0.7548,0.2216,0.1844,0.1976,0.1492,0.1728,0.1964,0.2,0.2228,0.2592,0.2424,0.2496,0.1428,0.1968,0.2248,0.2792,0.1672,0.2152,0.1904,0.19
26,0.6656,0.748,0.1684,0.1572,0.2432,0.1508,0.2024,0.1992,0.214,0.2648,0.3356,0.2224,0.158,0.206,0.1604,0.1396,0.1804,0.2012,0.2224,0.1952
27,0.5812,0.566,0.7664,0.1888,0.1648,0.202,0.1828,0.1984,0.2564,0.1924,0.2424,0.174,0.2232,0.2104,0.1584,0.2,0.158,0.2044,0.2348,0.1948
28,0.5468,0.542,0.5884,0.8736,0.1728,0.192,0.1784,0.2,0.1492,0.2052,0.2044,0.2216,0.2736,0.2072,0.158,0.2588,0.15,0.21,0.208,0.2048
29,0.5256,0.4236,0.524,0.7324,0.8668,0.1696,0.1916,0.1996,0.2176,0.206,0.1532,0.2452,0.254,0.2384,0.21,0.224,0.1588,0.2008,0.2016,0.2172
30,0.5496,0.452,0.5164,0.628,0.7444,0.8412,0.2172,0.2016,0.1792,0.1984,0.1928,0.2316,0.2204,0.2232,0.2356,0.2128,0.1032,0.2248,0.1964,0.2212
31,0.5552,0.482,0.5184,0.62,0.714,0.622,0.9152,0.2016,0.2068,0.1976,0.17,0.2412,0.2144,0.2104,0.1972,0.2,0.1156,0.2112,0.2056,0.23
32,0.5316,0.4948,0.4912,0.6508,0.7056,0.6412,0.822,0.9184,0.184,0.2116,0.2032,0.2704,0.1596,0.2444,0.1784,0.228,0.086,0.2088,0.1816,0.2292
33,0.5288,0.4416,0.4848,0.626,0.6748,0.6208,0.7564,0.804,0.9228,0.27,0.1824,0.2852,0.1516,0.218,0.2032,0.142,0.0976,0.21,0.1824,0.224
34,0.4804,0.41,0.4532,0.5852,0.6212,0.512,0.7448,0.7332,0.7808,0.9208,0.2836,0.2636,0.1632,0.2372,0.1628,0.1604,0.1232,0.2372,0.2164,0.1904
35,0.5604,0.442,0.506,0.588,0.6008,0.576,0.712,0.7044,0.746,0.7768,0.9076,0.2696,0.1796,0.1996,0.2076,0.1596,0.0888,0.2552,0.2392,0.1924
36,0.5692,0.3928,0.5192,0.6452,0.6144,0.5436,0.6752,0.6848,0.6644,0.6924,0.8144,0.9228,0.1604,0.206,0.2588,0.1956,0.0888,0.2484,0.1748,0.2064
37,0.5124,0.4304,0.5036,0.6428,0.6316,0.5044,0.658,0.6772,0.6824,0.7008,0.7856,0.8296,0.9452,0.1968,0.2136,0.1524,0.1408,0.3316,0.216,0.2128
38,0.5696,0.434,0.5524,0.6188,0.6192,0.508,0.6892,0.6252,0.6008,0.6048,0.718,0.7916,0.8356,0.8784,0.182,0.1736,0.1516,0.2764,0.1896,0.216
39,0.5548,0.4512,0.5188,0.6524,0.6408,0.5152,0.6672,0.6388,0.6792,0.6036,0.7308,0.74,0.7892,0.7372,0.9324,0.1656,0.1428,0.2456,0.2544,0.2188
40,0.5404,0.4892,0.5324,0.6584,0.6244,0.5068,0.676,0.6368,0.6652,0.5896,0.7192,0.7224,0.7836,0.7476,0.2916,0.1632,0.146,0.2432,0.2624,0.214
41,0.5784,0.4416,0.5496,0.6384,0.6396,0.5052,0.6676,0.6332,0.6584,0.6328,0.7256,0.7588,0.782,0.2392,0.3812,0.164,0.1712,0.2516,0.2676,0.2316
42,0.5492,0.4696,0.5252,0.6472,0.6232,0.5008,0.6752,0.6344,0.6688,0.5988,0.7116,0.7252,0.3704,0.2708,0.3328,0.1744,0.1516,0.236,0.2608,0.2124
