,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.46,0.178,0.202,0.198,0.202,0.238,0.152,0.208,0.246,0.138,0.172,0.242,0.2,0.154,0.176,0.202,0.222,0.222,0.196,0.226
1,0.562,0.64,0.184,0.184,0.136,0.18,0.184,0.214,0.206,0.18,0.194,0.23,0.202,0.202,0.138,0.176,0.206,0.226,0.158,0.138
2,0.54,0.618,0.622,0.2,0.184,0.226,0.168,0.218,0.146,0.176,0.168,0.248,0.198,0.162,0.14,0.204,0.184,0.22,0.188,0.194
3,0.538,0.58,0.662,0.68,0.228,0.314,0.19,0.186,0.158,0.178,0.198,0.148,0.204,0.192,0.178,0.192,0.204,0.208,0.194,0.192
4,0.612,0.58,0.686,0.682,0.764,0.258,0.166,0.19,0.148,0.162,0.204,0.2,0.216,0.204,0.186,0.202,0.16,0.254,0.188,0.174
5,0.538,0.594,0.646,0.596,0.708,0.644,0.168,0.194,0.072,0.18,0.17,0.174,0.196,0.226,0.244,0.226,0.18,0.26,0.176,0.256
6,0.612,0.604,0.692,0.634,0.74,0.698,0.692,0.196,0.108,0.164,0.188,0.2,0.198,0.134,0.192,0.21,0.232,0.192,0.208,0.184
7,0.558,0.586,0.624,0.578,0.698,0.658,0.634,0.646,0.116,0.144,0.186,0.2,0.176,0.2,0.208,0.202,0.17,0.232,0.204,0.164
8,0.582,0.58,0.638,0.562,0.718,0.584,0.57,0.642,0.808,0.15,0.216,0.18,0.188,0.226,0.174,0.2,0.16,0.17,0.194,0.184
9,0.594,0.62,0.624,0.59,0.704,0.614,0.588,0.64,0.74,0.742,0.2,0.17,0.202,0.2,0.182,0.174,0.166,0.206,0.186,0.158
10,0.554,0.582,0.614,0.582,0.666,0.616,0.572,0.644,0.754,0.74,0.748,0.144,0.19,0.23,0.198,0.198,0.24,0.14,0.202,0.222
11,0.548,0.578,0.658,0.578,0.66,0.61,0.536,0.636,0.728,0.682,0.698,0.736,0.21,0.218,0.13,0.176,0.24,0.152,0.196,0.218
12,0.62,0.562,0.652,0.616,0.704,0.62,0.59,0.628,0.71,0.692,0.646,0.672,0.614,0.22,0.136,0.19,0.21,0.2,0.21,0.244
13,0.596,0.598,0.694,0.63,0.71,0.656,0.572,0.62,0.75,0.688,0.682,0.688,0.6,0.832,0.154,0.186,0.202,0.182,0.22,0.25
14,0.558,0.6,0.636,0.618,0.7,0.612,0.584,0.606,0.718,0.654,0.64,0.67,0.564,0.78,0.812,0.202,0.174,0.206,0.224,0.206
15,0.6,0.598,0.674,0.61,0.684,0.618,0.588,0.596,0.73,0.656,0.662,0.658,0.592,0.818,0.508,0.21,0.212,0.18,0.21,0.226
16,0.562,0.608,0.664,0.624,0.71,0.626,0.578,0.618,0.67,0.644,0.628,0.628,0.576,0.7,0.478,0.204,0.172,0.208,0.154,0.206
17,0.586,0.582,0.672,0.604,0.694,0.656,0.584,0.604,0.698,0.658,0.632,0.636,0.462,0.606,0.478,0.2,0.196,0.148,0.206,0.236
18,0.544,0.598,0.674,0.568,0.714,0.622,0.528,0.616,0.718,0.65,0.642,0.574,0.428,0.572,0.362,0.212,0.244,0.152,0.184,0.26
19,0.582,0.598,0.66,0.6,0.706,0.618,0.582,0.612,0.716,0.63,0.57,0.532,0.402,0.526,0.266,0.214,0.24,0.202,0.18,0.214
20,0.576,0.598,0.642,0.602,0.692,0.64,0.538,0.606,0.664,0.608,0.608,0.522,0.404,0.534,0.3,0.578,0.256,0.218,0.142,0.172
