,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6192,0.1188,0.2076,0.218,0.2432,0.1752,0.2248,0.2108,0.2196,0.1636,0.1972,0.2388,0.1852,0.19,0.2068,0.2016,0.2224,0.1792,0.2108,0.2028
1,0.644,0.8096,0.234,0.1948,0.2816,0.0984,0.2416,0.234,0.2148,0.152,0.1572,0.188,0.198,0.208,0.2804,0.1916,0.2424,0.1788,0.2088,0.2012
2,0.5932,0.8068,0.8788,0.2312,0.1808,0.1308,0.2432,0.2352,0.2492,0.1748,0.152,0.1504,0.1932,0.2084,0.1912,0.2036,0.3236,0.1744,0.1912,0.18
3,0.6028,0.6264,0.6324,0.6436,0.1872,0.152,0.2592,0.2008,0.192,0.156,0.1664,0.1592,0.196,0.2288,0.2888,0.214,0.2364,0.166,0.1856,0.2068
4,0.6284,0.7716,0.7356,0.6904,0.9204,0.1428,0.2812,0.2052,0.1908,0.1444,0.1848,0.1816,0.208,0.2128,0.2936,0.2036,0.2908,0.1716,0.1848,0.1892
5,0.6232,0.7796,0.7176,0.6628,0.8884,0.8836,0.2344,0.172,0.1884,0.1912,0.1712,0.1708,0.1972,0.2144,0.286,0.1916,0.2604,0.1856,0.1716,0.1688
6,0.6116,0.778,0.696,0.6228,0.82,0.8088,0.9372,0.1752,0.1496,0.208,0.1568,0.1312,0.2012,0.1632,0.2312,0.1992,0.2248,0.1688,0.1932,0.192
7,0.6036,0.7956,0.7144,0.5864,0.8236,0.7528,0.8312,0.8368,0.2276,0.1728,0.1984,0.1524,0.1976,0.1964,0.2784,0.216,0.27,0.1732,0.14,0.178
8,0.6344,0.7932,0.728,0.5932,0.8156,0.732,0.8136,0.864,0.9528,0.1764,0.164,0.1536,0.1884,0.2316,0.262,0.2152,0.2324,0.1856,0.1484,0.1168
9,0.6508,0.7488,0.6812,0.5872,0.808,0.7076,0.7924,0.7912,0.8708,0.9444,0.1876,0.1404,0.186,0.2,0.3376,0.1932,0.2396,0.1776,0.1348,0.1484
10,0.1912,0.1012,0.2124,0.1996,0.202,0.2008,0.2,0.1992,0.2,0.2,0.1828,0.2,0.2,0.2,0.2,0.1996,0.1992,0.2,0.2,0.2
11,0.1896,0.2284,0.2256,0.196,0.2056,0.2012,0.2,0.198,0.2,0.2,0.1964,0.1976,0.2,0.2,0.2,0.1872,0.186,0.2,0.2,0.2
12,0.1904,0.2432,0.2208,0.1984,0.2088,0.2256,0.2,0.1816,0.2004,0.2016,0.2,0.1872,0.2,0.2,0.2084,0.1424,0.1608,0.2,0.2,0.2
13,0.2264,0.256,0.128,0.234,0.1676,0.2016,0.2,0.1936,0.1196,0.1992,0.2,0.2108,0.1664,0.2,0.2016,0.2,0.1792,0.1816,0.1916,0.1992
14,0.2424,0.2828,0.168,0.31,0.2396,0.1908,0.2,0.21,0.1484,0.224,0.22,0.2668,0.1628,0.2,0.208,0.1932,0.1952,0.1724,0.184,0.2
15,0.4748,0.7292,0.6376,0.4956,0.6548,0.2684,0.2,0.406,0.5076,0.3396,0.6176,0.2856,0.1748,0.2,0.2464,0.1956,0.2104,0.1932,0.17,0.194
16,0.4908,0.69,0.598,0.4948,0.6808,0.272,0.2,0.4064,0.5136,0.3328,0.608,0.654,0.1556,0.2,0.2444,0.1992,0.2232,0.196,0.186,0.2036
17,0.494,0.7052,0.6256,0.5096,0.6956,0.3008,0.2,0.4104,0.4996,0.3444,0.6268,0.752,0.6744,0.2,0.2436,0.1972,0.226,0.1936,0.2008,0.2224
18,0.4844,0.746,0.6556,0.5088,0.676,0.3172,0.2,0.464,0.5528,0.3584,0.6496,0.7024,0.6444,0.7884,0.242,0.2008,0.222,0.1916,0.1996,0.224
19,0.5,0.7164,0.626,0.514,0.6356,0.3336,0.2,0.4396,0.5008,0.3632,0.62,0.6952,0.6332,0.7324,0.7064,0.1996,0.2232,0.182,0.1968,0.232
20,0.5212,0.7296,0.6652,0.51,0.7036,0.3468,0.2,0.4664,0.5156,0.3764,0.6508,0.682,0.6192,0.7412,0.6792,0.7268,0.2332,0.1896,0.1968,0.204
21,0.532,0.7204,0.668,0.5136,0.7192,0.3244,0.2,0.4556,0.5592,0.3748,0.632,0.6732,0.6008,0.738,0.6584,0.7116,0.8248,0.1896,0.188,0.1936
22,0.5468,0.7044,0.6008,0.4672,0.7012,0.3316,0.2,0.47,0.5124,0.3704,0.6092,0.6792,0.5752,0.7096,0.6604,0.682,0.7988,0.7904,0.1988,0.194
23,0.5312,0.69,0.6552,0.502,0.7124,0.3072,0.2,0.4796,0.548,0.3792,0.6316,0.6636,0.6184,0.7328,0.636,0.682,0.7828,0.774,0.8164,0.212
24,0.5472,0.7292,0.6144,0.4964,0.6916,0.3296,0.2,0.4856,0.5456,0.3624,0.582,0.6676,0.5796,0.684,0.626,0.6324,0.7704,0.7316,0.858,0.8556
25,0.5784,0.1672,0.1812,0.1432,0.2688,0.1988,0.2796,0.1936,0.1832,0.1752,0.208,0.2084,0.202,0.1748,0.2392,0.2012,0.1756,0.2168,0.2328,0.186
26,0.5104,0.6584,0.1596,0.1312,0.1716,0.2024,0.3068,0.1992,0.1448,0.2192,0.2068,0.1768,0.1336,0.1752,0.1788,0.28,0.1896,0.1756,0.1996,0.164
27,0.5664,0.7076,0.788,0.1948,0.2284,0.2188,0.2492,0.21,0.1488,0.15,0.1528,0.1696,0.1408,0.174,0.3432,0.2272,0.2168,0.1844,0.1976,0.18
28,0.5484,0.6788,0.7436,0.8052,0.1996,0.2572,0.24,0.1904,0.122,0.1984,0.1988,0.1508,0.1284,0.1592,0.25,0.2156,0.2256,0.1892,0.1924,0.1636
29,0.5368,0.6732,0.6728,0.7336,0.9048,0.2604,0.1568,0.22,0.1792,0.1748,0.2536,0.1496,0.1024,0.1324,0.184,0.2248,0.1812,0.1976,0.186,0.1768
