,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.554,0.164,0.23,0.214,0.1,0.204,0.21,0.2,0.152,0.184,0.198,0.222,0.196,0.164,0.21,0.23,0.202,0.194,0.2,0.142
1,0.508,0.626,0.268,0.234,0.164,0.228,0.234,0.2,0.138,0.192,0.188,0.21,0.11,0.18,0.196,0.144,0.212,0.23,0.228,0.2
2,0.552,0.468,0.736,0.272,0.156,0.2,0.054,0.2,0.202,0.176,0.198,0.238,0.16,0.166,0.184,0.224,0.192,0.2,0.242,0.208
3,0.564,0.474,0.684,0.854,0.256,0.298,0.264,0.2,0.124,0.178,0.22,0.23,0.11,0.172,0.216,0.184,0.196,0.256,0.21,0.214
4,0.558,0.498,0.614,0.706,0.69,0.308,0.17,0.204,0.16,0.186,0.244,0.206,0.128,0.214,0.172,0.278,0.158,0.24,0.124,0.198
5,0.58,0.508,0.55,0.684,0.668,0.794,0.126,0.2,0.126,0.206,0.204,0.194,0.106,0.194,0.166,0.176,0.204,0.196,0.186,0.212
6,0.52,0.484,0.6,0.704,0.666,0.718,0.812,0.212,0.166,0.202,0.232,0.17,0.124,0.158,0.274,0.22,0.262,0.216,0.2,0.246
7,0.548,0.476,0.624,0.702,0.646,0.73,0.75,0.752,0.156,0.208,0.236,0.198,0.186,0.156,0.236,0.174,0.194,0.232,0.21,0.19
8,0.56,0.47,0.576,0.63,0.64,0.622,0.71,0.636,0.696,0.206,0.242,0.188,0.138,0.148,0.174,0.22,0.168,0.236,0.224,0.224
9,0.496,0.426,0.62,0.678,0.656,0.636,0.686,0.648,0.59,0.778,0.222,0.178,0.172,0.132,0.17,0.21,0.166,0.19,0.188,0.248
10,0.2,0.212,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
11,0.2,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
12,0.2,0.212,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
13,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
14,0.2,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
15,0.224,0.176,0.182,0.204,0.206,0.25,0.372,0.256,0.186,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
16,0.2,0.2,0.2,0.2,0.2,0.158,0.184,0.116,0.186,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
17,0.2,0.2,0.2,0.2,0.2,0.186,0.24,0.152,0.214,0.2,0.138,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
18,0.2,0.2,0.2,0.2,0.2,0.15,0.214,0.168,0.198,0.2,0.152,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
19,0.2,0.2,0.2,0.2,0.2,0.182,0.192,0.2,0.152,0.2,0.274,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
20,0.2,0.2,0.2,0.2,0.2,0.222,0.23,0.192,0.19,0.2,0.256,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
21,0.2,0.2,0.2,0.2,0.2,0.264,0.162,0.244,0.226,0.2,0.172,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
22,0.2,0.2,0.2,0.2,0.198,0.246,0.202,0.222,0.184,0.2,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
23,0.2,0.2,0.2,0.2,0.2,0.18,0.126,0.218,0.25,0.2,0.114,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
24,0.2,0.2,0.2,0.2,0.2,0.242,0.206,0.218,0.192,0.2,0.214,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
25,0.538,0.202,0.248,0.196,0.214,0.274,0.134,0.184,0.302,0.202,0.19,0.194,0.214,0.152,0.206,0.174,0.2,0.186,0.2,0.186
26,0.46,0.608,0.254,0.154,0.266,0.236,0.138,0.2,0.268,0.202,0.276,0.202,0.166,0.202,0.198,0.2,0.204,0.126,0.198,0.23
27,0.372,0.456,0.762,0.184,0.348,0.268,0.07,0.2,0.354,0.194,0.176,0.128,0.194,0.15,0.182,0.16,0.204,0.138,0.136,0.158
28,0.38,0.512,0.656,0.784,0.196,0.14,0.164,0.198,0.29,0.184,0.22,0.11,0.148,0.194,0.2,0.252,0.208,0.192,0.124,0.186
29,0.306,0.532,0.612,0.65,0.73,0.214,0.14,0.2,0.242,0.22,0.148,0.11,0.206,0.206,0.196,0.174,0.188,0.18,0.108,0.196
30,0.33,0.516,0.568,0.662,0.594,0.856,0.218,0.2,0.394,0.222,0.162,0.13,0.178,0.248,0.188,0.214,0.21,0.126,0.178,0.206
31,0.388,0.47,0.666,0.636,0.578,0.716,0.718,0.2,0.258,0.256,0.178,0.132,0.156,0.204,0.188,0.122,0.232,0.184,0.182,0.202
32,0.374,0.512,0.626,0.612,0.616,0.698,0.576,0.692,0.298,0.256,0.254,0.106,0.192,0.18,0.194,0.084,0.222,0.202,0.218,0.19
33,0.358,0.5,0.686,0.632,0.586,0.682,0.484,0.59,0.764,0.23,0.14,0.124,0.172,0.134,0.176,0.17,0.226,0.154,0.172,0.202
34,0.376,0.454,0.63,0.56,0.546,0.642,0.44,0.494,0.698,0.634,0.168,0.122,0.216,0.19,0.146,0.162,0.222,0.13,0.264,0.21
35,0.384,0.45,0.632,0.532,0.53,0.626,0.406,0.554,0.666,0.3,0.168,0.134,0.186,0.188,0.156,0.128,0.22,0.132,0.27,0.226
36,0.378,0.444,0.662,0.562,0.554,0.642,0.456,0.566,0.306,0.3,0.168,0.116,0.194,0.194,0.14,0.14,0.226,0.12,0.264,0.228
37,0.398,0.446,0.654,0.554,0.5,0.636,0.474,0.23,0.278,0.33,0.17,0.11,0.196,0.202,0.114,0.118,0.218,0.138,0.254,0.226
38,0.38,0.426,0.62,0.538,0.512,0.614,0.246,0.246,0.258,0.284,0.182,0.118,0.204,0.208,0.11,0.13,0.226,0.132,0.256,0.23
39,0.37,0.452,0.608,0.518,0.544,0.22,0.262,0.22,0.286,0.298,0.158,0.142,0.19,0.2,0.152,0.13,0.206,0.148,0.268,0.242
40,0.394,0.474,0.672,0.618,0.546,0.224,0.282,0.234,0.32,0.258,0.754,0.122,0.176,0.152,0.148,0.128,0.216,0.114,0.27,0.22
41,0.372,0.44,0.646,0.55,0.526,0.23,0.288,0.256,0.306,0.214,0.728,0.684,0.214,0.138,0.122,0.148,0.214,0.126,0.3,0.198
42,0.332,0.42,0.626,0.518,0.488,0.22,0.298,0.222,0.294,0.212,0.726,0.654,0.698,0.17,0.148,0.154,0.238,0.174,0.274,0.178
43,0.34,0.434,0.638,0.52,0.518,0.226,0.278,0.22,0.332,0.202,0.74,0.578,0.58,0.792,0.17,0.138,0.214,0.226,0.246,0.2
44,0.366,0.384,0.61,0.55,0.482,0.212,0.316,0.214,0.294,0.202,0.73,0.594,0.618,0.776,0.636,0.136,0.222,0.25,0.272,0.21
45,0.338,0.438,0.628,0.564,0.54,0.238,0.26,0.214,0.296,0.2,0.718,0.586,0.568,0.714,0.598,0.806,0.24,0.212,0.278,0.23
46,0.348,0.444,0.668,0.576,0.506,0.222,0.272,0.218,0.266,0.2,0.722,0.566,0.562,0.746,0.636,0.754,0.762,0.224,0.324,0.234
47,0.376,0.436,0.652,0.538,0.504,0.208,0.288,0.21,0.23,0.2,0.688,0.558,0.546,0.73,0.624,0.744,0.706,0.758,0.314,0.208
48,0.37,0.484,0.626,0.548,0.53,0.214,0.266,0.226,0.258,0.202,0.7,0.552,0.538,0.71,0.598,0.692,0.688,0.68,0.838,0.202
49,0.39,0.466,0.614,0.604,0.532,0.216,0.292,0.218,0.234,0.2,0.728,0.572,0.55,0.7,0.602,0.682,0.654,0.72,0.798,0.752
50,0.7,0.214,0.212,0.2,0.162,0.31,0.116,0.2,0.252,0.202,0.216,0.216,0.242,0.21,0.196,0.15,0.258,0.24,0.216,0.172
51,0.54,0.798,0.202,0.188,0.242,0.202,0.252,0.224,0.19,0.224,0.204,0.228,0.194,0.202,0.276,0.106,0.282,0.222,0.188,0.172
52,0.496,0.626,0.692,0.206,0.218,0.278,0.24,0.216,0.156,0.166,0.268,0.216,0.268,0.168,0.266,0.212,0.198,0.208,0.212,0.148
53,0.446,0.582,0.612,0.706,0.132,0.218,0.24,0.208,0.088,0.188,0.204,0.192,0.262,0.192,0.208,0.194,0.252,0.224,0.21,0.188
54,0.58,0.632,0.582,0.648,0.664,0.288,0.204,0.196,0.158,0.188,0.226,0.212,0.23,0.204,0.214,0.152,0.214,0.218,0.272,0.158
55,0.588,0.602,0.5,0.56,0.56,0.732,0.254,0.198,0.142,0.238,0.186,0.202,0.254,0.218,0.25,0.15,0.22,0.246,0.25,0.18
56,0.484,0.596,0.468,0.538,0.528,0.58,0.728,0.2,0.114,0.284,0.222,0.196,0.322,0.232,0.192,0.142,0.26,0.19,0.234,0.18
57,0.552,0.602,0.444,0.572,0.54,0.558,0.64,0.758,0.162,0.206,0.216,0.202,0.294,0.178,0.194,0.174,0.268,0.198,0.21,0.166
58,0.514,0.556,0.484,0.592,0.5,0.57,0.654,0.658,0.74,0.214,0.204,0.176,0.266,0.226,0.152,0.168,0.282,0.172,0.23,0.182
59,0.556,0.626,0.468,0.598,0.558,0.626,0.664,0.694,0.716,0.842,0.212,0.196,0.29,0.198,0.196,0.188,0.244,0.216,0.248,0.17
60,0.564,0.644,0.452,0.576,0.52,0.614,0.634,0.664,0.684,0.268,0.218,0.196,0.258,0.206,0.204,0.182,0.24,0.222,0.234,0.158
61,0.2,0.204,0.2,0.2,0.2,0.148,0.2,0.174,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
62,0.2,0.204,0.2,0.2,0.2,0.15,0.2,0.176,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
63,0.2,0.204,0.2,0.2,0.2,0.156,0.2,0.176,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
64,0.2,0.202,0.2,0.2,0.2,0.156,0.2,0.174,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
