,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.534,0.306,0.196,0.114,0.2,0.222,0.184,0.2,0.216,0.262,0.128,0.228,0.194,0.16,0.214,0.21,0.204,0.082,0.186,0.162
1,0.546,0.74,0.144,0.154,0.2,0.294,0.302,0.198,0.202,0.22,0.218,0.15,0.2,0.152,0.216,0.172,0.2,0.106,0.112,0.174
2,0.5,0.582,0.75,0.164,0.214,0.228,0.252,0.174,0.188,0.22,0.13,0.192,0.202,0.184,0.198,0.198,0.22,0.158,0.168,0.228
3,0.488,0.576,0.614,0.704,0.2,0.264,0.236,0.18,0.062,0.216,0.164,0.24,0.2,0.18,0.214,0.19,0.14,0.228,0.13,0.202
4,0.482,0.62,0.574,0.668,0.776,0.328,0.262,0.192,0.116,0.246,0.158,0.218,0.226,0.202,0.19,0.2,0.176,0.16,0.16,0.238
5,0.456,0.5,0.534,0.646,0.658,0.626,0.278,0.202,0.092,0.228,0.126,0.21,0.202,0.142,0.206,0.188,0.214,0.122,0.17,0.228
6,0.458,0.558,0.552,0.612,0.66,0.554,0.676,0.144,0.126,0.21,0.138,0.2,0.22,0.134,0.174,0.198,0.176,0.15,0.182,0.208
7,0.43,0.554,0.582,0.552,0.584,0.494,0.702,0.784,0.122,0.246,0.184,0.244,0.198,0.138,0.23,0.194,0.232,0.186,0.19,0.232
8,0.478,0.494,0.592,0.618,0.572,0.538,0.63,0.732,0.678,0.242,0.186,0.26,0.188,0.202,0.176,0.208,0.286,0.14,0.266,0.272
9,0.484,0.592,0.562,0.652,0.57,0.562,0.692,0.712,0.646,0.854,0.128,0.256,0.204,0.154,0.232,0.202,0.2,0.112,0.18,0.284
10,0.484,0.58,0.552,0.656,0.572,0.58,0.684,0.718,0.638,0.248,0.12,0.266,0.204,0.168,0.204,0.204,0.194,0.12,0.192,0.276
11,0.478,0.574,0.546,0.636,0.568,0.566,0.694,0.714,0.37,0.246,0.094,0.252,0.204,0.162,0.212,0.204,0.19,0.114,0.198,0.282
12,0.476,0.574,0.556,0.644,0.54,0.568,0.672,0.276,0.362,0.282,0.116,0.258,0.204,0.168,0.184,0.214,0.194,0.116,0.184,0.29
13,0.472,0.588,0.552,0.646,0.554,0.552,0.21,0.276,0.344,0.272,0.092,0.276,0.202,0.16,0.198,0.212,0.194,0.112,0.18,0.276
14,0.456,0.55,0.518,0.57,0.56,0.294,0.206,0.25,0.29,0.216,0.11,0.252,0.204,0.162,0.21,0.214,0.214,0.072,0.186,0.298
15,0.476,0.564,0.564,0.72,0.582,0.242,0.21,0.228,0.352,0.204,0.72,0.3,0.196,0.164,0.222,0.2,0.226,0.104,0.186,0.27
16,0.454,0.55,0.6,0.694,0.576,0.224,0.2,0.22,0.374,0.204,0.73,0.648,0.2,0.162,0.236,0.198,0.226,0.102,0.2,0.266
17,0.434,0.546,0.586,0.682,0.6,0.222,0.2,0.21,0.296,0.202,0.734,0.584,0.806,0.18,0.25,0.2,0.25,0.094,0.19,0.306
18,0.482,0.576,0.562,0.678,0.59,0.22,0.2,0.222,0.302,0.2,0.724,0.558,0.756,0.676,0.282,0.204,0.256,0.054,0.218,0.326
19,0.486,0.56,0.63,0.678,0.612,0.236,0.2,0.206,0.262,0.2,0.706,0.592,0.77,0.612,0.77,0.21,0.228,0.086,0.194,0.312
20,0.51,0.594,0.618,0.626,0.608,0.238,0.2,0.206,0.264,0.2,0.716,0.562,0.734,0.594,0.716,0.644,0.242,0.094,0.206,0.338
21,0.48,0.64,0.594,0.632,0.596,0.238,0.2,0.204,0.292,0.2,0.75,0.568,0.718,0.6,0.708,0.598,0.664,0.074,0.254,0.334
22,0.486,0.606,0.604,0.654,0.542,0.254,0.2,0.2,0.226,0.2,0.698,0.562,0.744,0.566,0.72,0.6,0.634,0.896,0.228,0.304
23,0.49,0.53,0.618,0.7,0.604,0.242,0.2,0.2,0.266,0.2,0.7,0.536,0.752,0.572,0.73,0.59,0.6,0.84,0.762,0.286
