,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7492,0.1908,0.2016,0.2032,0.1992,0.234,0.1864,0.22,0.204,0.1932,0.2028,0.1944,0.1936,0.2016,0.218,0.25,0.206,0.2172,0.2356,0.2264
1,0.7492,0.7352,0.1584,0.2032,0.1976,0.2596,0.2652,0.1564,0.2588,0.192,0.1652,0.1624,0.1524,0.1856,0.1936,0.1744,0.106,0.2496,0.1864,0.2072
2,0.7676,0.7368,0.8712,0.2008,0.206,0.2388,0.1332,0.2488,0.2824,0.1936,0.206,0.1744,0.218,0.1312,0.1784,0.198,0.1864,0.2212,0.2148,0.2076
3,0.7376,0.75,0.836,0.8296,0.1884,0.214,0.1604,0.1892,0.2628,0.1856,0.2172,0.168,0.2548,0.2132,0.1916,0.2076,0.1196,0.2592,0.2052,0.1876
4,0.7688,0.7044,0.8024,0.8532,0.9056,0.2172,0.198,0.2128,0.2312,0.2332,0.1968,0.1656,0.2556,0.1544,0.2044,0.1712,0.2312,0.1996,0.198,0.1976
5,0.7404,0.698,0.784,0.7996,0.854,0.8656,0.216,0.2084,0.2276,0.2112,0.1884,0.1656,0.236,0.1728,0.1964,0.1772,0.1556,0.2484,0.2288,0.2112
6,0.7788,0.7088,0.776,0.7924,0.832,0.8676,0.9368,0.2096,0.2796,0.1872,0.1832,0.154,0.318,0.186,0.1948,0.1936,0.1512,0.234,0.2184,0.1972
7,0.7356,0.7148,0.7184,0.8048,0.8236,0.7572,0.8268,0.834,0.24,0.2012,0.1772,0.166,0.266,0.1772,0.1676,0.202,0.162,0.1784,0.2092,0.244
8,0.7284,0.6524,0.7292,0.8104,0.7124,0.7892,0.7928,0.692,0.7696,0.21,0.1952,0.1496,0.284,0.2164,0.1844,0.1412,0.2276,0.1976,0.2008,0.208
9,0.7452,0.6972,0.7468,0.8212,0.7896,0.7996,0.8108,0.7472,0.88,0.964,0.1844,0.1824,0.2336,0.18,0.186,0.204,0.2588,0.1804,0.2304,0.2072
10,0.6296,0.6276,0.7516,0.762,0.714,0.5564,0.6256,0.6144,0.7092,0.2448,0.2224,0.2196,0.2884,0.274,0.2068,0.194,0.1904,0.206,0.22,0.2748
11,0.6772,0.6772,0.7636,0.7672,0.7016,0.6252,0.6832,0.6328,0.2776,0.2956,0.2452,0.2092,0.2916,0.2576,0.2056,0.2188,0.1608,0.2184,0.2252,0.2532
12,0.5708,0.5976,0.7224,0.712,0.6144,0.6468,0.6216,0.2668,0.3348,0.3072,0.2432,0.1772,0.2428,0.226,0.2036,0.2228,0.1556,0.2524,0.2204,0.2148
13,0.6136,0.626,0.7388,0.7176,0.6476,0.6352,0.2708,0.2352,0.2448,0.282,0.2688,0.1812,0.2604,0.2336,0.204,0.1864,0.1288,0.2668,0.184,0.2176
14,0.6232,0.5736,0.7216,0.6336,0.6208,0.2484,0.2744,0.3284,0.2232,0.2756,0.2504,0.2028,0.228,0.21,0.2008,0.176,0.1448,0.2604,0.2128,0.242
