,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.608,0.128,0.2488,0.232,0.1816,0.206,0.24,0.2208,0.284,0.1836,0.198,0.2108,0.2,0.1996,0.2452,0.1832,0.1956,0.184,0.1284,0.2
1,0.6324,0.7976,0.258,0.3028,0.2172,0.2536,0.2128,0.2364,0.2132,0.208,0.2336,0.2112,0.2016,0.2,0.2632,0.1888,0.2032,0.318,0.1908,0.2
2,0.4472,0.512,0.7896,0.2476,0.1576,0.2248,0.234,0.2108,0.2772,0.1848,0.1944,0.2048,0.2,0.1976,0.2316,0.2268,0.1552,0.2072,0.1976,0.2176
3,0.5584,0.5952,0.6804,0.9476,0.1128,0.156,0.1524,0.2024,0.326,0.2096,0.1952,0.2284,0.1992,0.1852,0.2104,0.166,0.2052,0.2868,0.1912,0.202
4,0.536,0.5792,0.5756,0.7708,0.944,0.2008,0.2172,0.1684,0.2868,0.24,0.2244,0.2032,0.2016,0.2084,0.1952,0.1848,0.2412,0.3044,0.2388,0.1968
5,0.5364,0.5976,0.5764,0.688,0.7524,0.9036,0.1656,0.1928,0.1892,0.224,0.21,0.2116,0.2368,0.2032,0.1988,0.21,0.198,0.2268,0.1528,0.1952
6,0.5252,0.5248,0.5884,0.6788,0.7616,0.7636,0.97,0.2044,0.2564,0.2416,0.2196,0.196,0.3232,0.2216,0.2304,0.1324,0.2336,0.1632,0.188,0.2128
7,0.5056,0.4908,0.5336,0.6232,0.724,0.6428,0.8164,0.8608,0.218,0.2636,0.2204,0.2356,0.2168,0.2056,0.2836,0.1596,0.1448,0.218,0.2472,0.1664
8,0.4632,0.4748,0.4384,0.5176,0.714,0.6084,0.732,0.814,0.8824,0.2196,0.2296,0.2148,0.2708,0.2336,0.2388,0.1864,0.1744,0.2364,0.1716,0.174
9,0.544,0.4704,0.4828,0.652,0.6464,0.6336,0.776,0.7336,0.8224,0.96,0.2064,0.2976,0.3036,0.2288,0.2324,0.154,0.2044,0.2068,0.2592,0.1056
10,0.568,0.5208,0.4788,0.658,0.7104,0.632,0.8032,0.732,0.8204,0.2564,0.2124,0.2816,0.2916,0.2376,0.2224,0.1616,0.216,0.1948,0.238,0.1028
11,0.5504,0.5464,0.5108,0.6288,0.7256,0.6552,0.8076,0.7636,0.6212,0.2144,0.2136,0.2424,0.2868,0.2064,0.2208,0.1424,0.1956,0.2196,0.2068,0.1116
12,0.5568,0.5708,0.5276,0.6656,0.722,0.6252,0.7952,0.6392,0.562,0.216,0.226,0.2336,0.2628,0.2124,0.2228,0.1404,0.2072,0.25,0.2328,0.1416
13,0.5776,0.5788,0.5616,0.6768,0.69,0.6224,0.6796,0.5704,0.5764,0.204,0.2128,0.2712,0.3136,0.2124,0.2812,0.1516,0.202,0.2808,0.2244,0.1352
14,0.5604,0.55,0.57,0.7044,0.6828,0.5744,0.6684,0.4984,0.4956,0.2004,0.2248,0.2332,0.3004,0.2216,0.2772,0.1612,0.2104,0.2592,0.2292,0.1136
