,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.61,0.102,0.19,0.248,0.232,0.178,0.228,0.192,0.214,0.172,0.198,0.224,0.184,0.198,0.194,0.194,0.224,0.196,0.2,0.202
1,0.638,0.78,0.228,0.186,0.314,0.134,0.244,0.246,0.208,0.158,0.146,0.186,0.206,0.212,0.284,0.182,0.264,0.184,0.202,0.2
2,0.556,0.76,0.768,0.23,0.162,0.126,0.24,0.218,0.25,0.19,0.154,0.14,0.194,0.214,0.188,0.2,0.324,0.18,0.182,0.18
3,0.536,0.61,0.582,0.514,0.17,0.174,0.248,0.216,0.16,0.132,0.166,0.152,0.194,0.234,0.28,0.212,0.224,0.146,0.166,0.188
4,0.574,0.722,0.684,0.574,0.788,0.142,0.28,0.2,0.19,0.15,0.206,0.19,0.206,0.222,0.284,0.202,0.284,0.18,0.174,0.186
5,0.574,0.74,0.686,0.528,0.758,0.672,0.246,0.2,0.166,0.182,0.182,0.184,0.198,0.224,0.262,0.192,0.256,0.182,0.166,0.17
6,0.57,0.752,0.664,0.49,0.75,0.65,0.788,0.182,0.146,0.206,0.172,0.132,0.198,0.16,0.226,0.19,0.224,0.164,0.18,0.176
7,0.542,0.784,0.688,0.514,0.756,0.62,0.732,0.682,0.242,0.15,0.2,0.174,0.198,0.202,0.262,0.214,0.294,0.18,0.136,0.17
8,0.572,0.766,0.696,0.514,0.778,0.606,0.682,0.752,0.768,0.17,0.178,0.17,0.162,0.222,0.258,0.212,0.238,0.184,0.12,0.136
9,0.592,0.722,0.634,0.496,0.758,0.622,0.696,0.668,0.716,0.746,0.2,0.172,0.172,0.204,0.342,0.192,0.232,0.17,0.11,0.144
10,0.202,0.108,0.214,0.202,0.198,0.198,0.2,0.2,0.2,0.2,0.202,0.2,0.2,0.2,0.2,0.202,0.196,0.2,0.2,0.2
11,0.21,0.234,0.22,0.202,0.202,0.202,0.2,0.196,0.2,0.2,0.202,0.196,0.2,0.2,0.2,0.174,0.184,0.2,0.2,0.2
12,0.198,0.24,0.216,0.196,0.188,0.224,0.2,0.188,0.202,0.2,0.2,0.19,0.2,0.2,0.2,0.142,0.166,0.2,0.2,0.2
13,0.214,0.248,0.104,0.232,0.178,0.222,0.2,0.2,0.116,0.2,0.196,0.216,0.17,0.2,0.2,0.2,0.176,0.192,0.174,0.2
14,0.234,0.25,0.16,0.29,0.262,0.186,0.2,0.198,0.156,0.212,0.22,0.286,0.182,0.2,0.208,0.194,0.172,0.184,0.172,0.2
15,0.478,0.684,0.662,0.456,0.644,0.282,0.2,0.38,0.448,0.326,0.584,0.302,0.188,0.2,0.238,0.2,0.204,0.2,0.16,0.192
