,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.676,0.192,0.28,0.226,0.148,0.246,0.192,0.176,0.238,0.258,0.25,0.224,0.154,0.23,0.202,0.188,0.22,0.194,0.15,0.25
1,0.594,0.644,0.158,0.132,0.218,0.246,0.188,0.196,0.098,0.194,0.206,0.17,0.256,0.238,0.17,0.178,0.196,0.172,0.11,0.204
2,0.598,0.532,0.67,0.174,0.194,0.188,0.198,0.25,0.162,0.178,0.238,0.116,0.2,0.198,0.112,0.202,0.21,0.194,0.13,0.286
3,0.578,0.516,0.544,0.8,0.152,0.228,0.2,0.276,0.232,0.156,0.218,0.158,0.286,0.208,0.132,0.194,0.234,0.256,0.16,0.258
4,0.588,0.512,0.484,0.564,0.73,0.238,0.156,0.254,0.242,0.26,0.186,0.166,0.358,0.216,0.184,0.182,0.16,0.188,0.116,0.19
5,0.61,0.51,0.516,0.628,0.598,0.834,0.184,0.312,0.272,0.226,0.152,0.138,0.226,0.156,0.11,0.194,0.242,0.202,0.072,0.182
6,0.582,0.466,0.468,0.592,0.554,0.776,0.802,0.272,0.12,0.324,0.158,0.142,0.196,0.206,0.136,0.228,0.212,0.2,0.118,0.27
7,0.6,0.51,0.526,0.648,0.624,0.748,0.686,0.812,0.148,0.312,0.158,0.218,0.142,0.184,0.066,0.19,0.224,0.192,0.148,0.182
8,0.572,0.488,0.506,0.59,0.59,0.738,0.67,0.678,0.862,0.246,0.182,0.152,0.108,0.182,0.06,0.204,0.24,0.194,0.126,0.18
9,0.552,0.438,0.452,0.538,0.478,0.686,0.648,0.648,0.766,0.624,0.174,0.166,0.164,0.168,0.104,0.178,0.284,0.212,0.09,0.14
10,0.586,0.46,0.43,0.598,0.494,0.696,0.682,0.546,0.744,0.594,0.784,0.14,0.182,0.174,0.11,0.222,0.264,0.206,0.106,0.182
11,0.63,0.486,0.498,0.576,0.528,0.72,0.612,0.602,0.748,0.574,0.716,0.878,0.134,0.232,0.05,0.17,0.26,0.236,0.13,0.188
12,0.638,0.434,0.548,0.546,0.488,0.68,0.558,0.576,0.674,0.526,0.644,0.832,0.844,0.216,0.064,0.21,0.278,0.222,0.158,0.198
13,0.6,0.522,0.532,0.548,0.57,0.69,0.628,0.584,0.686,0.538,0.594,0.754,0.68,0.75,0.056,0.192,0.222,0.246,0.146,0.178
14,0.622,0.452,0.56,0.62,0.538,0.692,0.654,0.576,0.728,0.514,0.582,0.778,0.73,0.656,0.884,0.182,0.224,0.228,0.164,0.258
15,0.608,0.474,0.574,0.618,0.504,0.67,0.59,0.588,0.7,0.472,0.53,0.666,0.662,0.616,0.806,0.588,0.22,0.238,0.206,0.262
16,0.624,0.51,0.554,0.656,0.484,0.742,0.624,0.57,0.722,0.51,0.616,0.658,0.64,0.594,0.768,0.606,0.792,0.22,0.152,0.27
17,0.622,0.496,0.55,0.66,0.524,0.732,0.65,0.586,0.7,0.508,0.566,0.648,0.644,0.586,0.752,0.576,0.72,0.704,0.154,0.262
18,0.614,0.48,0.544,0.662,0.548,0.754,0.64,0.584,0.684,0.49,0.502,0.656,0.614,0.588,0.762,0.56,0.648,0.636,0.784,0.288
19,0.608,0.498,0.556,0.618,0.528,0.734,0.626,0.608,0.7,0.48,0.548,0.652,0.616,0.58,0.756,0.538,0.636,0.596,0.744,0.818
20,0.616,0.49,0.526,0.626,0.544,0.714,0.654,0.606,0.71,0.502,0.542,0.682,0.66,0.59,0.734,0.554,0.652,0.592,0.24,0.794
21,0.23,0.284,0.182,0.2,0.148,0.152,0.124,0.164,0.232,0.21,0.25,0.184,0.202,0.194,0.2,0.212,0.212,0.2,0.2,0.262
22,0.234,0.28,0.19,0.2,0.152,0.152,0.12,0.156,0.238,0.212,0.254,0.184,0.208,0.19,0.202,0.212,0.212,0.2,0.2,0.27
23,0.24,0.28,0.19,0.202,0.152,0.156,0.12,0.16,0.24,0.206,0.248,0.18,0.206,0.196,0.204,0.21,0.212,0.2,0.2,0.27
24,0.23,0.274,0.184,0.202,0.146,0.154,0.116,0.152,0.242,0.21,0.246,0.184,0.196,0.19,0.204,0.216,0.216,0.2,0.2,0.264
25,0.232,0.286,0.182,0.198,0.144,0.152,0.12,0.148,0.24,0.214,0.246,0.184,0.196,0.196,0.21,0.214,0.218,0.2,0.2,0.26
26,0.236,0.282,0.182,0.204,0.144,0.154,0.118,0.15,0.236,0.21,0.254,0.182,0.192,0.192,0.208,0.218,0.216,0.2,0.2,0.256
27,0.236,0.278,0.182,0.206,0.144,0.154,0.124,0.146,0.23,0.206,0.254,0.184,0.194,0.194,0.206,0.218,0.218,0.2,0.2,0.26
28,0.24,0.286,0.186,0.206,0.144,0.158,0.128,0.14,0.232,0.204,0.256,0.188,0.194,0.2,0.204,0.22,0.216,0.2,0.2,0.274
29,0.234,0.286,0.19,0.206,0.142,0.156,0.134,0.15,0.234,0.202,0.262,0.186,0.198,0.194,0.208,0.22,0.22,0.2,0.2,0.27
30,0.236,0.282,0.19,0.206,0.146,0.154,0.138,0.148,0.232,0.206,0.258,0.188,0.198,0.19,0.212,0.222,0.218,0.2,0.2,0.266
31,0.24,0.28,0.19,0.206,0.148,0.152,0.134,0.144,0.236,0.206,0.258,0.186,0.192,0.196,0.21,0.216,0.216,0.2,0.2,0.278
32,0.262,0.258,0.174,0.2,0.156,0.136,0.128,0.146,0.228,0.226,0.258,0.18,0.184,0.202,0.216,0.232,0.224,0.2,0.2,0.304
33,0.258,0.252,0.182,0.2,0.158,0.134,0.13,0.148,0.236,0.222,0.26,0.182,0.184,0.204,0.208,0.234,0.228,0.2,0.2,0.302
34,0.254,0.26,0.174,0.2,0.154,0.136,0.132,0.142,0.24,0.232,0.256,0.18,0.182,0.206,0.212,0.238,0.228,0.2,0.2,0.306
35,0.55,0.3,0.164,0.148,0.198,0.218,0.196,0.178,0.144,0.172,0.22,0.194,0.226,0.194,0.192,0.226,0.22,0.19,0.196,0.124
36,0.528,0.746,0.19,0.242,0.19,0.218,0.208,0.256,0.112,0.134,0.238,0.254,0.206,0.196,0.156,0.154,0.206,0.22,0.204,0.154
37,0.53,0.598,0.726,0.264,0.194,0.23,0.21,0.166,0.112,0.196,0.274,0.204,0.072,0.21,0.09,0.134,0.154,0.156,0.192,0.154
38,0.498,0.568,0.588,0.668,0.202,0.262,0.204,0.196,0.132,0.176,0.212,0.216,0.12,0.196,0.078,0.162,0.202,0.172,0.194,0.174
39,0.528,0.604,0.622,0.56,0.81,0.204,0.178,0.208,0.106,0.126,0.248,0.226,0.144,0.234,0.132,0.16,0.224,0.192,0.212,0.158
40,0.522,0.602,0.57,0.532,0.748,0.64,0.182,0.192,0.088,0.156,0.222,0.264,0.214,0.24,0.126,0.124,0.214,0.202,0.202,0.196
41,0.494,0.558,0.56,0.468,0.658,0.5,0.618,0.214,0.08,0.276,0.266,0.278,0.246,0.258,0.164,0.184,0.144,0.204,0.238,0.17
42,0.53,0.536,0.538,0.532,0.61,0.554,0.542,0.836,0.112,0.214,0.304,0.212,0.192,0.24,0.094,0.158,0.202,0.21,0.202,0.184
43,0.512,0.546,0.58,0.482,0.648,0.502,0.488,0.68,0.698,0.298,0.32,0.204,0.278,0.23,0.232,0.224,0.146,0.252,0.196,0.194
44,0.516,0.578,0.582,0.448,0.654,0.498,0.492,0.65,0.65,0.832,0.258,0.17,0.204,0.198,0.226,0.216,0.178,0.126,0.22,0.14
45,0.5,0.61,0.594,0.528,0.588,0.488,0.494,0.648,0.638,0.738,0.808,0.21,0.266,0.224,0.154,0.216,0.13,0.144,0.186,0.158
46,0.466,0.52,0.55,0.526,0.574,0.49,0.448,0.576,0.588,0.672,0.67,0.734,0.286,0.214,0.16,0.174,0.16,0.116,0.204,0.19
47,0.508,0.636,0.616,0.466,0.65,0.51,0.486,0.614,0.602,0.682,0.564,0.666,0.826,0.192,0.198,0.164,0.19,0.162,0.26,0.192
48,0.502,0.584,0.604,0.55,0.67,0.514,0.516,0.564,0.542,0.682,0.598,0.652,0.688,0.714,0.186,0.156,0.132,0.182,0.216,0.178
49,0.512,0.61,0.534,0.478,0.6,0.486,0.486,0.628,0.526,0.68,0.62,0.602,0.728,0.724,0.8,0.16,0.176,0.224,0.224,0.206
50,0.474,0.574,0.536,0.508,0.61,0.494,0.492,0.594,0.64,0.664,0.634,0.65,0.708,0.612,0.72,0.822,0.138,0.142,0.176,0.154
51,0.53,0.602,0.562,0.542,0.584,0.454,0.454,0.598,0.564,0.668,0.644,0.592,0.66,0.62,0.682,0.762,0.748,0.134,0.172,0.172
52,0.526,0.556,0.598,0.506,0.644,0.448,0.488,0.634,0.532,0.73,0.584,0.588,0.7,0.602,0.692,0.67,0.642,0.804,0.194,0.238
53,0.526,0.6,0.616,0.484,0.612,0.476,0.486,0.584,0.572,0.682,0.672,0.578,0.71,0.63,0.716,0.656,0.658,0.718,0.89,0.186
54,0.522,0.662,0.62,0.548,0.602,0.504,0.474,0.632,0.562,0.654,0.656,0.616,0.704,0.608,0.688,0.608,0.618,0.742,0.832,0.81
55,0.51,0.66,0.616,0.532,0.608,0.5,0.464,0.642,0.546,0.666,0.62,0.596,0.682,0.616,0.7,0.624,0.598,0.732,0.368,0.79
56,0.516,0.652,0.608,0.574,0.616,0.468,0.486,0.626,0.574,0.68,0.652,0.578,0.682,0.622,0.712,0.584,0.592,0.47,0.376,0.8
57,0.526,0.652,0.614,0.54,0.612,0.456,0.48,0.616,0.564,0.68,0.664,0.56,0.688,0.6,0.682,0.618,0.294,0.486,0.384,0.796
58,0.518,0.656,0.614,0.53,0.624,0.486,0.484,0.622,0.576,0.686,0.65,0.584,0.676,0.6,0.708,0.302,0.31,0.47,0.378,0.81
