,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7344,0.1896,0.1996,0.1784,0.2084,0.2004,0.1984,0.2108,0.2392,0.1752,0.2104,0.2224,0.156,0.1176,0.2168,0.198,0.2184,0.166,0.118,0.1164
1,0.5108,0.7092,0.1884,0.158,0.2108,0.1776,0.2032,0.202,0.2244,0.086,0.18,0.2004,0.2424,0.1068,0.2,0.1384,0.23,0.1436,0.1532,0.0704
2,0.5252,0.6152,0.8412,0.1644,0.2168,0.2204,0.2,0.1868,0.222,0.1144,0.2172,0.1628,0.1732,0.2164,0.1976,0.1852,0.2048,0.13,0.158,0.1692
3,0.4652,0.5504,0.6684,0.8016,0.2192,0.2108,0.2124,0.1992,0.2272,0.1492,0.2428,0.1424,0.178,0.2552,0.1964,0.2056,0.2048,0.1668,0.1388,0.156
4,0.396,0.5284,0.486,0.5208,0.84,0.1856,0.1692,0.1936,0.1492,0.0972,0.1784,0.1724,0.1536,0.126,0.196,0.168,0.2244,0.1468,0.1652,0.1264
5,0.4692,0.5176,0.508,0.5008,0.6648,0.776,0.1548,0.16,0.1992,0.1336,0.172,0.2192,0.1572,0.2012,0.198,0.2176,0.216,0.14,0.2508,0.1468
6,0.4492,0.5588,0.5584,0.5072,0.5708,0.5884,0.9252,0.2072,0.1908,0.1336,0.2128,0.192,0.1996,0.182,0.2208,0.2188,0.1976,0.1444,0.1888,0.114
7,0.4412,0.5716,0.6384,0.5092,0.5104,0.5332,0.7924,0.858,0.2396,0.0948,0.1672,0.1452,0.2156,0.1748,0.2168,0.1892,0.2092,0.1104,0.174,0.0872
8,0.432,0.578,0.6076,0.5092,0.5432,0.5256,0.7156,0.7208,0.9292,0.1228,0.2264,0.1852,0.2492,0.172,0.194,0.2588,0.2208,0.1424,0.1152,0.1428
9,0.44,0.5996,0.6036,0.5176,0.5136,0.4896,0.7268,0.69,0.83,0.9744,0.2324,0.216,0.1468,0.1396,0.1936,0.3048,0.1856,0.112,0.108,0.1616
10,0.4728,0.5352,0.5272,0.46,0.522,0.496,0.7176,0.6388,0.7848,0.8636,0.982,0.2208,0.1876,0.1252,0.1776,0.278,0.2156,0.0528,0.0856,0.1044
11,0.432,0.564,0.5844,0.4912,0.4952,0.482,0.7028,0.602,0.7556,0.8008,0.8588,0.9612,0.1744,0.1592,0.1912,0.31,0.2256,0.0948,0.136,0.1816
