,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.652,0.24,0.252,0.2,0.174,0.18,0.308,0.22,0.206,0.148,0.208,0.26,0.206,0.198,0.2,0.26,0.176,0.186,0.14,0.204
1,0.536,0.61,0.196,0.196,0.166,0.168,0.2,0.198,0.198,0.252,0.212,0.186,0.18,0.25,0.198,0.196,0.188,0.202,0.194,0.242
2,0.548,0.664,0.588,0.196,0.142,0.298,0.236,0.19,0.188,0.274,0.196,0.16,0.188,0.264,0.2,0.168,0.178,0.228,0.152,0.252
3,0.596,0.574,0.578,0.684,0.154,0.284,0.172,0.186,0.21,0.274,0.206,0.126,0.184,0.308,0.2,0.154,0.202,0.232,0.158,0.226
4,0.546,0.628,0.58,0.688,0.684,0.244,0.202,0.18,0.204,0.232,0.188,0.138,0.202,0.288,0.196,0.21,0.204,0.206,0.174,0.198
5,0.568,0.614,0.53,0.69,0.662,0.776,0.212,0.164,0.204,0.224,0.202,0.156,0.204,0.326,0.198,0.256,0.212,0.24,0.114,0.21
6,0.518,0.692,0.56,0.664,0.674,0.794,0.798,0.18,0.192,0.214,0.186,0.12,0.208,0.298,0.2,0.216,0.202,0.212,0.132,0.2
7,0.554,0.648,0.576,0.654,0.586,0.736,0.734,0.542,0.2,0.216,0.202,0.14,0.202,0.306,0.2,0.202,0.192,0.232,0.164,0.224
8,0.566,0.67,0.594,0.668,0.664,0.778,0.746,0.576,0.87,0.178,0.172,0.098,0.2,0.284,0.2,0.252,0.198,0.228,0.154,0.218
9,0.568,0.666,0.564,0.626,0.642,0.776,0.738,0.518,0.852,0.81,0.198,0.162,0.216,0.29,0.2,0.308,0.182,0.242,0.202,0.222
10,0.58,0.694,0.572,0.648,0.664,0.728,0.75,0.504,0.83,0.77,0.662,0.102,0.214,0.302,0.2,0.288,0.18,0.248,0.21,0.236
11,0.556,0.71,0.584,0.644,0.646,0.74,0.784,0.518,0.81,0.762,0.688,0.854,0.214,0.3,0.2,0.248,0.198,0.266,0.196,0.182
12,0.558,0.692,0.568,0.656,0.616,0.724,0.752,0.494,0.796,0.756,0.682,0.802,0.716,0.28,0.2,0.266,0.184,0.25,0.206,0.198
13,0.546,0.684,0.566,0.656,0.644,0.736,0.75,0.49,0.804,0.732,0.652,0.788,0.69,0.794,0.198,0.248,0.196,0.29,0.202,0.202
14,0.538,0.676,0.564,0.64,0.644,0.77,0.744,0.526,0.834,0.732,0.662,0.79,0.686,0.788,0.81,0.252,0.218,0.3,0.184,0.178
15,0.494,0.624,0.564,0.586,0.616,0.696,0.686,0.524,0.776,0.64,0.612,0.704,0.65,0.692,0.724,0.724,0.2,0.288,0.208,0.164
16,0.49,0.674,0.564,0.648,0.668,0.73,0.742,0.51,0.806,0.732,0.628,0.766,0.652,0.766,0.718,0.716,0.758,0.282,0.2,0.202
17,0.548,0.68,0.586,0.652,0.652,0.74,0.754,0.54,0.804,0.734,0.654,0.776,0.642,0.754,0.702,0.718,0.706,0.796,0.204,0.204
18,0.532,0.686,0.56,0.654,0.66,0.758,0.76,0.53,0.814,0.772,0.64,0.796,0.662,0.752,0.742,0.686,0.706,0.784,0.84,0.204
19,0.528,0.668,0.536,0.624,0.624,0.754,0.75,0.536,0.796,0.734,0.612,0.774,0.608,0.738,0.682,0.658,0.69,0.726,0.768,0.734
20,0.518,0.666,0.528,0.606,0.62,0.738,0.748,0.506,0.786,0.75,0.608,0.766,0.254,0.72,0.642,0.644,0.7,0.72,0.772,0.74
