,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.664,0.194,0.188,0.196,0.206,0.222,0.16,0.2,0.196,0.168,0.196,0.108,0.208,0.158,0.192,0.228,0.186,0.278,0.202,0.186
1,0.588,0.668,0.172,0.242,0.186,0.262,0.19,0.2,0.234,0.204,0.244,0.154,0.216,0.24,0.206,0.21,0.206,0.214,0.2,0.198
2,0.506,0.564,0.684,0.246,0.176,0.19,0.198,0.2,0.174,0.19,0.206,0.128,0.198,0.276,0.238,0.258,0.254,0.174,0.2,0.222
3,0.496,0.412,0.584,0.73,0.204,0.168,0.2,0.2,0.208,0.194,0.2,0.144,0.184,0.302,0.236,0.256,0.276,0.262,0.2,0.246
4,0.512,0.5,0.514,0.606,0.78,0.11,0.228,0.196,0.22,0.114,0.188,0.16,0.206,0.228,0.196,0.222,0.182,0.276,0.218,0.224
5,0.476,0.506,0.52,0.546,0.706,0.686,0.122,0.186,0.204,0.168,0.218,0.17,0.22,0.286,0.254,0.202,0.236,0.272,0.198,0.262
6,0.476,0.488,0.494,0.54,0.642,0.654,0.78,0.192,0.218,0.168,0.236,0.156,0.212,0.212,0.278,0.162,0.198,0.22,0.21,0.292
7,0.5,0.528,0.486,0.55,0.64,0.634,0.758,0.826,0.224,0.168,0.212,0.202,0.198,0.286,0.278,0.166,0.216,0.256,0.202,0.254
8,0.526,0.516,0.5,0.506,0.54,0.546,0.648,0.752,0.64,0.16,0.21,0.204,0.148,0.33,0.244,0.184,0.234,0.252,0.198,0.312
9,0.496,0.512,0.484,0.476,0.586,0.594,0.652,0.708,0.584,0.8,0.2,0.136,0.16,0.332,0.212,0.174,0.184,0.244,0.212,0.282
10,0.476,0.528,0.55,0.518,0.56,0.582,0.654,0.648,0.566,0.664,0.762,0.186,0.226,0.22,0.218,0.216,0.2,0.198,0.206,0.282
11,0.542,0.58,0.558,0.444,0.44,0.54,0.72,0.676,0.534,0.692,0.668,0.778,0.196,0.258,0.244,0.23,0.21,0.214,0.206,0.262
12,0.492,0.516,0.576,0.544,0.51,0.536,0.68,0.706,0.532,0.62,0.594,0.702,0.594,0.25,0.248,0.19,0.218,0.222,0.18,0.25
13,0.554,0.52,0.542,0.56,0.6,0.618,0.7,0.692,0.556,0.61,0.686,0.71,0.576,0.892,0.226,0.194,0.246,0.304,0.2,0.252
14,0.55,0.552,0.532,0.554,0.606,0.58,0.738,0.684,0.544,0.626,0.642,0.656,0.506,0.842,0.83,0.168,0.224,0.26,0.192,0.272
15,0.524,0.554,0.564,0.506,0.514,0.538,0.654,0.686,0.522,0.574,0.596,0.638,0.528,0.8,0.74,0.744,0.242,0.22,0.224,0.298
16,0.534,0.514,0.562,0.536,0.536,0.612,0.644,0.702,0.516,0.624,0.644,0.634,0.482,0.82,0.718,0.664,0.792,0.242,0.206,0.252
17,0.5,0.55,0.53,0.548,0.552,0.606,0.658,0.7,0.53,0.616,0.566,0.616,0.486,0.834,0.694,0.658,0.748,0.76,0.244,0.258
18,0.592,0.526,0.568,0.528,0.55,0.612,0.69,0.688,0.524,0.596,0.61,0.62,0.498,0.812,0.78,0.654,0.726,0.728,0.842,0.258
19,0.55,0.548,0.576,0.544,0.528,0.592,0.666,0.704,0.554,0.6,0.602,0.53,0.472,0.762,0.714,0.61,0.72,0.64,0.746,0.602
20,0.53,0.516,0.544,0.536,0.548,0.578,0.672,0.696,0.522,0.546,0.608,0.554,0.302,0.768,0.724,0.598,0.68,0.64,0.712,0.614
