,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7272,0.1932,0.2544,0.238,0.1548,0.1908,0.216,0.142,0.166,0.1392,0.1672,0.2404,0.1752,0.402,0.1968,0.1736,0.204,0.1064,0.2656,0.2268
1,0.6152,0.624,0.2432,0.188,0.14,0.1968,0.2036,0.2292,0.2,0.182,0.1748,0.2252,0.2176,0.2632,0.2064,0.2164,0.1756,0.1996,0.262,0.1808
2,0.6952,0.584,0.8096,0.1676,0.1724,0.1452,0.182,0.162,0.174,0.1544,0.26,0.2148,0.1536,0.3472,0.218,0.218,0.176,0.136,0.1908,0.1512
3,0.6216,0.6096,0.7912,0.8268,0.1736,0.1432,0.1964,0.1604,0.2096,0.1288,0.1496,0.19,0.1184,0.292,0.182,0.222,0.1732,0.1172,0.2388,0.1756
4,0.5888,0.5992,0.7296,0.7748,0.7992,0.2028,0.2396,0.1868,0.2176,0.2324,0.2216,0.176,0.1324,0.3136,0.2004,0.2784,0.146,0.1512,0.1732,0.2116
5,0.612,0.5776,0.6912,0.708,0.7656,0.9048,0.214,0.1868,0.2404,0.2192,0.2468,0.1984,0.1308,0.2988,0.1944,0.1976,0.192,0.1312,0.1876,0.2372
6,0.5928,0.6316,0.656,0.6856,0.714,0.8388,0.8676,0.2212,0.2444,0.2052,0.256,0.2,0.1324,0.2872,0.2048,0.3052,0.1592,0.1452,0.1872,0.1688
7,0.6528,0.5972,0.714,0.6972,0.672,0.752,0.874,0.9312,0.2664,0.1952,0.2736,0.176,0.1168,0.2872,0.2032,0.2748,0.1696,0.1628,0.1128,0.2264
8,0.652,0.586,0.67,0.6384,0.642,0.718,0.8132,0.844,0.9096,0.208,0.274,0.1916,0.1764,0.346,0.2112,0.3068,0.1764,0.142,0.148,0.2196
9,0.616,0.6396,0.6652,0.6448,0.67,0.7632,0.7956,0.7984,0.9104,0.9712,0.2828,0.1724,0.1596,0.324,0.202,0.2856,0.15,0.1496,0.2336,0.2016
10,0.634,0.6048,0.6816,0.6616,0.6792,0.76,0.7596,0.8012,0.8456,0.88,0.9288,0.1812,0.1736,0.3164,0.1944,0.3144,0.19,0.1444,0.178,0.2112
11,0.5772,0.618,0.6784,0.682,0.68,0.7896,0.7464,0.7636,0.8204,0.87,0.9016,0.9616,0.1428,0.3028,0.1924,0.2828,0.1772,0.1436,0.1572,0.2104
12,0.546,0.6192,0.6648,0.6424,0.6544,0.7392,0.7348,0.7,0.7956,0.8324,0.83,0.8544,0.8764,0.2892,0.2092,0.2368,0.1744,0.1368,0.1864,0.2288
13,0.5988,0.6324,0.6776,0.6844,0.6368,0.7688,0.7712,0.7616,0.824,0.8412,0.8356,0.8452,0.9048,0.9872,0.216,0.2668,0.1568,0.1464,0.128,0.212
14,0.6028,0.6208,0.696,0.6804,0.6584,0.7196,0.7308,0.7424,0.7984,0.8204,0.8116,0.7724,0.8268,0.914,0.9588,0.2568,0.1656,0.1368,0.1248,0.2224
15,0.6268,0.6444,0.7036,0.7064,0.6604,0.7376,0.758,0.7628,0.82,0.8348,0.8016,0.7672,0.79,0.9284,0.9468,0.9908,0.1376,0.1512,0.18,0.2324
16,0.6124,0.6444,0.696,0.6856,0.6448,0.7392,0.74,0.7248,0.7964,0.8056,0.78,0.7076,0.7588,0.8736,0.8668,0.9492,0.9436,0.1288,0.1588,0.2272
17,0.6108,0.6484,0.6976,0.6896,0.6608,0.7244,0.7416,0.7312,0.7776,0.804,0.76,0.7072,0.7672,0.9052,0.8528,0.9012,0.8964,0.962,0.1424,0.2264
18,0.5908,0.6432,0.6976,0.6736,0.662,0.7496,0.75,0.7348,0.7992,0.8004,0.7704,0.706,0.7412,0.902,0.8224,0.8904,0.8784,0.9304,0.9848,0.2012
19,0.6012,0.6416,0.6796,0.6644,0.6568,0.7372,0.7476,0.7324,0.7908,0.7864,0.7508,0.73,0.7224,0.8856,0.8224,0.882,0.8576,0.8812,0.9236,0.9692
20,0.5808,0.5256,0.5644,0.5856,0.2604,0.6848,0.7112,0.6768,0.6912,0.6936,0.6648,0.6784,0.598,0.8244,0.7372,0.8432,0.7652,0.7632,0.856,0.9004
