,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.698,0.182,0.146,0.166,0.226,0.174,0.17,0.192,0.29,0.2,0.166,0.16,0.282,0.206,0.204,0.108,0.166,0.2,0.196,0.14
1,0.684,0.662,0.126,0.224,0.252,0.188,0.18,0.208,0.324,0.2,0.212,0.154,0.266,0.178,0.22,0.162,0.162,0.214,0.21,0.172
2,0.64,0.608,0.668,0.266,0.248,0.248,0.19,0.246,0.226,0.198,0.196,0.166,0.272,0.154,0.206,0.194,0.218,0.188,0.2,0.194
3,0.594,0.558,0.516,0.648,0.208,0.196,0.156,0.246,0.292,0.204,0.158,0.172,0.248,0.162,0.312,0.16,0.224,0.206,0.19,0.158
4,0.608,0.562,0.516,0.576,0.734,0.266,0.222,0.21,0.254,0.186,0.186,0.154,0.264,0.154,0.222,0.186,0.178,0.18,0.206,0.16
5,0.608,0.522,0.556,0.6,0.676,0.674,0.226,0.188,0.236,0.218,0.158,0.282,0.276,0.132,0.2,0.222,0.238,0.162,0.248,0.14
6,0.59,0.582,0.534,0.524,0.58,0.572,0.756,0.172,0.214,0.208,0.208,0.282,0.192,0.146,0.218,0.174,0.104,0.15,0.22,0.184
7,0.606,0.58,0.558,0.518,0.588,0.568,0.71,0.736,0.228,0.22,0.196,0.196,0.268,0.106,0.22,0.12,0.17,0.172,0.206,0.178
8,0.606,0.622,0.568,0.552,0.578,0.52,0.708,0.696,0.782,0.208,0.208,0.212,0.242,0.154,0.232,0.134,0.182,0.18,0.24,0.21
9,0.61,0.572,0.548,0.544,0.55,0.512,0.606,0.676,0.69,0.662,0.234,0.208,0.238,0.244,0.18,0.152,0.212,0.142,0.212,0.176
10,0.632,0.54,0.526,0.522,0.584,0.546,0.61,0.576,0.628,0.592,0.706,0.202,0.206,0.192,0.194,0.16,0.172,0.204,0.212,0.202
11,0.634,0.552,0.546,0.532,0.568,0.522,0.612,0.564,0.696,0.582,0.666,0.754,0.24,0.134,0.214,0.23,0.14,0.242,0.26,0.188
12,0.586,0.61,0.554,0.572,0.606,0.534,0.652,0.554,0.686,0.588,0.6,0.75,0.8,0.154,0.184,0.162,0.132,0.24,0.228,0.146
13,0.632,0.608,0.564,0.578,0.6,0.554,0.646,0.538,0.644,0.62,0.596,0.704,0.742,0.844,0.216,0.182,0.14,0.196,0.226,0.198
14,0.562,0.61,0.556,0.59,0.618,0.58,0.682,0.568,0.666,0.602,0.578,0.676,0.746,0.812,0.89,0.2,0.104,0.166,0.224,0.194
15,0.612,0.624,0.61,0.586,0.602,0.596,0.662,0.608,0.674,0.586,0.572,0.688,0.714,0.75,0.842,0.836,0.16,0.166,0.26,0.182
16,0.588,0.582,0.562,0.576,0.576,0.556,0.64,0.572,0.696,0.572,0.578,0.658,0.742,0.738,0.814,0.766,0.822,0.122,0.206,0.272
17,0.548,0.622,0.576,0.604,0.57,0.602,0.676,0.576,0.704,0.554,0.564,0.668,0.698,0.772,0.834,0.736,0.752,0.832,0.22,0.198
18,0.614,0.626,0.542,0.56,0.566,0.574,0.604,0.534,0.682,0.576,0.524,0.692,0.706,0.728,0.784,0.686,0.68,0.764,0.584,0.214
19,0.62,0.594,0.586,0.554,0.58,0.612,0.622,0.562,0.658,0.556,0.566,0.662,0.716,0.78,0.802,0.682,0.692,0.764,0.582,0.868
20,0.632,0.582,0.598,0.574,0.58,0.566,0.452,0.562,0.636,0.576,0.55,0.676,0.674,0.75,0.78,0.668,0.692,0.756,0.586,0.838
