,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6472,0.2424,0.1796,0.2484,0.2588,0.1976,0.1792,0.19,0.2248,0.224,0.2004,0.216,0.1956,0.2008,0.2072,0.2496,0.2416,0.2032,0.1748,0.1824
1,0.6408,0.6952,0.198,0.2052,0.2876,0.2056,0.2184,0.2404,0.1508,0.2196,0.2276,0.268,0.172,0.2112,0.27,0.2216,0.1764,0.1732,0.2092,0.2212
2,0.5172,0.586,0.8156,0.1736,0.2024,0.1696,0.2288,0.2188,0.194,0.2088,0.202,0.2412,0.1684,0.1836,0.2708,0.2516,0.1972,0.0876,0.15,0.1452
3,0.5344,0.4876,0.6136,0.7528,0.2276,0.1644,0.2264,0.2148,0.24,0.2876,0.218,0.2644,0.1704,0.1952,0.3036,0.1424,0.1556,0.1572,0.1972,0.1432
4,0.5872,0.5468,0.704,0.7992,0.8864,0.1508,0.2096,0.216,0.3,0.2056,0.1628,0.248,0.1396,0.2032,0.276,0.1844,0.1988,0.0712,0.1532,0.1664
5,0.5616,0.5568,0.6584,0.7264,0.7908,0.926,0.1988,0.258,0.2552,0.2388,0.2024,0.2592,0.1344,0.1832,0.3376,0.1512,0.1752,0.0436,0.1784,0.1572
6,0.588,0.5576,0.6652,0.7268,0.7488,0.8136,0.8704,0.2376,0.264,0.2172,0.2048,0.264,0.1568,0.1728,0.3036,0.1556,0.1532,0.1256,0.1776,0.1484
7,0.6136,0.5684,0.6712,0.7336,0.752,0.7852,0.8252,0.9716,0.234,0.2216,0.1924,0.258,0.1588,0.1676,0.3168,0.1828,0.1812,0.07,0.194,0.1388
8,0.6244,0.5592,0.6752,0.7288,0.7108,0.7488,0.762,0.8784,0.9172,0.1912,0.2036,0.302,0.19,0.1584,0.3632,0.1504,0.1728,0.0508,0.2316,0.1172
9,0.5884,0.554,0.696,0.7304,0.6904,0.7404,0.7632,0.8648,0.8888,0.9868,0.1916,0.292,0.1464,0.1888,0.3388,0.1384,0.1484,0.1008,0.1936,0.1484
10,0.6032,0.5416,0.6784,0.7268,0.6884,0.728,0.734,0.8212,0.888,0.2632,0.208,0.2904,0.1484,0.1812,0.3184,0.1408,0.1872,0.0892,0.2116,0.1188
11,0.5236,0.4856,0.5912,0.5964,0.5992,0.596,0.6348,0.6864,0.332,0.2344,0.168,0.216,0.1552,0.1956,0.326,0.1836,0.1344,0.1212,0.168,0.1092
12,0.5504,0.512,0.6292,0.6524,0.66,0.6368,0.7064,0.23,0.348,0.21,0.174,0.1904,0.1712,0.1868,0.3204,0.1612,0.1276,0.0788,0.1752,0.0928
13,0.5424,0.5224,0.6468,0.6252,0.5376,0.6604,0.2144,0.2124,0.3456,0.2004,0.1736,0.2308,0.1676,0.1924,0.2452,0.1524,0.1376,0.1148,0.2108,0.1032
14,0.55,0.5168,0.5856,0.5916,0.5972,0.2888,0.2104,0.2112,0.336,0.2004,0.1656,0.2204,0.1768,0.198,0.2768,0.214,0.1228,0.1288,0.1944,0.1396
15,0.6144,0.59,0.6436,0.6908,0.7212,0.3172,0.2612,0.2056,0.3468,0.2048,0.7956,0.2328,0.1468,0.2008,0.3224,0.1384,0.1288,0.1168,0.2288,0.1436
16,0.6204,0.6048,0.664,0.7028,0.724,0.3148,0.28,0.2124,0.3428,0.204,0.7748,0.8532,0.1432,0.1932,0.3392,0.094,0.1304,0.1108,0.2276,0.1136
17,0.6088,0.588,0.6452,0.6992,0.7184,0.2976,0.28,0.2088,0.3528,0.2064,0.7636,0.8492,0.8292,0.1812,0.3592,0.0836,0.1296,0.1084,0.2456,0.1304
18,0.6076,0.586,0.6508,0.7272,0.7172,0.2936,0.3188,0.2284,0.3504,0.214,0.7612,0.836,0.8108,0.6884,0.358,0.0832,0.1116,0.0964,0.2544,0.1332
19,0.5984,0.5472,0.6464,0.6656,0.7164,0.268,0.2564,0.2016,0.3412,0.2184,0.7476,0.8044,0.802,0.6632,0.8284,0.0792,0.1076,0.0856,0.2124,0.1356
20,0.5884,0.5696,0.652,0.6784,0.7092,0.268,0.27,0.2032,0.3396,0.2428,0.7524,0.794,0.7904,0.6344,0.8008,0.9232,0.1228,0.088,0.1856,0.1332
21,0.6068,0.5756,0.648,0.6848,0.6884,0.2924,0.298,0.2048,0.3396,0.2268,0.7388,0.7908,0.7608,0.6188,0.734,0.9084,0.8928,0.0944,0.174,0.1196
22,0.5764,0.548,0.636,0.6464,0.6992,0.2744,0.2452,0.2008,0.32,0.2128,0.7272,0.776,0.7656,0.5876,0.7744,0.9168,0.862,0.9448,0.1988,0.1072
23,0.5904,0.5348,0.6344,0.6624,0.6844,0.2768,0.274,0.202,0.3292,0.2212,0.7336,0.7668,0.7148,0.5864,0.746,0.9004,0.8532,0.9132,0.8968,0.142
24,0.5616,0.55,0.6244,0.6552,0.6768,0.294,0.2496,0.2028,0.346,0.2088,0.7364,0.7584,0.738,0.5868,0.7128,0.882,0.8312,0.9048,0.8856,0.882
25,0.5688,0.5672,0.6668,0.7004,0.72,0.9824,0.2808,0.2076,0.3532,0.2124,0.7216,0.7688,0.7104,0.5812,0.7204,0.8924,0.8348,0.8844,0.8224,0.8448
26,0.596,0.576,0.6676,0.7464,0.7144,0.9132,0.97,0.2032,0.3544,0.2004,0.7108,0.7608,0.7372,0.5908,0.7012,0.878,0.8048,0.8756,0.8072,0.8076
27,0.582,0.566,0.6796,0.732,0.7212,0.8868,0.9168,0.9872,0.3548,0.2044,0.7108,0.786,0.71,0.5912,0.7032,0.876,0.8092,0.8744,0.7968,0.7952
28,0.58,0.5908,0.684,0.746,0.6972,0.8556,0.9176,0.9504,0.98,0.2008,0.7052,0.7848,0.712,0.5908,0.7112,0.8568,0.7724,0.8636,0.7692,0.8
29,0.5752,0.5824,0.6776,0.738,0.6924,0.8524,0.8952,0.9516,0.9416,0.9864,0.7116,0.762,0.7108,0.5748,0.7056,0.8544,0.7736,0.8688,0.77,0.78
30,0.7992,0.1956,0.2024,0.2224,0.1916,0.3284,0.2476,0.2716,0.2148,0.1912,0.2464,0.2088,0.1948,0.2968,0.2216,0.1768,0.2388,0.2584,0.2412,0.2448
