,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.738,0.202,0.224,0.22,0.068,0.206,0.164,0.198,0.212,0.158,0.16,0.216,0.19,0.23,0.194,0.186,0.186,0.25,0.254,0.208
1,0.566,0.708,0.294,0.21,0.164,0.2,0.212,0.248,0.23,0.124,0.196,0.228,0.214,0.204,0.16,0.094,0.21,0.106,0.16,0.198
2,0.52,0.572,0.664,0.194,0.124,0.18,0.182,0.272,0.192,0.158,0.168,0.2,0.2,0.214,0.168,0.178,0.186,0.164,0.19,0.2
3,0.536,0.558,0.492,0.726,0.182,0.2,0.22,0.278,0.212,0.16,0.174,0.15,0.212,0.224,0.172,0.12,0.178,0.168,0.148,0.2
4,0.542,0.548,0.516,0.468,0.83,0.214,0.242,0.256,0.186,0.158,0.116,0.14,0.17,0.206,0.226,0.144,0.132,0.282,0.166,0.22
5,0.502,0.514,0.542,0.564,0.666,0.704,0.252,0.262,0.232,0.142,0.116,0.172,0.204,0.192,0.222,0.1,0.176,0.222,0.142,0.196
6,0.508,0.522,0.486,0.614,0.618,0.682,0.808,0.248,0.278,0.176,0.116,0.178,0.266,0.19,0.188,0.156,0.186,0.132,0.16,0.196
7,0.526,0.554,0.502,0.524,0.61,0.676,0.66,0.73,0.268,0.114,0.082,0.184,0.21,0.19,0.128,0.208,0.228,0.198,0.16,0.198
8,0.544,0.552,0.516,0.592,0.616,0.602,0.582,0.654,0.846,0.108,0.12,0.17,0.27,0.278,0.198,0.192,0.264,0.144,0.158,0.188
9,0.538,0.568,0.544,0.568,0.56,0.648,0.682,0.622,0.698,0.81,0.156,0.134,0.246,0.214,0.172,0.134,0.236,0.148,0.19,0.176
10,0.564,0.62,0.532,0.578,0.622,0.636,0.656,0.664,0.708,0.574,0.19,0.136,0.254,0.22,0.162,0.158,0.238,0.15,0.188,0.2
11,0.526,0.572,0.508,0.592,0.66,0.626,0.646,0.654,0.666,0.602,0.15,0.168,0.244,0.224,0.174,0.144,0.228,0.16,0.176,0.198
12,0.528,0.524,0.534,0.592,0.594,0.584,0.638,0.26,0.578,0.516,0.158,0.146,0.244,0.238,0.176,0.118,0.222,0.146,0.208,0.202
13,0.528,0.506,0.49,0.57,0.602,0.57,0.534,0.274,0.54,0.49,0.204,0.126,0.246,0.222,0.182,0.144,0.19,0.128,0.134,0.192
14,0.544,0.592,0.572,0.57,0.56,0.42,0.464,0.27,0.514,0.502,0.194,0.148,0.268,0.202,0.152,0.144,0.21,0.12,0.16,0.196
15,0.524,0.546,0.534,0.66,0.616,0.392,0.446,0.254,0.51,0.524,0.682,0.118,0.304,0.224,0.186,0.098,0.202,0.11,0.156,0.19
16,0.48,0.548,0.548,0.65,0.598,0.37,0.442,0.254,0.464,0.51,0.666,0.726,0.32,0.18,0.156,0.072,0.186,0.116,0.162,0.188
17,0.516,0.59,0.568,0.65,0.6,0.362,0.414,0.236,0.45,0.478,0.646,0.672,0.85,0.178,0.162,0.082,0.158,0.124,0.188,0.186
18,0.486,0.542,0.536,0.654,0.614,0.334,0.39,0.258,0.524,0.492,0.67,0.7,0.822,0.804,0.202,0.102,0.17,0.106,0.146,0.184
19,0.476,0.518,0.52,0.588,0.576,0.33,0.39,0.26,0.49,0.51,0.666,0.694,0.824,0.672,0.64,0.112,0.204,0.158,0.178,0.228
20,0.438,0.522,0.502,0.584,0.636,0.32,0.49,0.25,0.468,0.44,0.628,0.68,0.756,0.694,0.596,0.816,0.184,0.15,0.156,0.212
21,0.418,0.542,0.466,0.606,0.594,0.32,0.458,0.25,0.518,0.45,0.62,0.684,0.764,0.636,0.586,0.774,0.722,0.148,0.208,0.202
22,0.494,0.508,0.456,0.638,0.612,0.34,0.47,0.25,0.482,0.424,0.626,0.652,0.76,0.646,0.472,0.778,0.682,0.718,0.24,0.188
23,0.478,0.498,0.474,0.616,0.57,0.364,0.508,0.288,0.51,0.446,0.634,0.65,0.756,0.612,0.546,0.784,0.694,0.704,0.802,0.2
24,0.472,0.546,0.44,0.636,0.622,0.394,0.498,0.272,0.486,0.428,0.582,0.624,0.73,0.638,0.554,0.756,0.652,0.724,0.788,0.832
25,0.518,0.594,0.478,0.614,0.57,0.774,0.458,0.288,0.496,0.462,0.582,0.65,0.77,0.59,0.53,0.746,0.648,0.708,0.778,0.79
26,0.5,0.562,0.454,0.626,0.594,0.74,0.842,0.278,0.514,0.38,0.606,0.65,0.768,0.618,0.54,0.744,0.668,0.684,0.738,0.768
27,0.532,0.62,0.518,0.612,0.596,0.736,0.768,0.77,0.558,0.46,0.576,0.646,0.73,0.62,0.532,0.718,0.638,0.674,0.776,0.696
28,0.498,0.548,0.454,0.646,0.64,0.698,0.746,0.73,0.848,0.468,0.568,0.646,0.702,0.644,0.53,0.748,0.602,0.652,0.716,0.68
29,0.53,0.598,0.48,0.588,0.584,0.692,0.776,0.72,0.798,0.838,0.56,0.63,0.718,0.604,0.498,0.726,0.588,0.644,0.702,0.668
30,0.794,0.194,0.13,0.184,0.244,0.2,0.19,0.234,0.22,0.2,0.232,0.082,0.242,0.19,0.22,0.206,0.192,0.166,0.254,0.2
31,0.624,0.686,0.084,0.19,0.216,0.202,0.218,0.29,0.17,0.222,0.184,0.118,0.216,0.178,0.188,0.198,0.198,0.3,0.21,0.218
32,0.638,0.65,0.838,0.166,0.236,0.208,0.212,0.21,0.156,0.244,0.216,0.158,0.226,0.2,0.22,0.188,0.226,0.228,0.18,0.24
33,0.662,0.558,0.724,0.566,0.252,0.226,0.19,0.188,0.156,0.186,0.248,0.1,0.192,0.182,0.228,0.208,0.194,0.194,0.202,0.25
34,0.636,0.572,0.614,0.458,0.866,0.24,0.204,0.202,0.082,0.228,0.238,0.122,0.122,0.198,0.23,0.194,0.204,0.26,0.186,0.248
35,0.592,0.526,0.624,0.452,0.68,0.786,0.212,0.2,0.114,0.21,0.28,0.194,0.212,0.198,0.274,0.19,0.208,0.212,0.168,0.268
36,0.666,0.466,0.726,0.422,0.682,0.682,0.754,0.22,0.12,0.21,0.252,0.114,0.22,0.204,0.28,0.202,0.2,0.294,0.154,0.236
37,0.652,0.55,0.69,0.398,0.674,0.692,0.726,0.772,0.232,0.156,0.23,0.186,0.244,0.218,0.318,0.202,0.2,0.25,0.198,0.21
38,0.656,0.57,0.73,0.42,0.63,0.65,0.676,0.75,0.714,0.2,0.23,0.16,0.244,0.194,0.27,0.162,0.244,0.206,0.19,0.2
39,0.632,0.51,0.656,0.406,0.636,0.622,0.612,0.676,0.612,0.722,0.268,0.168,0.162,0.236,0.296,0.162,0.22,0.256,0.176,0.218
40,0.63,0.522,0.748,0.424,0.674,0.626,0.676,0.66,0.636,0.314,0.236,0.144,0.182,0.222,0.256,0.188,0.21,0.262,0.172,0.228
41,0.624,0.564,0.722,0.45,0.704,0.64,0.702,0.668,0.578,0.294,0.224,0.132,0.2,0.25,0.286,0.202,0.234,0.24,0.172,0.204
42,0.662,0.548,0.714,0.446,0.712,0.564,0.598,0.464,0.48,0.27,0.226,0.156,0.216,0.224,0.256,0.19,0.246,0.23,0.176,0.206
43,0.63,0.524,0.674,0.416,0.684,0.58,0.226,0.448,0.47,0.254,0.208,0.168,0.212,0.212,0.254,0.198,0.25,0.246,0.192,0.202
44,0.632,0.498,0.672,0.37,0.688,0.25,0.21,0.458,0.404,0.226,0.236,0.166,0.214,0.212,0.25,0.2,0.234,0.222,0.178,0.202
45,0.64,0.478,0.716,0.416,0.728,0.276,0.22,0.46,0.474,0.224,0.698,0.132,0.226,0.2,0.274,0.202,0.228,0.246,0.192,0.212
46,0.636,0.476,0.674,0.43,0.698,0.3,0.222,0.404,0.486,0.22,0.652,0.652,0.232,0.174,0.242,0.204,0.206,0.28,0.218,0.216
47,0.616,0.544,0.736,0.418,0.722,0.296,0.24,0.398,0.538,0.228,0.666,0.592,0.79,0.186,0.252,0.206,0.254,0.238,0.208,0.218
48,0.638,0.556,0.722,0.408,0.712,0.332,0.262,0.424,0.548,0.228,0.622,0.6,0.73,0.724,0.272,0.204,0.25,0.24,0.196,0.224
49,0.654,0.544,0.768,0.396,0.726,0.386,0.274,0.466,0.622,0.224,0.628,0.6,0.73,0.696,0.706,0.204,0.262,0.216,0.202,0.228
50,0.67,0.518,0.738,0.41,0.684,0.372,0.268,0.444,0.604,0.218,0.654,0.604,0.722,0.7,0.69,0.69,0.26,0.208,0.216,0.222
51,0.636,0.56,0.76,0.426,0.678,0.402,0.332,0.42,0.596,0.252,0.614,0.626,0.726,0.704,0.66,0.628,0.762,0.236,0.206,0.216
52,0.662,0.568,0.784,0.382,0.682,0.402,0.324,0.416,0.594,0.236,0.642,0.622,0.704,0.674,0.646,0.642,0.746,0.744,0.216,0.24
53,0.604,0.54,0.742,0.388,0.648,0.364,0.308,0.43,0.542,0.244,0.638,0.638,0.692,0.686,0.636,0.628,0.718,0.684,0.68,0.246
54,0.624,0.524,0.71,0.412,0.658,0.376,0.29,0.38,0.556,0.238,0.664,0.634,0.678,0.682,0.652,0.616,0.662,0.636,0.664,0.748
55,0.626,0.502,0.698,0.412,0.704,0.822,0.316,0.384,0.546,0.242,0.642,0.65,0.688,0.686,0.638,0.618,0.664,0.664,0.604,0.64
56,0.66,0.552,0.732,0.426,0.678,0.802,0.83,0.414,0.548,0.256,0.65,0.638,0.676,0.664,0.646,0.578,0.676,0.642,0.596,0.6
57,0.674,0.592,0.736,0.426,0.662,0.78,0.802,0.822,0.538,0.242,0.67,0.636,0.658,0.64,0.664,0.576,0.642,0.62,0.564,0.6
58,0.664,0.6,0.722,0.42,0.632,0.758,0.786,0.798,0.792,0.242,0.632,0.622,0.694,0.64,0.676,0.576,0.648,0.628,0.588,0.632
59,0.594,0.568,0.724,0.432,0.648,0.744,0.728,0.776,0.756,0.722,0.606,0.608,0.67,0.62,0.642,0.592,0.606,0.616,0.532,0.612
60,0.63,0.202,0.156,0.206,0.112,0.202,0.182,0.218,0.102,0.128,0.23,0.18,0.174,0.216,0.19,0.184,0.232,0.174,0.19,0.19
61,0.554,0.824,0.154,0.172,0.248,0.2,0.19,0.222,0.184,0.268,0.236,0.21,0.244,0.176,0.166,0.212,0.204,0.184,0.212,0.196
62,0.514,0.642,0.84,0.186,0.094,0.212,0.196,0.198,0.208,0.22,0.254,0.226,0.22,0.174,0.148,0.19,0.2,0.148,0.256,0.188
63,0.542,0.566,0.726,0.628,0.06,0.23,0.152,0.172,0.186,0.116,0.264,0.128,0.186,0.138,0.222,0.194,0.24,0.194,0.222,0.19
64,0.532,0.65,0.744,0.528,0.788,0.248,0.2,0.194,0.176,0.27,0.244,0.246,0.17,0.218,0.21,0.198,0.208,0.208,0.224,0.194
65,0.48,0.584,0.584,0.408,0.614,0.592,0.186,0.284,0.254,0.176,0.214,0.198,0.196,0.212,0.196,0.2,0.206,0.24,0.208,0.194
66,0.536,0.59,0.644,0.534,0.636,0.558,0.858,0.244,0.232,0.158,0.254,0.244,0.228,0.166,0.226,0.204,0.234,0.184,0.23,0.194
67,0.526,0.576,0.604,0.492,0.64,0.472,0.734,0.666,0.21,0.102,0.252,0.188,0.18,0.204,0.164,0.204,0.234,0.25,0.258,0.176
68,0.554,0.606,0.614,0.5,0.672,0.466,0.716,0.55,0.736,0.12,0.254,0.222,0.182,0.202,0.268,0.182,0.248,0.212,0.26,0.188
69,0.528,0.61,0.642,0.458,0.636,0.492,0.658,0.464,0.644,0.79,0.228,0.14,0.182,0.21,0.2,0.204,0.246,0.164,0.288,0.198
70,0.522,0.588,0.67,0.502,0.628,0.498,0.678,0.514,0.624,0.612,0.23,0.176,0.188,0.222,0.236,0.192,0.242,0.184,0.252,0.192
71,0.552,0.59,0.682,0.514,0.652,0.486,0.714,0.514,0.482,0.574,0.228,0.192,0.19,0.226,0.206,0.206,0.234,0.186,0.292,0.194
72,0.564,0.59,0.654,0.5,0.624,0.48,0.696,0.374,0.444,0.558,0.24,0.182,0.176,0.234,0.224,0.208,0.238,0.176,0.266,0.188
73,0.556,0.596,0.636,0.504,0.628,0.508,0.586,0.374,0.464,0.588,0.25,0.176,0.176,0.192,0.224,0.198,0.252,0.144,0.28,0.188
74,0.578,0.596,0.648,0.546,0.642,0.2,0.548,0.378,0.468,0.564,0.248,0.198,0.188,0.202,0.222,0.196,0.258,0.154,0.264,0.188
75,0.584,0.598,0.614,0.542,0.674,0.204,0.552,0.414,0.51,0.596,0.696,0.192,0.16,0.234,0.198,0.21,0.272,0.16,0.256,0.168
76,0.554,0.57,0.61,0.524,0.694,0.204,0.514,0.376,0.448,0.572,0.6,0.786,0.206,0.204,0.168,0.19,0.248,0.14,0.302,0.178
77,0.548,0.586,0.636,0.544,0.722,0.202,0.522,0.4,0.454,0.504,0.598,0.724,0.824,0.212,0.192,0.196,0.24,0.168,0.272,0.174
78,0.586,0.598,0.584,0.528,0.678,0.202,0.568,0.428,0.446,0.516,0.62,0.722,0.784,0.646,0.208,0.196,0.262,0.166,0.258,0.196
79,0.562,0.582,0.626,0.528,0.66,0.202,0.576,0.412,0.466,0.556,0.622,0.746,0.778,0.608,0.804,0.198,0.254,0.178,0.288,0.182
80,0.572,0.6,0.618,0.494,0.644,0.206,0.554,0.394,0.436,0.526,0.61,0.71,0.748,0.578,0.784,0.656,0.256,0.2,0.296,0.186
81,0.548,0.586,0.614,0.508,0.7,0.202,0.612,0.396,0.466,0.532,0.604,0.704,0.776,0.598,0.76,0.6,0.65,0.214,0.294,0.188
82,0.548,0.6,0.63,0.53,0.67,0.202,0.572,0.364,0.416,0.478,0.582,0.722,0.78,0.564,0.716,0.582,0.622,0.782,0.262,0.19
83,0.534,0.622,0.622,0.498,0.658,0.2,0.528,0.382,0.406,0.49,0.582,0.716,0.762,0.582,0.71,0.594,0.594,0.696,0.834,0.192
84,0.532,0.628,0.632,0.496,0.646,0.206,0.528,0.376,0.434,0.462,0.602,0.712,0.746,0.58,0.728,0.566,0.588,0.688,0.812,0.578
85,0.564,0.634,0.62,0.488,0.672,0.662,0.566,0.392,0.414,0.474,0.628,0.708,0.714,0.572,0.73,0.554,0.572,0.668,0.806,0.524
86,0.578,0.624,0.64,0.532,0.682,0.6,0.88,0.4,0.456,0.522,0.636,0.716,0.748,0.588,0.752,0.578,0.622,0.69,0.794,0.512
87,0.596,0.588,0.638,0.504,0.646,0.58,0.854,0.69,0.432,0.48,0.616,0.726,0.744,0.536,0.74,0.564,0.598,0.666,0.746,0.496
88,0.558,0.586,0.65,0.494,0.66,0.574,0.84,0.638,0.778,0.416,0.596,0.704,0.724,0.558,0.74,0.552,0.576,0.654,0.76,0.474
89,0.54,0.598,0.666,0.468,0.674,0.552,0.806,0.6,0.742,0.774,0.576,0.722,0.722,0.558,0.716,0.548,0.564,0.642,0.758,0.464
