,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7812,0.1836,0.2408,0.118,0.2724,0.1188,0.242,0.2012,0.314,0.174,0.1788,0.196,0.2012,0.2308,0.2,0.26,0.2828,0.1896,0.206,0.1108
1,0.7412,0.7696,0.3004,0.124,0.2004,0.1628,0.1804,0.1984,0.2972,0.1912,0.2368,0.1996,0.1752,0.2292,0.1948,0.1864,0.2832,0.1904,0.226,0.1276
2,0.7512,0.74,0.7528,0.1272,0.3484,0.1324,0.1808,0.2028,0.2724,0.166,0.2204,0.1948,0.1924,0.298,0.1976,0.1856,0.2012,0.2292,0.2188,0.1412
3,0.7284,0.7308,0.7396,0.776,0.2704,0.1988,0.1928,0.1932,0.2464,0.2608,0.2252,0.1952,0.1688,0.196,0.1992,0.2328,0.2376,0.2528,0.2364,0.1308
4,0.7216,0.7232,0.6764,0.7232,0.9252,0.1672,0.1804,0.2016,0.2904,0.1536,0.1924,0.194,0.23,0.2488,0.1964,0.206,0.2816,0.2772,0.2092,0.0844
5,0.7432,0.7276,0.6992,0.7048,0.8904,0.9664,0.1536,0.2032,0.3196,0.1664,0.2148,0.1884,0.1792,0.228,0.21,0.1756,0.2672,0.3132,0.204,0.072
6,0.7428,0.6756,0.6708,0.66,0.8144,0.8656,0.804,0.2056,0.2756,0.1524,0.2196,0.1604,0.196,0.2224,0.2032,0.196,0.2316,0.288,0.2108,0.0796
7,0.6952,0.6556,0.6488,0.6324,0.786,0.7904,0.73,0.7096,0.3132,0.2116,0.2332,0.1964,0.1876,0.1984,0.1956,0.178,0.2464,0.2932,0.1752,0.0864
8,0.7256,0.694,0.6524,0.6424,0.808,0.82,0.7296,0.7704,0.9444,0.1736,0.2572,0.1712,0.1844,0.2236,0.1976,0.1392,0.2288,0.2656,0.16,0.1052
9,0.7528,0.6808,0.662,0.6676,0.8104,0.8272,0.7212,0.7184,0.88,0.9072,0.2352,0.1948,0.1748,0.242,0.1956,0.166,0.2032,0.3096,0.1472,0.1292
10,0.75,0.6796,0.6384,0.6468,0.8056,0.8312,0.6992,0.7244,0.8748,0.2652,0.2296,0.1888,0.1828,0.2836,0.1928,0.1696,0.202,0.294,0.1356,0.1128
11,0.752,0.6748,0.6096,0.6136,0.8056,0.788,0.68,0.72,0.2352,0.2376,0.2508,0.1852,0.1828,0.2696,0.1964,0.1808,0.178,0.2936,0.1392,0.13
12,0.7656,0.7112,0.664,0.6296,0.7656,0.7908,0.6936,0.2572,0.2284,0.2424,0.244,0.1792,0.1872,0.2336,0.2148,0.1448,0.2008,0.3004,0.1408,0.1208
13,0.7768,0.6808,0.6516,0.6412,0.7548,0.7836,0.3284,0.236,0.232,0.2212,0.2264,0.1772,0.1824,0.2568,0.2096,0.1476,0.1884,0.3132,0.1396,0.1368
14,0.7592,0.6756,0.638,0.606,0.7056,0.2868,0.3212,0.246,0.2148,0.2104,0.1896,0.158,0.174,0.292,0.2,0.2144,0.2256,0.346,0.1508,0.082
15,0.7592,0.7296,0.6536,0.6192,0.7888,0.2228,0.3272,0.2444,0.2056,0.208,0.838,0.1564,0.1404,0.2,0.1972,0.1656,0.2384,0.2912,0.1532,0.1052
16,0.7496,0.7372,0.6468,0.614,0.7976,0.2192,0.332,0.2432,0.206,0.2028,0.8296,0.7428,0.1316,0.2652,0.192,0.1736,0.23,0.268,0.1404,0.1164
17,0.7612,0.7132,0.6428,0.6028,0.812,0.2136,0.3208,0.232,0.2036,0.2016,0.8004,0.7244,0.8724,0.2792,0.1904,0.178,0.2196,0.2636,0.1532,0.1236
18,0.7624,0.7272,0.6468,0.6016,0.7992,0.2108,0.3296,0.2352,0.204,0.2052,0.7912,0.724,0.8444,0.876,0.192,0.1776,0.2252,0.2664,0.1328,0.122
19,0.7432,0.7188,0.6312,0.5832,0.7808,0.21,0.3312,0.2232,0.2008,0.202,0.7764,0.6972,0.8096,0.8632,0.73,0.198,0.2112,0.2432,0.1368,0.156
20,0.7512,0.718,0.6668,0.658,0.7836,0.9724,0.3132,0.222,0.2,0.2248,0.7536,0.6632,0.7424,0.8444,0.6272,0.1576,0.2232,0.2876,0.1532,0.1412
21,0.7604,0.7208,0.682,0.6712,0.7976,0.9016,0.9692,0.2064,0.2008,0.2124,0.7572,0.6612,0.7592,0.8212,0.6252,0.1792,0.2304,0.284,0.1584,0.1472
22,0.7552,0.7112,0.688,0.6568,0.7996,0.8456,0.9096,0.9604,0.2004,0.214,0.738,0.6532,0.7504,0.8012,0.5908,0.1504,0.2116,0.2624,0.134,0.1812
23,0.7576,0.736,0.6764,0.6672,0.804,0.8628,0.868,0.922,0.9812,0.2084,0.7592,0.6608,0.7488,0.794,0.5864,0.1608,0.2452,0.2556,0.1292,0.1428
24,0.7732,0.7252,0.6712,0.674,0.7804,0.87,0.88,0.9104,0.956,0.9832,0.7608,0.666,0.756,0.7856,0.5852,0.1476,0.252,0.2604,0.1312,0.1492
25,0.7716,0.7244,0.6764,0.6804,0.7868,0.8552,0.862,0.8464,0.9388,0.9664,0.7544,0.6592,0.7284,0.7788,0.5884,0.9052,0.2432,0.25,0.1456,0.156
26,0.7748,0.7408,0.6676,0.6768,0.7896,0.8376,0.8456,0.8208,0.9196,0.9492,0.7496,0.6476,0.744,0.77,0.592,0.8824,0.9216,0.264,0.1524,0.1644
27,0.7908,0.73,0.6852,0.678,0.8048,0.8472,0.8376,0.8048,0.9156,0.9524,0.7608,0.6604,0.7552,0.7804,0.586,0.8792,0.896,0.9408,0.1532,0.1524
28,0.7844,0.7216,0.6744,0.6692,0.7872,0.8476,0.8284,0.7844,0.8828,0.9188,0.7412,0.642,0.7488,0.788,0.6092,0.8632,0.8876,0.912,0.9068,0.1548
29,0.7772,0.7036,0.6656,0.6464,0.812,0.8268,0.7924,0.808,0.8824,0.9188,0.7624,0.656,0.7744,0.7772,0.5856,0.8524,0.8504,0.8952,0.88,0.8272
30,0.5884,0.274,0.1852,0.1548,0.202,0.1872,0.2088,0.2052,0.1432,0.1916,0.2812,0.2244,0.2,0.1708,0.2004,0.1624,0.144,0.24,0.188,0.22
31,0.5712,0.774,0.1808,0.222,0.2476,0.2292,0.234,0.1932,0.1,0.1824,0.3036,0.1768,0.096,0.1912,0.1984,0.2236,0.1864,0.242,0.1528,0.2128
32,0.5676,0.7856,0.7356,0.2136,0.2124,0.224,0.2076,0.188,0.188,0.1916,0.352,0.1688,0.14,0.2224,0.2,0.1744,0.2176,0.2392,0.1736,0.2132
33,0.5768,0.7652,0.6928,0.772,0.2748,0.2068,0.2272,0.2016,0.1608,0.1676,0.2684,0.17,0.1564,0.2024,0.166,0.1712,0.23,0.232,0.2244,0.2496
34,0.5588,0.7168,0.6364,0.6656,0.7924,0.2072,0.2264,0.1456,0.174,0.186,0.278,0.1608,0.1804,0.1992,0.1984,0.154,0.1832,0.2348,0.2268,0.2456
35,0.5312,0.7464,0.626,0.6516,0.7584,0.8244,0.2404,0.172,0.1912,0.1776,0.2652,0.1392,0.1364,0.1996,0.2064,0.1512,0.1852,0.2088,0.2016,0.2616
36,0.5484,0.7676,0.6192,0.6352,0.7512,0.782,0.9484,0.174,0.202,0.1552,0.3696,0.1316,0.1428,0.1952,0.2016,0.168,0.1952,0.234,0.1884,0.1968
37,0.5456,0.6948,0.6072,0.606,0.6892,0.7276,0.8272,0.8324,0.2076,0.1708,0.2824,0.16,0.1628,0.194,0.1992,0.1696,0.1944,0.2924,0.2204,0.216
