,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.664,0.2,0.136,0.266,0.218,0.196,0.236,0.148,0.146,0.238,0.26,0.154,0.238,0.274,0.194,0.192,0.21,0.222,0.198,0.194
1,0.592,0.628,0.156,0.208,0.188,0.188,0.154,0.182,0.2,0.198,0.232,0.25,0.206,0.298,0.174,0.19,0.24,0.176,0.194,0.19
2,0.588,0.618,0.754,0.242,0.284,0.204,0.224,0.172,0.176,0.198,0.26,0.26,0.146,0.28,0.194,0.222,0.126,0.218,0.184,0.208
3,0.58,0.514,0.712,0.65,0.282,0.196,0.184,0.174,0.234,0.194,0.242,0.212,0.184,0.384,0.21,0.164,0.23,0.166,0.194,0.256
4,0.604,0.56,0.726,0.598,0.696,0.206,0.204,0.23,0.13,0.206,0.28,0.226,0.23,0.236,0.196,0.214,0.166,0.208,0.208,0.196
5,0.566,0.624,0.708,0.616,0.658,0.688,0.21,0.226,0.236,0.182,0.274,0.26,0.254,0.31,0.218,0.23,0.152,0.19,0.212,0.274
6,0.546,0.626,0.69,0.586,0.64,0.644,0.688,0.228,0.228,0.266,0.266,0.188,0.242,0.262,0.238,0.254,0.148,0.258,0.2,0.252
7,0.566,0.608,0.698,0.542,0.618,0.628,0.684,0.794,0.242,0.302,0.226,0.212,0.246,0.22,0.234,0.244,0.184,0.224,0.194,0.204
8,0.602,0.646,0.714,0.61,0.626,0.624,0.678,0.732,0.802,0.27,0.232,0.23,0.292,0.27,0.256,0.296,0.164,0.238,0.188,0.246
9,0.558,0.638,0.712,0.578,0.606,0.67,0.638,0.698,0.758,0.706,0.278,0.208,0.236,0.248,0.208,0.266,0.124,0.248,0.196,0.206
10,0.592,0.65,0.71,0.572,0.612,0.702,0.644,0.694,0.75,0.658,0.256,0.21,0.258,0.222,0.2,0.244,0.138,0.262,0.204,0.216
11,0.592,0.646,0.706,0.618,0.614,0.646,0.646,0.7,0.75,0.678,0.27,0.204,0.248,0.238,0.202,0.264,0.16,0.238,0.208,0.208
12,0.56,0.666,0.698,0.554,0.586,0.686,0.638,0.69,0.702,0.642,0.266,0.19,0.186,0.248,0.214,0.274,0.154,0.242,0.206,0.232
13,0.574,0.622,0.706,0.58,0.594,0.678,0.614,0.682,0.764,0.626,0.28,0.196,0.228,0.252,0.216,0.236,0.168,0.262,0.206,0.242
14,0.562,0.654,0.692,0.552,0.594,0.564,0.568,0.678,0.678,0.592,0.266,0.202,0.238,0.258,0.202,0.252,0.162,0.252,0.204,0.25
15,0.624,0.644,0.746,0.62,0.648,0.586,0.548,0.642,0.752,0.622,0.73,0.214,0.244,0.286,0.204,0.242,0.202,0.248,0.214,0.248
16,0.596,0.656,0.736,0.64,0.634,0.586,0.576,0.67,0.748,0.624,0.734,0.714,0.236,0.298,0.254,0.26,0.172,0.244,0.212,0.236
17,0.61,0.642,0.706,0.618,0.598,0.574,0.6,0.662,0.732,0.662,0.714,0.716,0.794,0.286,0.278,0.276,0.178,0.274,0.204,0.236
18,0.62,0.628,0.712,0.622,0.59,0.584,0.552,0.658,0.684,0.64,0.708,0.678,0.76,0.822,0.274,0.27,0.17,0.282,0.216,0.25
19,0.588,0.62,0.692,0.59,0.604,0.56,0.55,0.638,0.694,0.636,0.692,0.698,0.75,0.808,0.802,0.292,0.162,0.266,0.22,0.252
20,0.57,0.642,0.716,0.602,0.618,0.756,0.61,0.67,0.714,0.652,0.68,0.692,0.732,0.79,0.764,0.286,0.152,0.238,0.21,0.228
21,0.594,0.652,0.684,0.61,0.632,0.748,0.714,0.668,0.724,0.652,0.66,0.668,0.738,0.77,0.788,0.272,0.156,0.256,0.208,0.238
22,0.592,0.648,0.71,0.6,0.658,0.744,0.732,0.792,0.69,0.664,0.66,0.66,0.738,0.786,0.778,0.27,0.15,0.266,0.21,0.238
23,0.618,0.652,0.704,0.616,0.64,0.726,0.704,0.784,0.82,0.652,0.646,0.68,0.734,0.776,0.77,0.276,0.154,0.25,0.208,0.228
24,0.626,0.648,0.716,0.608,0.662,0.726,0.7,0.766,0.816,0.748,0.648,0.676,0.726,0.792,0.776,0.296,0.164,0.246,0.206,0.234
25,0.6,0.622,0.718,0.6,0.662,0.726,0.686,0.748,0.78,0.716,0.676,0.682,0.734,0.752,0.754,0.636,0.148,0.274,0.202,0.232
26,0.612,0.62,0.71,0.61,0.666,0.702,0.684,0.738,0.794,0.734,0.696,0.674,0.73,0.756,0.764,0.63,0.698,0.242,0.206,0.246
27,0.588,0.59,0.706,0.582,0.656,0.698,0.682,0.736,0.794,0.716,0.688,0.652,0.712,0.746,0.718,0.594,0.654,0.816,0.206,0.26
28,0.592,0.614,0.704,0.602,0.636,0.7,0.668,0.722,0.76,0.722,0.694,0.666,0.692,0.736,0.722,0.58,0.652,0.776,0.642,0.252
29,0.6,0.59,0.686,0.604,0.644,0.676,0.666,0.708,0.784,0.722,0.674,0.678,0.672,0.744,0.742,0.58,0.654,0.776,0.618,0.744
30,0.734,0.198,0.198,0.232,0.116,0.192,0.086,0.172,0.214,0.288,0.312,0.264,0.182,0.232,0.228,0.196,0.178,0.184,0.202,0.344
31,0.568,0.584,0.2,0.228,0.274,0.216,0.176,0.238,0.218,0.212,0.262,0.174,0.16,0.244,0.186,0.204,0.164,0.218,0.196,0.246
32,0.636,0.548,0.736,0.256,0.268,0.21,0.136,0.158,0.228,0.244,0.326,0.164,0.148,0.242,0.162,0.17,0.154,0.19,0.156,0.296
33,0.626,0.524,0.728,0.698,0.242,0.2,0.164,0.11,0.218,0.25,0.288,0.16,0.16,0.24,0.16,0.176,0.176,0.206,0.188,0.288
34,0.63,0.53,0.708,0.688,0.828,0.234,0.144,0.118,0.204,0.18,0.274,0.174,0.168,0.232,0.164,0.17,0.21,0.196,0.204,0.19
35,0.654,0.558,0.678,0.694,0.76,0.666,0.176,0.168,0.174,0.194,0.254,0.158,0.192,0.278,0.18,0.17,0.188,0.184,0.152,0.302
36,0.632,0.536,0.728,0.698,0.816,0.64,0.816,0.118,0.196,0.22,0.354,0.094,0.216,0.226,0.23,0.188,0.118,0.246,0.158,0.272
37,0.676,0.534,0.676,0.7,0.742,0.614,0.764,0.87,0.226,0.206,0.366,0.128,0.216,0.25,0.174,0.172,0.146,0.236,0.19,0.24
38,0.624,0.55,0.67,0.716,0.74,0.584,0.738,0.814,0.624,0.194,0.314,0.09,0.188,0.266,0.158,0.154,0.154,0.178,0.186,0.312
39,0.628,0.588,0.734,0.726,0.756,0.594,0.738,0.82,0.62,0.79,0.314,0.116,0.156,0.29,0.138,0.172,0.126,0.2,0.172,0.256
40,0.594,0.578,0.72,0.712,0.774,0.6,0.746,0.826,0.614,0.714,0.31,0.118,0.152,0.278,0.132,0.18,0.136,0.19,0.178,0.28
41,0.624,0.594,0.722,0.71,0.736,0.592,0.736,0.828,0.432,0.686,0.32,0.124,0.156,0.292,0.15,0.182,0.124,0.202,0.178,0.238
42,0.654,0.562,0.738,0.688,0.694,0.548,0.73,0.782,0.414,0.668,0.354,0.138,0.158,0.308,0.158,0.166,0.132,0.206,0.206,0.26
43,0.648,0.592,0.726,0.712,0.72,0.6,0.664,0.804,0.416,0.686,0.342,0.144,0.142,0.32,0.134,0.18,0.146,0.198,0.222,0.252
44,0.674,0.566,0.704,0.67,0.69,0.498,0.586,0.72,0.326,0.664,0.306,0.16,0.168,0.296,0.138,0.172,0.164,0.202,0.214,0.3
45,0.708,0.61,0.712,0.698,0.746,0.542,0.678,0.786,0.344,0.704,0.846,0.136,0.162,0.286,0.158,0.164,0.158,0.228,0.2,0.228
46,0.644,0.608,0.706,0.696,0.746,0.57,0.686,0.804,0.372,0.702,0.822,0.78,0.166,0.286,0.158,0.16,0.164,0.236,0.182,0.24
47,0.63,0.61,0.7,0.688,0.76,0.554,0.696,0.78,0.358,0.692,0.794,0.738,0.54,0.29,0.146,0.15,0.136,0.226,0.202,0.272
48,0.61,0.62,0.68,0.69,0.782,0.538,0.696,0.78,0.412,0.7,0.792,0.732,0.518,0.794,0.128,0.154,0.13,0.224,0.192,0.324
49,0.61,0.62,0.694,0.714,0.804,0.554,0.67,0.776,0.414,0.714,0.762,0.706,0.49,0.76,0.844,0.134,0.162,0.236,0.19,0.33
50,0.62,0.632,0.722,0.736,0.784,0.736,0.678,0.772,0.354,0.678,0.78,0.71,0.502,0.73,0.82,0.15,0.164,0.212,0.198,0.312
51,0.626,0.632,0.708,0.71,0.792,0.708,0.822,0.816,0.388,0.686,0.782,0.702,0.512,0.716,0.798,0.158,0.134,0.226,0.204,0.304
52,0.648,0.65,0.724,0.728,0.788,0.68,0.806,0.884,0.38,0.692,0.804,0.712,0.488,0.714,0.794,0.154,0.138,0.236,0.2,0.296
53,0.616,0.634,0.724,0.734,0.806,0.668,0.8,0.87,0.68,0.686,0.77,0.71,0.464,0.722,0.774,0.16,0.134,0.2,0.2,0.286
54,0.614,0.65,0.73,0.74,0.808,0.67,0.784,0.872,0.646,0.804,0.762,0.698,0.49,0.732,0.774,0.142,0.142,0.202,0.194,0.274
55,0.594,0.632,0.728,0.726,0.774,0.668,0.8,0.862,0.64,0.782,0.798,0.686,0.442,0.734,0.806,0.752,0.14,0.196,0.2,0.312
56,0.584,0.634,0.728,0.696,0.82,0.648,0.786,0.856,0.648,0.792,0.768,0.702,0.456,0.746,0.8,0.72,0.79,0.18,0.174,0.296
57,0.576,0.618,0.742,0.724,0.792,0.644,0.8,0.826,0.64,0.776,0.776,0.698,0.434,0.746,0.804,0.732,0.742,0.73,0.184,0.318
58,0.588,0.566,0.706,0.724,0.764,0.632,0.802,0.848,0.616,0.796,0.778,0.648,0.456,0.738,0.776,0.734,0.748,0.656,0.844,0.31
59,0.554,0.6,0.688,0.716,0.778,0.638,0.804,0.856,0.616,0.79,0.748,0.664,0.44,0.72,0.804,0.714,0.732,0.676,0.822,0.768
60,0.67,0.204,0.262,0.142,0.198,0.198,0.222,0.206,0.164,0.166,0.222,0.24,0.326,0.234,0.194,0.198,0.188,0.226,0.192,0.234
61,0.612,0.71,0.234,0.132,0.19,0.226,0.19,0.162,0.14,0.208,0.196,0.126,0.312,0.144,0.174,0.198,0.252,0.252,0.192,0.214
62,0.658,0.682,0.726,0.098,0.192,0.178,0.226,0.194,0.196,0.19,0.214,0.23,0.304,0.196,0.19,0.198,0.294,0.196,0.196,0.17
63,0.67,0.652,0.694,0.78,0.23,0.07,0.212,0.218,0.14,0.246,0.186,0.144,0.314,0.254,0.184,0.188,0.352,0.19,0.2,0.12
64,0.666,0.648,0.658,0.732,0.71,0.088,0.166,0.212,0.174,0.186,0.196,0.144,0.344,0.262,0.192,0.174,0.252,0.196,0.202,0.136
65,0.682,0.672,0.706,0.754,0.702,0.75,0.206,0.21,0.176,0.218,0.19,0.176,0.362,0.254,0.166,0.184,0.278,0.216,0.208,0.154
66,0.604,0.674,0.618,0.69,0.638,0.638,0.596,0.244,0.132,0.208,0.234,0.188,0.356,0.228,0.182,0.156,0.18,0.236,0.196,0.172
67,0.71,0.692,0.64,0.738,0.658,0.706,0.594,0.724,0.16,0.154,0.238,0.19,0.358,0.274,0.168,0.184,0.216,0.246,0.21,0.208
68,0.66,0.644,0.642,0.754,0.596,0.7,0.572,0.728,0.696,0.148,0.202,0.204,0.296,0.258,0.164,0.146,0.142,0.208,0.238,0.166
69,0.652,0.646,0.66,0.69,0.636,0.672,0.566,0.684,0.65,0.798,0.234,0.19,0.288,0.27,0.192,0.184,0.17,0.22,0.214,0.2
70,0.64,0.638,0.652,0.656,0.642,0.69,0.568,0.7,0.644,0.78,0.248,0.188,0.308,0.272,0.172,0.186,0.168,0.208,0.212,0.21
71,0.644,0.576,0.63,0.692,0.608,0.684,0.516,0.704,0.626,0.806,0.254,0.192,0.294,0.26,0.16,0.182,0.176,0.214,0.218,0.202
72,0.664,0.632,0.612,0.714,0.634,0.718,0.556,0.496,0.61,0.758,0.258,0.182,0.306,0.268,0.186,0.178,0.232,0.234,0.228,0.236
73,0.652,0.656,0.648,0.682,0.628,0.736,0.436,0.446,0.6,0.754,0.236,0.19,0.314,0.274,0.166,0.176,0.208,0.214,0.218,0.228
74,0.674,0.608,0.632,0.676,0.632,0.598,0.396,0.456,0.598,0.73,0.222,0.166,0.334,0.266,0.182,0.166,0.206,0.194,0.224,0.204
75,0.688,0.638,0.696,0.702,0.626,0.628,0.408,0.44,0.614,0.724,0.738,0.188,0.344,0.25,0.17,0.184,0.248,0.204,0.236,0.2
76,0.662,0.656,0.716,0.706,0.64,0.634,0.404,0.428,0.584,0.712,0.752,0.782,0.35,0.256,0.198,0.194,0.238,0.21,0.216,0.188
77,0.664,0.658,0.708,0.706,0.624,0.648,0.43,0.43,0.612,0.726,0.744,0.778,0.726,0.264,0.22,0.198,0.226,0.234,0.236,0.15
78,0.694,0.668,0.722,0.688,0.626,0.592,0.386,0.42,0.604,0.692,0.72,0.778,0.69,0.754,0.244,0.2,0.236,0.206,0.244,0.16
79,0.664,0.666,0.708,0.724,0.644,0.602,0.396,0.424,0.586,0.684,0.694,0.766,0.652,0.694,0.824,0.19,0.214,0.168,0.234,0.16
80,0.702,0.678,0.71,0.74,0.658,0.78,0.384,0.442,0.61,0.686,0.7,0.75,0.686,0.69,0.822,0.206,0.196,0.172,0.244,0.166
81,0.672,0.668,0.706,0.7,0.66,0.764,0.63,0.43,0.578,0.672,0.694,0.742,0.648,0.664,0.798,0.208,0.19,0.198,0.228,0.164
82,0.688,0.65,0.704,0.734,0.66,0.746,0.64,0.794,0.636,0.69,0.676,0.762,0.65,0.604,0.79,0.202,0.202,0.212,0.21,0.136
83,0.702,0.644,0.672,0.724,0.644,0.75,0.612,0.776,0.718,0.7,0.664,0.722,0.642,0.614,0.778,0.184,0.196,0.204,0.222,0.146
84,0.68,0.66,0.696,0.712,0.626,0.73,0.624,0.728,0.71,0.816,0.658,0.724,0.644,0.626,0.76,0.192,0.186,0.2,0.208,0.154
85,0.638,0.642,0.674,0.716,0.614,0.71,0.63,0.728,0.706,0.796,0.684,0.73,0.64,0.578,0.772,0.712,0.182,0.196,0.206,0.166
86,0.654,0.606,0.646,0.732,0.64,0.71,0.602,0.722,0.684,0.79,0.662,0.762,0.648,0.572,0.788,0.666,0.754,0.178,0.212,0.158
87,0.67,0.646,0.678,0.71,0.64,0.716,0.614,0.722,0.676,0.768,0.694,0.746,0.648,0.596,0.796,0.64,0.756,0.748,0.236,0.16
88,0.662,0.656,0.654,0.7,0.668,0.692,0.598,0.734,0.668,0.768,0.686,0.716,0.634,0.594,0.784,0.652,0.716,0.728,0.77,0.14
89,0.638,0.652,0.646,0.714,0.648,0.694,0.58,0.718,0.648,0.75,0.67,0.736,0.6,0.574,0.768,0.624,0.726,0.722,0.752,0.778
