,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.716,0.128,0.138,0.22,0.26,0.164,0.202,0.194,0.218,0.202,0.206,0.148,0.152,0.208,0.286,0.21,0.192,0.204,0.2,0.198
1,0.76,0.664,0.17,0.226,0.228,0.138,0.202,0.196,0.204,0.2,0.232,0.13,0.15,0.25,0.29,0.202,0.154,0.176,0.196,0.208
2,0.782,0.694,0.658,0.21,0.228,0.166,0.2,0.196,0.198,0.202,0.298,0.086,0.168,0.21,0.232,0.268,0.13,0.184,0.174,0.184
3,0.716,0.672,0.648,0.608,0.132,0.154,0.202,0.21,0.202,0.204,0.248,0.11,0.176,0.238,0.244,0.276,0.19,0.212,0.2,0.212
4,0.754,0.692,0.606,0.626,0.788,0.152,0.202,0.226,0.202,0.218,0.282,0.128,0.186,0.204,0.176,0.204,0.152,0.224,0.188,0.202
5,0.74,0.612,0.612,0.572,0.732,0.754,0.188,0.212,0.172,0.196,0.314,0.12,0.206,0.21,0.156,0.232,0.144,0.196,0.2,0.212
6,0.654,0.658,0.622,0.582,0.698,0.69,0.522,0.196,0.178,0.224,0.244,0.134,0.2,0.21,0.18,0.228,0.13,0.188,0.148,0.192
7,0.764,0.674,0.636,0.548,0.728,0.644,0.538,0.678,0.214,0.206,0.248,0.146,0.132,0.216,0.206,0.238,0.126,0.214,0.144,0.208
8,0.752,0.702,0.596,0.552,0.614,0.658,0.488,0.632,0.774,0.212,0.21,0.12,0.194,0.236,0.14,0.222,0.116,0.22,0.174,0.194
9,0.688,0.68,0.596,0.556,0.616,0.648,0.49,0.58,0.706,0.572,0.264,0.136,0.226,0.27,0.142,0.208,0.142,0.206,0.232,0.196
10,0.688,0.71,0.582,0.58,0.63,0.658,0.478,0.6,0.71,0.602,0.748,0.118,0.222,0.24,0.19,0.236,0.102,0.212,0.25,0.214
11,0.708,0.65,0.586,0.53,0.62,0.648,0.474,0.554,0.674,0.48,0.654,0.668,0.254,0.204,0.126,0.232,0.102,0.198,0.276,0.208
12,0.784,0.68,0.572,0.528,0.542,0.608,0.426,0.512,0.572,0.56,0.61,0.552,0.694,0.226,0.234,0.244,0.148,0.182,0.242,0.206
13,0.674,0.65,0.56,0.476,0.614,0.632,0.456,0.554,0.692,0.576,0.636,0.566,0.656,0.59,0.146,0.218,0.156,0.214,0.28,0.218
14,0.766,0.724,0.608,0.55,0.652,0.624,0.492,0.612,0.7,0.538,0.616,0.564,0.7,0.6,0.934,0.258,0.12,0.176,0.262,0.178
15,0.764,0.696,0.606,0.554,0.676,0.658,0.468,0.528,0.702,0.544,0.662,0.518,0.668,0.58,0.898,0.668,0.092,0.174,0.236,0.172
16,0.73,0.712,0.58,0.53,0.616,0.65,0.52,0.584,0.718,0.594,0.712,0.494,0.642,0.556,0.874,0.654,0.828,0.178,0.298,0.162
17,0.708,0.678,0.61,0.524,0.628,0.616,0.5,0.602,0.696,0.554,0.67,0.538,0.648,0.528,0.87,0.644,0.758,0.73,0.216,0.142
18,0.774,0.742,0.59,0.558,0.68,0.672,0.486,0.612,0.7,0.578,0.65,0.544,0.672,0.528,0.894,0.624,0.762,0.706,0.836,0.122
19,0.76,0.722,0.61,0.534,0.682,0.696,0.514,0.588,0.694,0.536,0.692,0.554,0.668,0.55,0.858,0.596,0.742,0.704,0.806,0.728
