,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.7032,0.2352,0.212,0.1972,0.1704,0.1,0.1772,0.232,0.1948,0.2728,0.3176,0.1856,0.1332,0.2476,0.1636,0.2164,0.224,0.1984,0.1776,0.2016
1,0.6924,0.6652,0.2828,0.198,0.2232,0.1788,0.1728,0.2368,0.2108,0.2912,0.3104,0.27,0.192,0.248,0.14,0.2084,0.3696,0.2472,0.1732,0.2036
2,0.6704,0.6264,0.824,0.1872,0.1844,0.148,0.2036,0.282,0.1972,0.342,0.312,0.2084,0.174,0.242,0.2048,0.2232,0.2608,0.2048,0.2156,0.2124
3,0.7004,0.6028,0.8072,0.7752,0.194,0.1368,0.1912,0.17,0.2388,0.334,0.3092,0.24,0.1096,0.2136,0.1744,0.2324,0.2128,0.2276,0.1676,0.2036
4,0.6984,0.6436,0.8096,0.7632,0.7632,0.1796,0.1632,0.1556,0.2412,0.2944,0.2632,0.1936,0.1184,0.2044,0.1508,0.2452,0.2648,0.256,0.1744,0.2356
5,0.6968,0.6176,0.728,0.6924,0.756,0.7932,0.18,0.2004,0.2252,0.1856,0.3152,0.2284,0.1204,0.224,0.1452,0.232,0.2708,0.256,0.1576,0.2288
6,0.6488,0.5856,0.73,0.6272,0.6672,0.7564,0.7568,0.1564,0.2176,0.2816,0.2468,0.1888,0.094,0.2312,0.1232,0.2356,0.2376,0.2616,0.1416,0.2732
7,0.6976,0.6328,0.7596,0.6424,0.69,0.758,0.7704,0.956,0.2328,0.2212,0.2736,0.1716,0.0888,0.1916,0.1272,0.2292,0.32,0.2496,0.1288,0.2104
8,0.7088,0.6116,0.7588,0.6276,0.6616,0.704,0.696,0.9124,0.9324,0.154,0.2844,0.2136,0.1476,0.1732,0.1472,0.2228,0.3132,0.3148,0.1384,0.2424
9,0.702,0.6096,0.7788,0.6768,0.6656,0.7004,0.6936,0.8716,0.8984,0.9592,0.2924,0.2408,0.0804,0.2116,0.1224,0.266,0.326,0.2648,0.2296,0.2276
10,0.6788,0.626,0.7864,0.6624,0.6528,0.6884,0.6712,0.8716,0.8564,0.8836,0.942,0.23,0.0884,0.2132,0.144,0.2392,0.3096,0.2768,0.172,0.228
11,0.7156,0.6288,0.7668,0.6572,0.6468,0.694,0.6384,0.8756,0.85,0.8676,0.912,0.9948,0.082,0.2156,0.1564,0.2504,0.2796,0.264,0.198,0.2288
12,0.696,0.6152,0.7596,0.6464,0.6076,0.6748,0.6132,0.8572,0.8348,0.8236,0.8424,0.9388,0.92,0.1928,0.1512,0.228,0.304,0.2544,0.1996,0.2396
13,0.6968,0.6164,0.7824,0.6468,0.6084,0.652,0.6116,0.8076,0.8044,0.8244,0.8352,0.9028,0.8616,0.9708,0.1608,0.2416,0.3072,0.2768,0.1716,0.238
14,0.7092,0.634,0.7896,0.6552,0.6092,0.6664,0.6044,0.8344,0.7988,0.8204,0.7852,0.89,0.8284,0.8976,0.9408,0.2368,0.3164,0.2908,0.136,0.2512
15,0.718,0.6176,0.7648,0.6368,0.6012,0.65,0.6072,0.8172,0.788,0.788,0.7816,0.8788,0.7896,0.8192,0.8756,0.9076,0.288,0.248,0.1968,0.2456
16,0.7192,0.6432,0.8084,0.6744,0.6052,0.6612,0.6176,0.8216,0.8024,0.798,0.8132,0.8848,0.7684,0.7976,0.836,0.8712,0.9576,0.3152,0.1592,0.23
17,0.7104,0.64,0.7952,0.6812,0.6088,0.66,0.5976,0.8208,0.798,0.8176,0.798,0.8804,0.7728,0.7936,0.8164,0.8192,0.908,0.9688,0.1764,0.2368
18,0.696,0.6232,0.804,0.6668,0.6308,0.6316,0.5992,0.8264,0.7784,0.8064,0.77,0.8532,0.7388,0.7908,0.7796,0.8004,0.89,0.9236,0.9744,0.2356
19,0.7016,0.6464,0.818,0.6924,0.6436,0.64,0.6076,0.8296,0.7904,0.808,0.7912,0.8776,0.7536,0.7856,0.8028,0.78,0.8636,0.9076,0.9408,0.9756
