,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.4712,0.1716,0.2076,0.1996,0.2,0.1884,0.1748,0.2288,0.2152,0.1748,0.2448,0.1948,0.2456,0.2,0.2056,0.178,0.2016,0.2032,0.2,0.2112
1,0.482,0.848,0.2744,0.2936,0.164,0.1716,0.2396,0.2048,0.1608,0.1324,0.2,0.166,0.19,0.216,0.252,0.1952,0.1748,0.2036,0.1996,0.178
2,0.4508,0.7464,0.8756,0.2232,0.178,0.1808,0.228,0.2104,0.2044,0.1572,0.1972,0.1412,0.298,0.2132,0.2156,0.1708,0.218,0.1756,0.1992,0.2152
3,0.376,0.6888,0.778,0.8168,0.208,0.162,0.2288,0.2056,0.198,0.144,0.2068,0.178,0.294,0.1952,0.2388,0.1952,0.2,0.1576,0.1928,0.2076
4,0.4416,0.584,0.7588,0.6836,0.8748,0.1964,0.234,0.1748,0.1608,0.158,0.1972,0.138,0.268,0.1956,0.284,0.1912,0.202,0.1664,0.1776,0.1828
5,0.4372,0.6288,0.7292,0.716,0.7688,0.9088,0.208,0.1892,0.1576,0.158,0.1844,0.1224,0.2676,0.1908,0.2572,0.1924,0.1864,0.15,0.1916,0.0968
6,0.3784,0.5888,0.7376,0.6268,0.6452,0.7444,0.8384,0.1744,0.1828,0.1912,0.2092,0.1116,0.3476,0.2164,0.216,0.1724,0.208,0.1672,0.1984,0.17
7,0.3876,0.5972,0.7104,0.644,0.676,0.7096,0.7096,0.9272,0.1584,0.1912,0.2088,0.132,0.3004,0.2036,0.2636,0.1644,0.2084,0.1764,0.1952,0.1048
8,0.3804,0.5932,0.6716,0.6292,0.6368,0.6376,0.664,0.7956,0.822,0.1816,0.2416,0.1364,0.2292,0.2052,0.2972,0.1884,0.2128,0.1748,0.1964,0.1984
9,0.4052,0.6252,0.7156,0.6396,0.6292,0.6868,0.6068,0.7496,0.674,0.848,0.222,0.1192,0.2804,0.1908,0.196,0.1552,0.2048,0.1624,0.188,0.1796
10,0.4392,0.616,0.718,0.63,0.6548,0.6448,0.5984,0.738,0.6744,0.7456,0.9372,0.1092,0.3532,0.1888,0.262,0.156,0.21,0.19,0.1896,0.19
11,0.3908,0.5772,0.718,0.6268,0.6404,0.6344,0.5552,0.6908,0.5844,0.648,0.8492,0.8628,0.3188,0.1924,0.2608,0.1652,0.2236,0.1832,0.186,0.1932
12,0.4348,0.596,0.6912,0.6528,0.6248,0.6532,0.564,0.6836,0.5828,0.5824,0.7512,0.824,0.8996,0.216,0.2424,0.1724,0.2248,0.1732,0.1964,0.1864
