,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.8868,0.1656,0.2604,0.1816,0.1604,0.2152,0.1096,0.2032,0.2012,0.256,0.1444,0.1916,0.244,0.2264,0.1416,0.1912,0.1992,0.1824,0.252,0.1848
1,0.7488,0.9552,0.2156,0.2016,0.24,0.1768,0.174,0.2116,0.1656,0.1932,0.1052,0.2384,0.2952,0.2176,0.1516,0.234,0.214,0.2444,0.1736,0.2428
2,0.7316,0.7992,0.9888,0.1648,0.2416,0.1872,0.1288,0.2084,0.1984,0.1176,0.1148,0.2136,0.304,0.2036,0.1552,0.2224,0.204,0.2524,0.1164,0.2292
3,0.7128,0.706,0.8452,0.972,0.25,0.1476,0.0648,0.1964,0.2104,0.1168,0.1208,0.202,0.2652,0.2092,0.176,0.2392,0.1856,0.2236,0.1616,0.2168
4,0.6892,0.6836,0.7836,0.8492,0.9816,0.1408,0.0684,0.2016,0.1976,0.1612,0.1228,0.202,0.3092,0.198,0.1864,0.2012,0.1744,0.2072,0.1468,0.2292
5,0.7136,0.6748,0.8132,0.7748,0.9056,0.9872,0.0564,0.2064,0.1772,0.1052,0.1408,0.204,0.3204,0.1984,0.1924,0.208,0.1848,0.2292,0.1484,0.1728
6,0.7036,0.6756,0.77,0.7236,0.856,0.92,0.9896,0.208,0.1584,0.1816,0.108,0.1876,0.3192,0.198,0.2348,0.1928,0.198,0.2284,0.1544,0.2008
7,0.7156,0.6496,0.7488,0.6956,0.8032,0.8476,0.9148,0.9908,0.166,0.2176,0.1492,0.1944,0.3148,0.1956,0.196,0.1916,0.214,0.2416,0.1456,0.2084
8,0.7048,0.642,0.7552,0.6512,0.764,0.8236,0.876,0.9068,0.9928,0.1656,0.1324,0.2308,0.3252,0.1592,0.2072,0.1776,0.2136,0.2532,0.1612,0.2164
9,0.7084,0.618,0.7172,0.6444,0.74,0.8028,0.834,0.7932,0.8968,0.9748,0.14,0.1972,0.2864,0.1744,0.2092,0.1764,0.1796,0.2404,0.1568,0.212
10,0.7444,0.6376,0.74,0.6456,0.7412,0.7928,0.8148,0.8124,0.862,0.8708,0.9952,0.1416,0.3052,0.1696,0.198,0.1812,0.1928,0.2384,0.148,0.1672
11,0.7128,0.608,0.7264,0.6348,0.698,0.7676,0.7752,0.7696,0.82,0.7776,0.2476,0.1584,0.2892,0.1796,0.1948,0.1936,0.1728,0.2016,0.1376,0.18
12,0.7172,0.6256,0.7304,0.5884,0.7204,0.7452,0.7952,0.7036,0.8104,0.2876,0.2932,0.1504,0.2532,0.1936,0.1704,0.194,0.198,0.1928,0.1652,0.174
13,0.7164,0.608,0.7084,0.6252,0.6956,0.7428,0.7812,0.7524,0.2024,0.316,0.3396,0.1864,0.2592,0.204,0.1688,0.2144,0.1816,0.1976,0.1644,0.2136
14,0.7304,0.6052,0.7192,0.6272,0.7084,0.7652,0.7804,0.2884,0.208,0.3872,0.3756,0.1868,0.264,0.1912,0.1948,0.202,0.2,0.1852,0.1608,0.2348
15,0.724,0.6384,0.7548,0.618,0.7216,0.7788,0.3316,0.3332,0.2308,0.45,0.2668,0.1988,0.3072,0.2072,0.154,0.2088,0.2224,0.1364,0.1732,0.2472
16,0.7284,0.6336,0.742,0.6096,0.7164,0.332,0.3548,0.2996,0.2152,0.3828,0.2724,0.1952,0.284,0.2092,0.1988,0.2108,0.2,0.1392,0.1724,0.3016
17,0.6888,0.5612,0.6596,0.5776,0.2088,0.4132,0.32,0.3648,0.2048,0.3548,0.2428,0.2432,0.2404,0.2144,0.2436,0.2712,0.1176,0.1056,0.1788,0.2256
18,0.6984,0.5884,0.6828,0.2812,0.3308,0.4372,0.4448,0.3212,0.2024,0.3244,0.2788,0.3176,0.2908,0.1932,0.2064,0.2688,0.1788,0.1216,0.198,0.2768
19,0.7392,0.6444,0.2736,0.2812,0.4264,0.3632,0.4152,0.2676,0.2032,0.2748,0.2876,0.2712,0.2744,0.204,0.1848,0.2368,0.1612,0.1096,0.19,0.2476
20,0.7076,0.3364,0.202,0.2612,0.3152,0.3036,0.4308,0.2336,0.2,0.2736,0.2348,0.2556,0.2248,0.2164,0.1704,0.1344,0.1864,0.138,0.2116,0.208
