,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.628,0.198,0.2,0.152,0.218,0.202,0.22,0.156,0.214,0.252,0.256,0.146,0.234,0.318,0.27,0.194,0.178,0.204,0.248,0.194
1,0.56,0.856,0.198,0.164,0.294,0.232,0.194,0.198,0.242,0.266,0.276,0.178,0.222,0.328,0.202,0.17,0.168,0.204,0.19,0.184
2,0.534,0.736,0.678,0.206,0.216,0.126,0.134,0.23,0.34,0.174,0.264,0.17,0.18,0.244,0.246,0.104,0.218,0.204,0.222,0.15
3,0.55,0.68,0.532,0.866,0.2,0.194,0.198,0.174,0.24,0.226,0.178,0.202,0.248,0.254,0.226,0.198,0.182,0.198,0.184,0.14
4,0.542,0.572,0.504,0.69,0.826,0.166,0.206,0.154,0.214,0.19,0.152,0.118,0.242,0.252,0.208,0.144,0.212,0.196,0.164,0.14
5,0.5,0.594,0.498,0.62,0.71,0.818,0.236,0.134,0.192,0.258,0.164,0.174,0.232,0.29,0.198,0.104,0.174,0.2,0.21,0.116
6,0.494,0.562,0.476,0.604,0.678,0.718,0.806,0.124,0.24,0.294,0.212,0.172,0.204,0.22,0.198,0.162,0.186,0.198,0.176,0.144
7,0.494,0.662,0.522,0.596,0.658,0.684,0.696,0.832,0.234,0.298,0.168,0.192,0.236,0.27,0.248,0.086,0.138,0.208,0.246,0.146
8,0.456,0.644,0.498,0.612,0.614,0.688,0.654,0.756,0.768,0.304,0.226,0.182,0.228,0.222,0.23,0.232,0.16,0.196,0.236,0.138
9,0.526,0.626,0.486,0.6,0.598,0.664,0.626,0.724,0.654,0.842,0.252,0.178,0.224,0.222,0.216,0.208,0.132,0.198,0.184,0.172
10,0.446,0.614,0.476,0.56,0.566,0.658,0.626,0.62,0.578,0.718,0.76,0.162,0.242,0.262,0.358,0.216,0.146,0.206,0.196,0.186
11,0.436,0.538,0.43,0.584,0.464,0.624,0.598,0.532,0.532,0.65,0.268,0.16,0.24,0.234,0.322,0.206,0.134,0.196,0.188,0.19
12,0.462,0.612,0.514,0.57,0.57,0.638,0.62,0.612,0.572,0.244,0.286,0.164,0.23,0.26,0.348,0.234,0.176,0.204,0.196,0.18
13,0.418,0.62,0.496,0.572,0.57,0.654,0.596,0.62,0.282,0.294,0.238,0.16,0.236,0.256,0.33,0.23,0.166,0.212,0.196,0.172
14,0.434,0.61,0.504,0.576,0.58,0.646,0.614,0.264,0.264,0.256,0.25,0.156,0.226,0.262,0.352,0.216,0.168,0.21,0.196,0.182
15,0.424,0.558,0.42,0.562,0.502,0.638,0.284,0.244,0.278,0.292,0.236,0.164,0.256,0.226,0.316,0.23,0.148,0.21,0.192,0.19
16,0.416,0.61,0.494,0.554,0.56,0.468,0.304,0.258,0.254,0.256,0.234,0.16,0.24,0.256,0.318,0.226,0.146,0.208,0.192,0.192
17,0.406,0.616,0.524,0.542,0.356,0.444,0.35,0.316,0.294,0.25,0.218,0.148,0.216,0.26,0.306,0.23,0.144,0.21,0.2,0.18
18,0.398,0.542,0.386,0.274,0.228,0.4,0.284,0.24,0.24,0.246,0.226,0.16,0.246,0.23,0.306,0.214,0.162,0.218,0.196,0.204
19,0.44,0.616,0.368,0.296,0.278,0.466,0.332,0.282,0.278,0.256,0.25,0.178,0.234,0.254,0.316,0.242,0.166,0.204,0.198,0.182
20,0.384,0.326,0.314,0.302,0.248,0.474,0.274,0.226,0.26,0.248,0.222,0.168,0.244,0.234,0.314,0.232,0.132,0.202,0.2,0.174
