,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.8016,0.1844,0.1976,0.2372,0.1972,0.2204,0.2428,0.2028,0.2016,0.1628,0.2872,0.2228,0.2024,0.1432,0.206,0.1948,0.1856,0.1816,0.1868,0.1908
1,0.738,0.988,0.122,0.198,0.19,0.1924,0.2056,0.2216,0.1744,0.17,0.2508,0.238,0.2676,0.1996,0.2052,0.2072,0.2236,0.1896,0.222,0.33
2,0.69,0.8216,0.9944,0.1828,0.18,0.1912,0.2248,0.2384,0.1704,0.1756,0.2732,0.2456,0.2624,0.2004,0.2168,0.2064,0.2232,0.222,0.224,0.21
3,0.6636,0.7124,0.8352,0.9924,0.1884,0.2208,0.254,0.1552,0.2544,0.2072,0.25,0.25,0.2672,0.2128,0.2224,0.2044,0.1968,0.1988,0.2048,0.2352
4,0.6564,0.6856,0.7628,0.89,0.9932,0.1992,0.3268,0.1764,0.178,0.2156,0.262,0.2876,0.2532,0.2172,0.2284,0.204,0.1852,0.2012,0.2084,0.2704
5,0.6624,0.696,0.722,0.8156,0.9008,0.9992,0.2772,0.1856,0.2316,0.212,0.2984,0.3124,0.2516,0.1916,0.2316,0.2212,0.174,0.2536,0.2044,0.2516
6,0.6236,0.7036,0.72,0.7408,0.8524,0.9092,0.9972,0.1188,0.2036,0.1888,0.2796,0.284,0.2416,0.2128,0.2308,0.2164,0.1732,0.192,0.2036,0.2796
7,0.6164,0.7044,0.7176,0.7056,0.8128,0.8132,0.944,0.9912,0.1816,0.1652,0.2804,0.2592,0.2056,0.2552,0.226,0.236,0.2068,0.1944,0.226,0.2684
8,0.6384,0.698,0.7096,0.7332,0.7908,0.8004,0.8616,0.8912,0.9928,0.16,0.2548,0.2808,0.2796,0.2488,0.244,0.2384,0.1612,0.178,0.2028,0.2756
9,0.668,0.7124,0.7304,0.6972,0.812,0.7636,0.8668,0.8496,0.932,0.998,0.2912,0.284,0.2184,0.2572,0.2684,0.2264,0.1868,0.1816,0.2356,0.2856
10,0.6868,0.73,0.7256,0.71,0.7752,0.7936,0.838,0.8248,0.878,0.95,0.9972,0.2472,0.2344,0.2268,0.2476,0.2264,0.1384,0.1928,0.202,0.2864
11,0.6596,0.6908,0.6912,0.6044,0.714,0.7372,0.7868,0.7376,0.8484,0.8884,0.2512,0.2552,0.2356,0.2132,0.2536,0.2124,0.1348,0.1876,0.18,0.2652
12,0.5844,0.6108,0.654,0.5104,0.5548,0.614,0.6072,0.6484,0.6424,0.2732,0.2256,0.2528,0.2688,0.2304,0.2528,0.2072,0.1816,0.1976,0.2076,0.2668
13,0.596,0.5904,0.648,0.4956,0.654,0.6316,0.6268,0.6628,0.3888,0.2608,0.2104,0.2544,0.2688,0.1728,0.2388,0.2016,0.196,0.2252,0.1948,0.292
14,0.5648,0.5688,0.6024,0.5288,0.5984,0.6096,0.6416,0.3672,0.4372,0.2644,0.2208,0.2424,0.256,0.2228,0.2336,0.2148,0.1964,0.2276,0.2084,0.2712
15,0.5248,0.5484,0.624,0.4636,0.5184,0.6232,0.3444,0.352,0.368,0.238,0.21,0.2364,0.2716,0.2148,0.2428,0.2016,0.1896,0.2524,0.2048,0.2452
16,0.5772,0.5384,0.6004,0.5228,0.574,0.326,0.3728,0.382,0.3204,0.2632,0.212,0.262,0.2504,0.1752,0.2416,0.2068,0.18,0.2284,0.1908,0.2516
17,0.5712,0.572,0.5928,0.5404,0.2608,0.3304,0.27,0.236,0.3184,0.2316,0.2004,0.1944,0.2104,0.164,0.2464,0.2032,0.2272,0.2588,0.1896,0.2316
18,0.5884,0.5652,0.5904,0.2908,0.232,0.2472,0.3512,0.2724,0.2332,0.258,0.2,0.2352,0.2348,0.1788,0.222,0.1992,0.2728,0.226,0.1888,0.2908
19,0.4952,0.532,0.2504,0.2468,0.2004,0.1844,0.25,0.2116,0.172,0.2044,0.2,0.2324,0.1964,0.226,0.1904,0.1996,0.268,0.2212,0.3376,0.1976
20,0.5236,0.2812,0.2448,0.2508,0.2,0.2092,0.3128,0.184,0.2036,0.2048,0.2,0.222,0.2088,0.2016,0.2188,0.2,0.2272,0.2148,0.2864,0.1964
