,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.9012,0.2056,0.23,0.164,0.2132,0.218,0.188,0.188,0.1944,0.258,0.2368,0.1724,0.19,0.2024,0.2192,0.1792,0.1852,0.2184,0.2004,0.192
1,0.7968,0.9672,0.234,0.212,0.1936,0.2412,0.184,0.1888,0.3108,0.2684,0.2244,0.0992,0.0972,0.204,0.2304,0.1492,0.2456,0.1832,0.1772,0.1776
2,0.7752,0.816,0.986,0.2304,0.1128,0.1764,0.1888,0.2224,0.1904,0.2952,0.3228,0.2304,0.0988,0.2048,0.2424,0.2504,0.2704,0.1868,0.1832,0.2048
3,0.7532,0.7624,0.826,0.9944,0.132,0.16,0.1384,0.2152,0.2112,0.2972,0.278,0.1816,0.128,0.2072,0.2256,0.2372,0.1736,0.188,0.1868,0.2076
4,0.7508,0.7208,0.7772,0.8624,0.992,0.2288,0.134,0.1848,0.2188,0.3268,0.2256,0.1852,0.1168,0.2128,0.2528,0.2036,0.218,0.1588,0.1672,0.2232
5,0.7368,0.752,0.7512,0.8032,0.8732,0.9948,0.1736,0.1624,0.206,0.2644,0.2896,0.1764,0.1084,0.2016,0.2888,0.1876,0.1972,0.186,0.192,0.2048
6,0.7284,0.734,0.7348,0.768,0.828,0.9144,0.994,0.1712,0.2196,0.2444,0.2804,0.1564,0.1124,0.2156,0.2568,0.2,0.2192,0.1708,0.1608,0.2144
7,0.7636,0.7368,0.732,0.7284,0.8068,0.8476,0.8984,0.9956,0.1696,0.304,0.2008,0.1764,0.1204,0.204,0.2368,0.2016,0.2068,0.1748,0.1888,0.1968
8,0.7284,0.6964,0.6984,0.6944,0.7528,0.802,0.8456,0.9188,0.9824,0.2548,0.2264,0.1824,0.172,0.2068,0.2312,0.18,0.1748,0.2072,0.1856,0.1992
9,0.7332,0.7088,0.7088,0.6544,0.7984,0.7556,0.7776,0.8592,0.8292,0.996,0.246,0.2092,0.1412,0.2096,0.2588,0.1836,0.1908,0.1748,0.2012,0.2752
10,0.7568,0.714,0.7184,0.6424,0.8064,0.7476,0.7708,0.8188,0.7596,0.9484,0.9916,0.2084,0.164,0.214,0.274,0.1856,0.1624,0.1864,0.1944,0.2512
11,0.7508,0.6568,0.698,0.5804,0.7972,0.7084,0.6904,0.7684,0.6816,0.9156,0.3944,0.1808,0.1692,0.1992,0.3056,0.1724,0.2116,0.1512,0.204,0.2416
12,0.6344,0.6488,0.6208,0.5276,0.6,0.6364,0.6316,0.6172,0.698,0.3208,0.222,0.1376,0.1908,0.1932,0.3244,0.1844,0.3104,0.21,0.194,0.182
13,0.4928,0.5052,0.5372,0.5176,0.526,0.5616,0.538,0.5444,0.29,0.3476,0.2044,0.16,0.1728,0.2076,0.2824,0.1484,0.28,0.1936,0.2112,0.2212
14,0.5432,0.5836,0.6112,0.5404,0.5808,0.6364,0.5672,0.2932,0.2964,0.3396,0.2,0.1504,0.1448,0.2096,0.3236,0.1456,0.2984,0.1984,0.1984,0.1768
15,0.5784,0.6452,0.6516,0.5384,0.6124,0.6572,0.3364,0.322,0.3048,0.344,0.2016,0.1668,0.1676,0.214,0.3472,0.1764,0.2764,0.2656,0.1964,0.182
16,0.5688,0.6168,0.5504,0.502,0.5772,0.3292,0.29,0.3172,0.2936,0.2572,0.2,0.2228,0.2212,0.222,0.2736,0.2012,0.1836,0.1996,0.1396,0.1664
17,0.6104,0.5696,0.5732,0.4992,0.2892,0.2716,0.2736,0.2352,0.2224,0.304,0.2,0.212,0.2336,0.1784,0.2696,0.2092,0.2284,0.1488,0.1724,0.1992
18,0.6812,0.548,0.5508,0.3348,0.2544,0.3516,0.2444,0.2968,0.2672,0.2572,0.2,0.2008,0.1816,0.1712,0.2304,0.196,0.1956,0.2016,0.1304,0.168
19,0.55,0.5408,0.2924,0.2932,0.2436,0.3408,0.1992,0.2928,0.2568,0.2292,0.2,0.214,0.278,0.196,0.194,0.2064,0.272,0.2204,0.1644,0.1856
20,0.5848,0.2372,0.3008,0.2748,0.234,0.3412,0.1868,0.29,0.2512,0.228,0.2,0.204,0.2852,0.1888,0.2544,0.2152,0.2476,0.2164,0.1532,0.1728
