,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.686,0.214,0.21,0.25,0.204,0.174,0.226,0.196,0.168,0.198,0.2,0.276,0.222,0.222,0.158,0.28,0.204,0.196,0.2,0.194
1,0.556,0.66,0.204,0.156,0.204,0.216,0.244,0.244,0.196,0.198,0.19,0.196,0.234,0.17,0.14,0.218,0.178,0.206,0.176,0.172
2,0.514,0.496,0.76,0.122,0.228,0.206,0.228,0.26,0.194,0.226,0.17,0.224,0.246,0.24,0.274,0.302,0.134,0.136,0.162,0.162
3,0.516,0.438,0.632,0.788,0.204,0.266,0.224,0.162,0.192,0.182,0.138,0.208,0.25,0.2,0.23,0.294,0.216,0.196,0.23,0.176
4,0.468,0.424,0.624,0.702,0.756,0.238,0.2,0.202,0.224,0.176,0.18,0.216,0.218,0.222,0.21,0.27,0.214,0.194,0.182,0.198
5,0.518,0.462,0.566,0.612,0.61,0.694,0.178,0.204,0.19,0.182,0.18,0.216,0.236,0.29,0.236,0.326,0.242,0.2,0.168,0.222
6,0.478,0.464,0.562,0.608,0.572,0.576,0.806,0.156,0.23,0.164,0.228,0.2,0.196,0.356,0.182,0.312,0.258,0.198,0.176,0.196
7,0.466,0.444,0.566,0.612,0.584,0.542,0.692,0.79,0.21,0.188,0.176,0.212,0.18,0.328,0.2,0.252,0.22,0.196,0.178,0.172
8,0.52,0.436,0.542,0.592,0.57,0.528,0.67,0.7,0.816,0.17,0.176,0.222,0.202,0.33,0.266,0.278,0.224,0.212,0.142,0.192
9,0.442,0.46,0.572,0.626,0.568,0.5,0.622,0.682,0.682,0.856,0.174,0.242,0.25,0.23,0.18,0.23,0.17,0.216,0.164,0.184
10,0.502,0.458,0.624,0.598,0.568,0.546,0.582,0.692,0.642,0.722,0.796,0.23,0.222,0.26,0.17,0.234,0.184,0.216,0.174,0.192
11,0.488,0.438,0.616,0.586,0.558,0.554,0.566,0.664,0.658,0.68,0.212,0.236,0.234,0.242,0.172,0.226,0.19,0.21,0.184,0.192
12,0.5,0.428,0.608,0.586,0.558,0.556,0.564,0.684,0.634,0.278,0.21,0.242,0.232,0.258,0.184,0.238,0.184,0.192,0.164,0.196
13,0.49,0.434,0.602,0.572,0.554,0.546,0.536,0.658,0.222,0.246,0.202,0.244,0.232,0.254,0.176,0.232,0.2,0.194,0.16,0.192
14,0.476,0.432,0.62,0.586,0.562,0.562,0.578,0.37,0.232,0.264,0.206,0.252,0.234,0.252,0.174,0.224,0.178,0.194,0.168,0.206
15,0.488,0.442,0.63,0.58,0.568,0.542,0.248,0.422,0.22,0.292,0.218,0.232,0.232,0.262,0.194,0.23,0.19,0.204,0.166,0.2
16,0.486,0.438,0.596,0.594,0.552,0.288,0.234,0.35,0.21,0.292,0.216,0.232,0.228,0.256,0.198,0.228,0.216,0.214,0.162,0.208
17,0.492,0.444,0.618,0.574,0.334,0.32,0.238,0.354,0.218,0.252,0.212,0.228,0.228,0.232,0.208,0.24,0.2,0.206,0.176,0.208
18,0.46,0.422,0.622,0.376,0.29,0.316,0.248,0.468,0.246,0.276,0.212,0.236,0.23,0.232,0.178,0.248,0.196,0.218,0.184,0.186
19,0.472,0.436,0.298,0.33,0.294,0.31,0.272,0.42,0.228,0.27,0.222,0.236,0.228,0.238,0.162,0.246,0.208,0.212,0.17,0.194
20,0.492,0.282,0.352,0.368,0.394,0.35,0.26,0.306,0.224,0.23,0.206,0.222,0.246,0.23,0.162,0.232,0.224,0.198,0.176,0.19
