,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.696,0.2,0.198,0.254,0.158,0.178,0.178,0.204,0.136,0.22,0.244,0.176,0.19,0.112,0.218,0.258,0.156,0.186,0.294,0.248
1,0.638,0.708,0.216,0.206,0.054,0.172,0.21,0.236,0.224,0.198,0.196,0.254,0.21,0.136,0.152,0.156,0.124,0.14,0.27,0.188
2,0.678,0.63,0.73,0.232,0.096,0.172,0.204,0.256,0.246,0.24,0.204,0.282,0.204,0.118,0.158,0.22,0.21,0.184,0.192,0.292
3,0.634,0.628,0.65,0.756,0.092,0.164,0.22,0.25,0.266,0.312,0.168,0.212,0.244,0.158,0.16,0.232,0.148,0.206,0.198,0.302
4,0.59,0.584,0.618,0.686,0.784,0.17,0.206,0.214,0.216,0.252,0.236,0.218,0.196,0.152,0.158,0.21,0.164,0.252,0.204,0.246
5,0.622,0.594,0.576,0.676,0.728,0.734,0.198,0.226,0.278,0.266,0.198,0.222,0.212,0.144,0.182,0.182,0.196,0.166,0.17,0.244
6,0.58,0.6,0.594,0.648,0.706,0.73,0.808,0.216,0.282,0.238,0.162,0.254,0.236,0.146,0.142,0.21,0.226,0.202,0.186,0.3
7,0.588,0.614,0.58,0.692,0.7,0.67,0.748,0.836,0.254,0.18,0.202,0.232,0.238,0.126,0.196,0.228,0.28,0.194,0.228,0.32
8,0.642,0.614,0.59,0.67,0.662,0.638,0.73,0.748,0.802,0.244,0.206,0.248,0.19,0.132,0.182,0.216,0.238,0.202,0.242,0.306
9,0.658,0.612,0.606,0.66,0.688,0.644,0.768,0.746,0.77,0.8,0.202,0.232,0.214,0.17,0.198,0.224,0.272,0.182,0.228,0.306
10,0.67,0.596,0.574,0.67,0.698,0.65,0.76,0.752,0.726,0.764,0.818,0.236,0.168,0.156,0.172,0.224,0.264,0.174,0.3,0.292
11,0.616,0.546,0.478,0.606,0.656,0.588,0.696,0.7,0.686,0.72,0.312,0.21,0.16,0.152,0.188,0.208,0.286,0.172,0.298,0.282
12,0.566,0.516,0.518,0.562,0.62,0.566,0.67,0.642,0.684,0.21,0.292,0.194,0.182,0.172,0.18,0.21,0.298,0.176,0.27,0.238
13,0.588,0.5,0.528,0.61,0.564,0.556,0.672,0.606,0.208,0.212,0.252,0.208,0.176,0.178,0.176,0.222,0.246,0.186,0.29,0.212
14,0.588,0.492,0.438,0.484,0.544,0.51,0.612,0.272,0.206,0.204,0.234,0.192,0.138,0.144,0.136,0.206,0.24,0.166,0.32,0.198
15,0.594,0.48,0.428,0.494,0.544,0.486,0.202,0.216,0.204,0.2,0.204,0.186,0.158,0.166,0.142,0.204,0.292,0.134,0.318,0.222
16,0.614,0.494,0.398,0.56,0.5,0.258,0.202,0.226,0.202,0.2,0.212,0.234,0.162,0.18,0.244,0.218,0.222,0.184,0.262,0.224
17,0.576,0.5,0.482,0.536,0.282,0.308,0.208,0.268,0.202,0.206,0.208,0.224,0.214,0.14,0.19,0.224,0.254,0.19,0.314,0.236
18,0.534,0.486,0.452,0.24,0.322,0.378,0.2,0.256,0.202,0.202,0.204,0.218,0.27,0.162,0.168,0.228,0.246,0.216,0.302,0.272
19,0.412,0.394,0.276,0.212,0.268,0.276,0.2,0.22,0.2,0.2,0.202,0.194,0.254,0.118,0.182,0.194,0.252,0.188,0.138,0.266
20,0.242,0.216,0.246,0.222,0.252,0.226,0.2,0.2,0.2,0.2,0.2,0.188,0.23,0.146,0.186,0.208,0.25,0.23,0.164,0.266
