,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.83,0.2,0.194,0.2424,0.1544,0.1568,0.19,0.2088,0.1444,0.2032,0.2508,0.1644,0.1604,0.0872,0.2444,0.2788,0.144,0.182,0.256,0.23
1,0.7356,0.9496,0.2216,0.2016,0.0816,0.1572,0.1928,0.238,0.2216,0.1956,0.1928,0.244,0.2124,0.132,0.1652,0.1596,0.1432,0.1444,0.3036,0.1736
2,0.712,0.8064,0.9856,0.2364,0.1076,0.1768,0.188,0.242,0.264,0.2428,0.1912,0.2688,0.2108,0.13,0.1592,0.1932,0.1924,0.1912,0.2324,0.284
3,0.688,0.7544,0.8156,0.9904,0.1004,0.1696,0.2144,0.2576,0.2548,0.3188,0.1776,0.2152,0.2296,0.156,0.1228,0.2328,0.1516,0.2164,0.204,0.274
4,0.65,0.6988,0.7544,0.898,0.9936,0.1708,0.214,0.2204,0.2156,0.274,0.1976,0.2264,0.236,0.1504,0.15,0.2016,0.1716,0.2456,0.204,0.2392
5,0.6668,0.6868,0.7364,0.8176,0.8816,0.9896,0.2068,0.2268,0.2784,0.2568,0.1652,0.2408,0.2416,0.176,0.1836,0.1896,0.2204,0.1892,0.1932,0.258
6,0.676,0.6764,0.7096,0.7728,0.8348,0.9344,0.9968,0.22,0.2636,0.2448,0.1576,0.2536,0.2436,0.1664,0.1508,0.2056,0.2336,0.1984,0.2184,0.3208
7,0.6804,0.6828,0.6648,0.7976,0.8028,0.8396,0.9344,0.9936,0.2576,0.1992,0.2216,0.242,0.2616,0.1224,0.2316,0.2228,0.2784,0.1996,0.2308,0.3276
8,0.6884,0.688,0.6864,0.772,0.7828,0.8148,0.8864,0.8752,0.9928,0.2132,0.2076,0.2588,0.2096,0.1204,0.1828,0.2164,0.244,0.194,0.2664,0.3196
9,0.7064,0.6804,0.7016,0.74,0.7708,0.7988,0.8744,0.8652,0.9448,0.9964,0.194,0.2524,0.2124,0.1624,0.1824,0.2228,0.2636,0.1848,0.2616,0.3204
10,0.7092,0.6724,0.6652,0.738,0.744,0.756,0.8468,0.844,0.89,0.9388,0.9968,0.238,0.1888,0.15,0.176,0.2216,0.2604,0.1744,0.3172,0.3028
11,0.6644,0.5868,0.5556,0.6608,0.6844,0.6864,0.7536,0.7784,0.8156,0.8896,0.3412,0.2168,0.1816,0.1616,0.1876,0.2096,0.2728,0.1744,0.3136,0.2936
12,0.6256,0.558,0.5832,0.5976,0.6436,0.6528,0.7444,0.722,0.7948,0.2096,0.3172,0.2168,0.1832,0.1872,0.1872,0.2176,0.2968,0.1788,0.294,0.2432
13,0.6284,0.5308,0.568,0.6412,0.6096,0.6448,0.738,0.6488,0.206,0.208,0.274,0.2172,0.1992,0.1868,0.1792,0.2244,0.2636,0.1788,0.3132,0.2252
14,0.6148,0.5328,0.4936,0.5516,0.5732,0.5616,0.6668,0.2848,0.204,0.2012,0.2416,0.218,0.166,0.1656,0.1488,0.1976,0.2432,0.1608,0.3316,0.1968
15,0.5968,0.5212,0.4928,0.5468,0.5396,0.5396,0.204,0.2204,0.2024,0.2004,0.2148,0.2068,0.1832,0.192,0.1484,0.204,0.2876,0.1428,0.33,0.2228
16,0.6116,0.5432,0.4164,0.5776,0.5,0.2632,0.2016,0.2388,0.2024,0.2016,0.218,0.2416,0.1752,0.2,0.2132,0.2188,0.2316,0.1968,0.2948,0.2048
17,0.588,0.548,0.5356,0.5724,0.2832,0.3204,0.2068,0.2628,0.2008,0.2032,0.2092,0.232,0.2108,0.1604,0.1948,0.2212,0.2696,0.2208,0.3348,0.2364
18,0.5192,0.536,0.4872,0.232,0.3144,0.3716,0.204,0.2644,0.2,0.2064,0.2052,0.2308,0.2596,0.1796,0.1904,0.2324,0.2448,0.232,0.2964,0.2472
19,0.4204,0.4072,0.2572,0.2068,0.2636,0.2636,0.2,0.2164,0.2,0.2004,0.2016,0.2028,0.248,0.1408,0.2008,0.204,0.228,0.1876,0.1436,0.2368
20,0.2492,0.224,0.2428,0.2144,0.2504,0.2112,0.2,0.2,0.2,0.2,0.2,0.188,0.2212,0.1592,0.2056,0.2012,0.2568,0.2384,0.166,0.2464
