,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.648,0.162,0.24,0.142,0.228,0.186,0.186,0.27,0.262,0.21,0.2,0.204,0.19,0.204,0.312,0.23,0.198,0.238,0.224,0.308
1,0.54,0.846,0.25,0.166,0.216,0.194,0.232,0.25,0.246,0.162,0.21,0.216,0.174,0.2,0.256,0.226,0.198,0.306,0.268,0.264
2,0.496,0.754,0.782,0.16,0.216,0.146,0.256,0.246,0.238,0.21,0.236,0.194,0.144,0.2,0.202,0.24,0.188,0.226,0.204,0.24
3,0.406,0.652,0.604,0.702,0.222,0.138,0.248,0.178,0.198,0.122,0.204,0.17,0.188,0.202,0.204,0.21,0.196,0.236,0.192,0.254
4,0.442,0.622,0.542,0.49,0.658,0.162,0.302,0.226,0.176,0.112,0.208,0.198,0.118,0.204,0.248,0.212,0.198,0.25,0.192,0.228
5,0.444,0.656,0.554,0.516,0.54,0.688,0.2,0.178,0.17,0.168,0.2,0.24,0.15,0.198,0.242,0.27,0.192,0.268,0.156,0.222
6,0.456,0.64,0.578,0.466,0.534,0.594,0.872,0.176,0.198,0.194,0.186,0.214,0.118,0.202,0.206,0.258,0.196,0.248,0.128,0.208
7,0.462,0.71,0.546,0.454,0.51,0.608,0.806,0.888,0.164,0.166,0.202,0.16,0.086,0.204,0.228,0.254,0.2,0.262,0.19,0.202
8,0.488,0.646,0.59,0.464,0.462,0.556,0.706,0.756,0.798,0.154,0.194,0.186,0.076,0.22,0.198,0.354,0.19,0.26,0.18,0.214
9,0.516,0.678,0.606,0.51,0.498,0.588,0.69,0.748,0.746,0.844,0.2,0.19,0.072,0.226,0.29,0.3,0.192,0.208,0.164,0.212
10,0.436,0.624,0.544,0.514,0.506,0.58,0.684,0.676,0.656,0.766,0.842,0.174,0.116,0.222,0.18,0.276,0.148,0.228,0.192,0.242
11,0.432,0.62,0.538,0.502,0.524,0.552,0.688,0.652,0.642,0.748,0.328,0.176,0.122,0.216,0.174,0.266,0.148,0.216,0.192,0.248
12,0.44,0.63,0.532,0.472,0.496,0.562,0.708,0.684,0.654,0.418,0.298,0.17,0.122,0.216,0.176,0.262,0.148,0.212,0.188,0.234
13,0.424,0.604,0.556,0.496,0.502,0.59,0.682,0.656,0.302,0.422,0.29,0.162,0.11,0.232,0.182,0.29,0.13,0.224,0.164,0.232
14,0.398,0.622,0.516,0.506,0.512,0.59,0.65,0.354,0.358,0.312,0.356,0.186,0.124,0.218,0.182,0.278,0.142,0.19,0.18,0.234
15,0.42,0.606,0.498,0.444,0.482,0.586,0.248,0.458,0.39,0.372,0.362,0.186,0.11,0.2,0.178,0.26,0.156,0.198,0.192,0.248
16,0.438,0.598,0.524,0.508,0.476,0.28,0.248,0.39,0.344,0.392,0.362,0.18,0.126,0.22,0.186,0.28,0.132,0.21,0.17,0.254
17,0.362,0.508,0.53,0.466,0.246,0.27,0.224,0.318,0.258,0.366,0.214,0.15,0.116,0.23,0.2,0.266,0.132,0.214,0.166,0.212
18,0.41,0.534,0.54,0.264,0.218,0.266,0.224,0.34,0.26,0.382,0.224,0.158,0.118,0.222,0.2,0.268,0.118,0.2,0.162,0.216
19,0.41,0.534,0.25,0.27,0.208,0.248,0.218,0.31,0.24,0.366,0.226,0.164,0.122,0.214,0.2,0.288,0.154,0.214,0.166,0.222
20,0.402,0.208,0.218,0.224,0.208,0.238,0.208,0.316,0.232,0.34,0.21,0.15,0.136,0.22,0.194,0.238,0.172,0.184,0.192,0.21
