,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.8216,0.2024,0.1072,0.2384,0.2116,0.2416,0.2064,0.1848,0.2872,0.1968,0.2004,0.1988,0.1776,0.1788,0.1988,0.302,0.2056,0.154,0.2036,0.1496
1,0.6852,0.9072,0.1448,0.1928,0.2492,0.2288,0.1948,0.2444,0.244,0.2196,0.206,0.1928,0.2156,0.1432,0.194,0.156,0.1964,0.1932,0.2316,0.1768
2,0.6184,0.7868,0.9608,0.1848,0.2732,0.222,0.1788,0.2044,0.2292,0.2592,0.2076,0.2152,0.1928,0.1612,0.186,0.168,0.2008,0.2004,0.212,0.1712
3,0.6188,0.6908,0.8524,0.978,0.2164,0.294,0.1592,0.1792,0.2232,0.2488,0.2076,0.2264,0.2188,0.1424,0.1836,0.2272,0.1912,0.2048,0.2112,0.1416
4,0.646,0.664,0.81,0.8276,0.9768,0.2448,0.176,0.1912,0.2472,0.238,0.2068,0.2236,0.238,0.1668,0.1908,0.256,0.2048,0.2208,0.2044,0.1868
5,0.5872,0.64,0.7976,0.7576,0.866,0.99,0.1884,0.2356,0.2192,0.2652,0.2168,0.2244,0.2412,0.1392,0.1984,0.1792,0.2028,0.2188,0.2052,0.2292
6,0.6236,0.6416,0.7756,0.7044,0.78,0.8824,0.984,0.182,0.2892,0.2516,0.2312,0.2212,0.2804,0.1352,0.2016,0.202,0.1988,0.208,0.2096,0.2464
7,0.6592,0.6272,0.7744,0.626,0.7796,0.8476,0.9368,0.9868,0.2692,0.23,0.232,0.2224,0.2592,0.1268,0.1948,0.2476,0.1968,0.1964,0.1904,0.2348
8,0.656,0.6284,0.762,0.6272,0.7172,0.8108,0.8708,0.9208,0.9912,0.2372,0.2288,0.2116,0.2576,0.1488,0.1928,0.2356,0.2036,0.212,0.1944,0.2672
9,0.6492,0.6276,0.7652,0.6188,0.7084,0.7984,0.808,0.8776,0.93,0.99,0.2392,0.2368,0.2244,0.1156,0.1908,0.24,0.2132,0.2208,0.2144,0.2376
10,0.6272,0.5672,0.7404,0.6088,0.6696,0.7824,0.7656,0.8204,0.8844,0.9076,0.994,0.234,0.2344,0.12,0.182,0.2248,0.2312,0.1884,0.212,0.2172
11,0.5684,0.5816,0.7256,0.586,0.6668,0.7164,0.7324,0.736,0.8224,0.8544,0.294,0.222,0.2056,0.1668,0.1744,0.2468,0.2268,0.1984,0.1956,0.1688
12,0.64,0.6056,0.7532,0.5432,0.6876,0.74,0.7068,0.7608,0.8412,0.2236,0.3488,0.2176,0.2076,0.1476,0.1824,0.2368,0.226,0.194,0.2024,0.1772
13,0.6316,0.6132,0.76,0.5932,0.6944,0.7664,0.7104,0.7844,0.2836,0.2352,0.3748,0.2112,0.2072,0.1184,0.1708,0.254,0.2156,0.2344,0.2096,0.1848
14,0.6272,0.608,0.7632,0.5168,0.6948,0.74,0.6636,0.2128,0.2592,0.2516,0.3132,0.2156,0.2244,0.1924,0.1732,0.248,0.2368,0.2148,0.2136,0.1528
15,0.604,0.5832,0.73,0.63,0.654,0.7204,0.2544,0.2836,0.3216,0.2976,0.3552,0.2292,0.1792,0.1312,0.2084,0.254,0.22,0.17,0.2088,0.1732
16,0.5884,0.626,0.7648,0.57,0.6648,0.2664,0.2892,0.2624,0.3236,0.3216,0.3504,0.2332,0.2572,0.1772,0.2264,0.2584,0.2276,0.1284,0.2464,0.2368
17,0.664,0.5868,0.728,0.5912,0.3256,0.324,0.276,0.2288,0.3248,0.3192,0.3124,0.236,0.2196,0.2112,0.1664,0.2612,0.1976,0.1536,0.2552,0.204
18,0.5904,0.6164,0.7244,0.2532,0.4268,0.428,0.2924,0.242,0.2628,0.36,0.2368,0.2044,0.178,0.1924,0.1276,0.2496,0.2036,0.2076,0.2448,0.2412
19,0.5684,0.5444,0.2512,0.3556,0.2812,0.3472,0.2228,0.216,0.2652,0.2336,0.1964,0.196,0.2436,0.2144,0.294,0.236,0.2276,0.2176,0.154,0.2428
20,0.4988,0.214,0.224,0.3036,0.2744,0.3356,0.254,0.2044,0.2316,0.2804,0.1884,0.2068,0.2148,0.2092,0.256,0.2436,0.226,0.234,0.2036,0.2392
