,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.6,0.2,0.194,0.236,0.198,0.224,0.202,0.246,0.188,0.25,0.21,0.178,0.164,0.166,0.2,0.27,0.2,0.192,0.22,0.17
1,0.594,0.856,0.192,0.224,0.244,0.142,0.198,0.198,0.146,0.234,0.194,0.196,0.126,0.216,0.248,0.25,0.196,0.202,0.226,0.168
2,0.572,0.744,0.678,0.188,0.226,0.098,0.198,0.196,0.18,0.25,0.188,0.202,0.082,0.25,0.24,0.154,0.192,0.188,0.222,0.166
3,0.532,0.712,0.61,0.762,0.254,0.098,0.186,0.222,0.164,0.286,0.184,0.194,0.18,0.202,0.284,0.194,0.184,0.206,0.174,0.128
4,0.548,0.696,0.622,0.666,0.736,0.1,0.196,0.168,0.21,0.232,0.188,0.196,0.124,0.184,0.284,0.194,0.2,0.164,0.21,0.184
5,0.56,0.692,0.516,0.688,0.616,0.742,0.188,0.166,0.2,0.188,0.18,0.18,0.154,0.192,0.23,0.214,0.204,0.196,0.244,0.212
6,0.544,0.724,0.524,0.652,0.636,0.71,0.868,0.162,0.204,0.222,0.192,0.198,0.086,0.19,0.25,0.236,0.202,0.2,0.238,0.172
7,0.544,0.678,0.5,0.654,0.58,0.632,0.786,0.63,0.248,0.254,0.216,0.178,0.108,0.17,0.186,0.18,0.202,0.19,0.22,0.178
8,0.49,0.708,0.464,0.638,0.568,0.632,0.772,0.584,0.832,0.258,0.216,0.156,0.09,0.164,0.188,0.17,0.22,0.206,0.216,0.164
9,0.526,0.674,0.47,0.622,0.602,0.622,0.756,0.548,0.714,0.674,0.232,0.18,0.108,0.19,0.194,0.204,0.202,0.2,0.204,0.146
10,0.506,0.69,0.466,0.626,0.604,0.614,0.764,0.5,0.744,0.596,0.8,0.174,0.086,0.236,0.184,0.18,0.206,0.226,0.214,0.178
11,0.514,0.664,0.454,0.624,0.576,0.636,0.722,0.438,0.732,0.58,0.282,0.178,0.096,0.228,0.204,0.194,0.206,0.238,0.212,0.196
12,0.494,0.63,0.488,0.586,0.534,0.574,0.612,0.49,0.652,0.232,0.322,0.208,0.124,0.212,0.184,0.156,0.2,0.214,0.172,0.226
13,0.448,0.584,0.48,0.534,0.526,0.556,0.598,0.45,0.302,0.206,0.256,0.23,0.156,0.208,0.178,0.17,0.18,0.212,0.198,0.21
14,0.434,0.564,0.39,0.564,0.514,0.478,0.588,0.218,0.244,0.202,0.206,0.238,0.132,0.244,0.168,0.19,0.218,0.252,0.082,0.202
15,0.422,0.564,0.384,0.578,0.53,0.492,0.268,0.222,0.246,0.202,0.202,0.236,0.128,0.244,0.17,0.216,0.222,0.248,0.12,0.214
16,0.392,0.51,0.376,0.514,0.506,0.254,0.26,0.216,0.23,0.2,0.21,0.182,0.11,0.202,0.266,0.178,0.234,0.242,0.112,0.206
17,0.458,0.522,0.408,0.53,0.262,0.29,0.296,0.232,0.262,0.2,0.216,0.196,0.142,0.23,0.202,0.172,0.186,0.252,0.092,0.17
18,0.398,0.424,0.452,0.314,0.21,0.232,0.262,0.214,0.238,0.202,0.2,0.188,0.156,0.212,0.226,0.146,0.23,0.236,0.096,0.2
19,0.432,0.532,0.246,0.3,0.282,0.248,0.224,0.204,0.21,0.2,0.2,0.156,0.2,0.252,0.266,0.208,0.18,0.256,0.136,0.196
20,0.444,0.248,0.2,0.222,0.316,0.206,0.206,0.204,0.21,0.2,0.2,0.16,0.17,0.226,0.234,0.246,0.206,0.266,0.086,0.246
