task,iter,attack_acc,cv_acc,auc
1,1,0.6,0.194,0.6098
1,2,0.538,0.158,0.5464
1,3,0.554,0.138,0.5924
1,4,0.538,0.144,0.5669
1,5,0.564,0.1,0.6203
1,6,0.492,0.158,0.5587
1,7,0.508,0.134,0.5588
1,8,0.516,0.132,0.5546
1,9,0.53,0.116,0.5882
1,10,0.548,0.114,0.5852
1,1,0.622,0.218,0.6747
1,2,0.562,0.18,0.6023
1,3,0.586,0.172,0.6218
1,4,0.52,0.108,0.5244
1,5,0.544,0.112,0.569
1,6,0.514,0.13,0.5518
1,7,0.554,0.132,0.5868
1,8,0.516,0.102,0.5543
1,9,0.488,0.12,0.5189
1,10,0.552,0.108,0.5867
