task,iter,attack_acc,cv_acc,auc
1,1,0.712,0.408,0.8029
1,2,0.616,0.246,0.6395
1,3,0.528,0.172,0.5792
1,4,0.572,0.136,0.585
1,5,0.53,0.114,0.5435
1,6,0.478,0.088,0.4614
1,7,0.54,0.106,0.5407
1,8,0.538,0.076,0.5513
1,9,0.51,0.112,0.5161
1,10,0.478,0.102,0.4576
1,1,0.652,0.27,0.6936
1,2,0.59,0.202,0.6257
1,3,0.602,0.154,0.6177
1,4,0.548,0.198,0.5659
1,5,0.506,0.11,0.5158
1,6,0.508,0.094,0.5225
1,7,0.51,0.082,0.5313
1,8,0.49,0.084,0.5081
1,9,0.52,0.09,0.5324
1,10,0.482,0.102,0.4691
