task,iter,attack_acc,cv_acc,auc
1,1,0.6719,0.6667,0.7568
1,2,0.7031,0.8667,0.791
1,3,0.7969,0.8,0.8867
1,4,0.875,0.75,0.9502
1,5,0.8906,0.7,0.9385
1,6,0.7969,0.7,0.8477
1,7,0.75,0.8833,0.8711
1,8,0.8594,0.85,0.9648
1,9,0.7656,0.7833,0.9072
1,10,0.8438,0.8167,0.9424
1,1,0.5938,0.35,0.709
1,2,0.6719,0.7333,0.6934
1,3,0.7656,0.8667,0.916
1,4,0.8281,0.8333,0.9502
1,5,0.8125,0.7333,0.8896
1,6,0.8438,0.8167,0.9395
1,7,0.7969,0.8333,0.9863
1,8,0.875,0.85,0.998
1,9,0.8594,0.75,0.9521
1,10,0.8281,0.8,0.9502
