task,iter,attack_acc,cv_acc,auc
1,1,0.636,0.236,0.6635
1,2,0.566,0.196,0.6109
1,3,0.574,0.15,0.5755
1,4,0.564,0.172,0.5915
1,5,0.542,0.136,0.5757
1,6,0.53,0.11,0.5366
1,7,0.522,0.106,0.5669
1,8,0.502,0.116,0.5332
1,9,0.514,0.138,0.528
1,10,0.534,0.108,0.5601
1,1,0.672,0.27,0.718
1,2,0.618,0.218,0.6491
1,1,0.598,0.168,0.6534
1,2,0.548,0.178,0.6085
1,3,0.528,0.166,0.558
1,4,0.538,0.128,0.5501
1,5,0.512,0.092,0.5139
1,6,0.528,0.124,0.5824
1,7,0.52,0.138,0.5476
1,8,0.556,0.134,0.5711
1,9,0.494,0.112,0.513
1,10,0.472,0.09,0.4282
