task,iter,attack_acc,cv_acc,auc
1,1,0.6406,0.2471,0.7057
1,2,0.7461,0.7569,0.7959
1,3,0.7773,0.7412,0.8383
1,4,0.7578,0.7176,0.8022
1,5,0.7422,0.7608,0.841
1,6,0.7461,0.7294,0.8308
1,7,0.7422,0.7647,0.8015
1,8,0.7617,0.7255,0.8067
1,9,0.7578,0.7255,0.8148
1,10,0.7461,0.7451,0.8496
1,1,0.6523,0.2863,0.7535
1,2,0.7422,0.7294,0.8203
1,3,0.7461,0.7294,0.81
1,4,0.793,0.6627,0.8993
1,5,0.7539,0.7294,0.8859
1,6,0.7852,0.7333,0.9134
1,7,0.7695,0.7608,0.9378
1,8,0.7305,0.7529,0.9029
1,9,0.7734,0.7373,0.8458
1,10,0.7148,0.7569,0.8076
