task,iter,attack_acc,cv_acc,auc
1,1,0.596,0.184,0.5966
1,2,0.56,0.12,0.5667
1,3,0.566,0.118,0.6296
1,4,0.52,0.172,0.5319
1,5,0.516,0.106,0.5361
1,6,0.478,0.094,0.4261
1,7,0.53,0.118,0.5483
1,8,0.51,0.122,0.5502
1,9,0.514,0.122,0.5141
1,10,0.52,0.132,0.5404
1,1,0.612,0.218,0.6857
1,2,0.546,0.16,0.5658
1,3,0.534,0.154,0.5441
1,4,0.534,0.094,0.5813
1,5,0.546,0.116,0.5645
1,6,0.518,0.128,0.551
1,7,0.542,0.094,0.5565
1,8,0.504,0.102,0.5149
1,9,0.444,0.088,0.4109
1,10,0.526,0.118,0.5726
1,1,0.662,0.232,0.7122
1,2,0.596,0.184,0.6322
1,3,0.552,0.188,0.5713
1,4,0.53,0.1,0.5628
1,5,0.548,0.154,0.5484
1,6,0.558,0.13,0.5649
